pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
V-지 않아요,A1,Langverneinung,Formellere Verneinung: Verbstamm + 지 않아요,먹지 않아요.,Ich esse nicht.,Formeller als 안 + Verb · Verbstamm + 지 않아요,Long negation,More formal negation: verb stem + 지 않아요,I don't eat.,More formal than 안 + verb · verb stem + 지 않아요,grammar_a1_long_negation,nicht,don't,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-고 싶다,A1,Wunschform,Wunsch ausdrücken: möchten (etwas tun wollen),한국에 가고 싶어요.,Ich möchte nach Korea gehen.,Verb-Stamm + 고 싶어요,Wish form,Express a wish: to want to do something,I want to go to Korea.,Verb stem + 고 싶어요,grammar_a1_want,möchte,want to,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-(으)세요,A1,Höfliche Aufforderung,Höfliche Aufforderung. Nach Konsonant: 으세요 · Nach Vokal: 세요,앉으세요.,Bitte setzen Sie sich.,Imperativ-Höflichkeitsform,Polite request,Polite request/command. After a consonant: 으세요 · after a vowel: 세요,Please sit down.,Polite imperative form,grammar_a1_polite_request,setzen Sie sich,sit down,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-지 마세요,A1,Verbot (höflich),Bitte etwas nicht tun: höfliche Aufforderung zu unterlassen,여기서 사진 찍지 마세요.,Bitte machen Sie hier keine Fotos.,Verbstamm + 지 마세요,Prohibition (polite),Please don't do something: a polite request to refrain,Please don't take photos here.,Verb stem + 지 마세요,grammar_a1_polite_prohibition,keine Fotos,don't take photos,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-고,A1,Verbindung (und dann),Zwei Handlungen verbinden: und · und dann. Reihenfolge ausdrücken,밥을 먹고 공부해요.,Ich esse und lerne dann.,Kein Tempuswechsel beim ersten Verb möglich,Connector (and then),Link two actions: and · and then. Expresses sequence,I eat and then study.,The first verb can't carry tense,grammar_a1_sequence_connector,und lerne dann,and then study,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N에서 N까지,A1,Von-bis (Ort und Zeit),Von einem Ausgangspunkt bis zu einem Ziel. Auch zeitlich verwendbar,서울에서 부산까지 가요.,Ich fahre von Seoul nach Busan.,Ort · Zeit: 월요일부터 금요일까지,From/to (place and time),From a starting point to a destination. Also used for time,I go from Seoul to Busan.,Place · time: 월요일부터 금요일까지,grammar_a1_from_to,von Seoul nach Busan,from Seoul to Busan,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
무슨/어떤 N,A1,Fragewort (welche Art),Was für ein / Welche Art von Nomen. 무슨 = was für · 어떤 = was für / wie beschaffen,무슨 음식을 좋아해요?,Was für Essen magst du?,무슨 = neutrale Frage · 어떤 = nach Eigenschaft oder Art,Question word (what kind),What kind of / which noun. 무슨 = what kind of · 어떤 = what sort / what it's like,What kind of food do you like?,무슨 = neutral question · 어떤 = asks about quality or type,grammar_a1_which_question,Was für,What kind of,true,grammar_a1_possessive_particle|grammar_a1_approx|grammar_a1_only_particle
얼마나 + Adj/V,A1,Fragewort (Ausmaß),Wie sehr / Wie lange / Wie viel: fragt nach dem Ausmaß,얼마나 걸려요?,Wie lange dauert es?,얼마나 오래 = wie lange · 얼마나 많이 = wie viel,Question word (extent),How much / how long / how (to what extent),How long does it take?,얼마나 오래 = how long · 얼마나 많이 = how much,grammar_a1_degree_question,Wie lange,How long,true,grammar_a1_possessive_particle|grammar_a1_approx|grammar_a1_only_particle
N도,A1,Inklusiv-Partikel,Auch / Ebenfalls,저도 학생이에요.,Ich bin auch Student.,Ersetzt 은/는 이/가 을/를,Inclusive particle,Also / too,I am a student too.,"Replaces 은/는, 이/가, 을/를",grammar_a1_also_particle,auch,too,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
N의,A1,Genitiv-Partikel,Besitz / Zugehörigkeit: von / -s,제 친구의 이름이에요.,Das ist der Name meines Freundes.,Oft weggelassen in der Umgangssprache,Genitive particle,Possession / belonging: of / -'s,It's my friend's name.,Often dropped in casual speech,grammar_a1_possessive_particle,meines Freundes,my friend's,true,grammar_a1_degree_question|grammar_a1_approx|grammar_a1_only_particle
V-(으)ㄹ 거예요,A2,Zukunft / Absicht,Zukünftige Handlung oder Absicht ausdrücken,내일 공부할 거예요.,Ich werde morgen lernen.,Zukunftsform,Future / intention,Express a future action or intention,I'll study tomorrow.,Future form,grammar_a2_future_intention,werde,I'll,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-(으)면,A2,Konditionalsatz,Wenn/Falls-Bedingung,비가 오면 집에 있어요.,"Wenn es regnet, bleibe ich zu Hause.",Bedingung,Conditional,If / in case (a condition),"If it rains, I stay home.",Condition,grammar_a2_conditional,Wenn es regnet,If it rains,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-지만,A2,Konzessiv,Gegensatz: aber / obwohl,비싸지만 사요.,"Obwohl es teuer ist, kaufe ich es.",Gegensatz im gleichen Satz,Concessive,Contrast: but / although,"It's expensive, but I'll buy it.",Contrast within one sentence,grammar_a2_contrast,Obwohl,but,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-아/어서,A2,Grund / Reihenfolge,Weil (Grund) oder und dann (zeitliche Abfolge),배가 고파서 먹어요.,"Ich esse, weil ich hungrig bin.",Kein Tempuswechsel möglich,Reason / sequence,Because (reason) or and then (time sequence),I eat because I'm hungry.,No tense change possible,grammar_a2_cause_sequence,weil ich hungrig bin,because I'm hungry,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-고 있다,A2,Verlaufsform,Etwas gerade tun (Progressiv),지금 공부하고 있어요.,Ich lerne gerade.,Verb + 고 있어요,Progressive,Be doing something right now (progressive),I'm studying right now.,Verb + 고 있어요,grammar_a2_progressive,Ich lerne gerade,I'm studying right now,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
N한테/에게,A2,Dativ-Partikel Person,Jemandem (Dativ). 한테 = informell · 에게 = formell,친구한테 줬어요.,Ich habe es meinem Freund gegeben.,한테 umgangssprachlich · 에게 formell,Dative particle (person),To someone (dative). 한테 = informal · 에게 = formal,I gave it to my friend.,한테 colloquial · 에게 formal,grammar_a2_dative_person,meinem Freund,to my friend,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-(으)ㄹ 수 있다/없다,A2,Können / Nicht können,Fähigkeit oder Möglichkeit ausdrücken,한국어를 할 수 있어요.,Ich kann Koreanisch sprechen.,있다 = können · 없다 = nicht können,Can / cannot,Express ability or possibility,I can speak Korean.,있다 = can · 없다 = cannot,grammar_a2_ability,kann,can,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-아/어 보다,A2,Versuch / Erfahrung,Etwas ausprobieren oder erfahren haben,한국 음식을 먹어 봤어요?,Hast du schon mal koreanisches Essen probiert?,한번 해 봐요! = Versuch es mal!,Try / experience,"Try something out, or have experienced it",Have you ever tried Korean food?,한번 해 봐요! = Give it a try!,grammar_a2_try_experience,schon mal koreanisches Essen probiert,ever tried,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-(으)ㄹ까요?,A2,Vorschlag / Frage,Sollen wir? / Wie wäre es? / Ich frage mich ob... Vorschlag oder Unsicherheit,같이 밥 먹을까요?,Sollen wir zusammen essen?,Nach Vokalstamm: ㄹ까요 · Nach Konsonant: 을까요,Suggestion / wondering,Shall we? / How about? / I wonder if... a suggestion or uncertainty,Shall we eat together?,After a vowel stem: ㄹ까요 · after a consonant: 을까요,grammar_a2_polite_proposal,Sollen wir,Shall we,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-기 때문에,A2,Kausalangabe (weil),Weil / Da: formellere Begründung als -아/어서. Kann im Haupt- und Nebensatz stehen,바쁘기 때문에 못 가요.,"Weil ich beschäftigt bin, kann ich nicht gehen.",Formeller als -아/어서 · Tempuswechsel möglich,Causal (because),Because / since: a more formal reason than -아/어서. Can stand in the main or subordinate clause,I can't go because I'm busy.,More formal than -아/어서 · tense change possible,grammar_a2_reason_because,Weil,because,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-(으)ㄴ/는 것 같다,A2,Vermutung / Eindruck,Es scheint als ob / Es sieht aus als: persönliche Einschätzung oder Vermutung,비가 올 것 같아요.,"Es sieht aus, als würde es regnen.",Gegenwart: -는 것 같다 · Vergangenheit: -(으)ㄴ 것 같다 · Zukunft: -(으)ㄹ 것 같다,Guess / impression,It seems / it looks like: a personal impression or guess,It looks like it's going to rain.,Present: -는 것 같다 · past: -(으)ㄴ 것 같다 · future: -(으)ㄹ 것 같다,grammar_a2_probability,"Es sieht aus, als",It looks like,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-아/어도 되다,A2,Erlaubnis (dürfen),Dürfen / Es ist erlaubt: Erlaubnis geben oder erfragen,여기 앉아도 돼요?,Darf ich hier sitzen?,Frage: -아/어도 돼요? · Antwort: 네 돼요 / 아니요 안 돼요,Permission (may),May / it's allowed: give or ask for permission,May I sit here?,Question: -아/어도 돼요? · answer: 네 돼요 / 아니요 안 돼요,grammar_a2_permission,Darf ich,May I,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-(으)면 안 되다,A2,Verbot (nicht dürfen),Nicht dürfen / Verboten sein: etwas ist nicht erlaubt,여기서 사진 찍으면 안 돼요.,Hier darf man keine Fotos machen.,Gegenteil von -아/어도 되다,Prohibition (must not),Must not / not allowed: something is not permitted,You must not take photos here.,Opposite of -아/어도 되다,grammar_a2_prohibition,keine Fotos,must not take photos,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-지 못하다,A2,Unvermögen (nicht können),Nicht können aufgrund äußerer Umstände · kein eigenes Unvermögen,시간이 없어서 가지 못해요.,"Ich kann nicht gehen, weil ich keine Zeit habe.",못 + Verb (kurz) · Verb + 지 못하다 (lang),Inability (cannot),Cannot due to external circumstances · not a personal lack of skill,I can't go because I have no time.,못 + verb (short) · verb + 지 못하다 (long),grammar_a2_inability,kann nicht,can't,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
N마다,A2,Distributiv (jeweils),Jedes / Jeder / Jeweils: gilt für jede Einheit,나라마다 문화가 달라요.,Jedes Land hat eine andere Kultur.,하루마다 = jeden Tag · 사람마다 = bei jedem Menschen,Distributive (each),Each / every: applies to every unit,Every country has a different culture.,하루마다 = every day · 사람마다 = for each person,grammar_a2_each,Jedes,Every,true,grammar_a2_comparative|grammar_a2_adverbial|grammar_a2_dative_person
V-기 위해서,A2,Zweck / Ziel (um zu),Um zu: Zweck oder Ziel einer Handlung. Formeller als -(으)려고,건강을 위해서 운동해요.,"Ich mache Sport, um gesund zu bleiben.",N을/를 위해서 (für etwas) · V-기 위해서 (um zu tun),Purpose / goal (in order to),In order to: the purpose or goal of an action. More formal than -(으)려고,I exercise to stay healthy.,N을/를 위해서 (for something) · V-기 위해서 (in order to do),grammar_a2_purpose,um gesund zu bleiben,to stay healthy,true,grammar_a2_each|grammar_a2_comparative|grammar_a2_adverbial
V-는 것,B1,Nominalisierung,Verb in ein Nomen umwandeln (das Tun von etwas),공부하는 것이 중요해요.,Lernen ist wichtig.,Verb wird zum Nomen,Nominalization,Turn a verb into a noun (the act of doing something),Studying is important.,The verb becomes a noun,grammar_b1_nominalization,Lernen,Studying,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-(으)ㄴ 후에,B1,Zeitabfolge (nachdem),Nachdem etwas getan wurde,밥을 먹은 후에 공부해요.,Nach dem Essen lerne ich.,Vergangenheit + 후에,Time sequence (after),After something has been done,"After eating, I study.",Past + 후에,grammar_b1_after,Nach dem Essen,After eating,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-기 전에,B1,Zeitabfolge (bevor),Bevor etwas getan wird,자기 전에 책을 읽어요.,Vor dem Schlafen lese ich ein Buch.,Infinitiv + 전에,Time sequence (before),Before something is done,"Before sleeping, I read a book.",Infinitive + 전에,grammar_b1_before,Vor dem Schlafen,Before sleeping,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-(으)려고,B1,Absicht / Ziel,Um zu (Ziel einer Handlung),한국어를 배우려고 왔어요.,"Ich bin gekommen, um Koreanisch zu lernen.",Absicht / Ziel,Intention / goal,In order to (the goal of an action),I came in order to learn Korean.,Intention / goal,grammar_b1_intention,um Koreanisch zu lernen,in order to learn Korean,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-아/어야 하다,B1,Obligation,Müssen / Sollen (Pflicht oder Notwendigkeit),공부해야 해요.,Ich muss lernen.,Notwendigkeit,Obligation,Must / should (duty or necessity),I have to study.,Necessity,grammar_b1_obligation,muss,have to,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-는데,B1,Hintergrund / Kontrast,Hintergrund geben oder milden Kontrast ausdrücken,비가 오는데 우산이 없어요.,"Es regnet, aber ich habe keinen Regenschirm.",Sehr häufig in der Umgangssprache,Background / contrast,Give background or express mild contrast,"It's raining, but I don't have an umbrella.",Very common in everyday speech,grammar_b1_background_contrast,aber,but,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-기로 하다,B1,Entschluss (beschließen),Beschlossen haben etwas zu tun: eine Entscheidung wurde bewusst getroffen,한국에 가기로 했어요.,"Ich habe beschlossen, nach Korea zu gehen.",기로 하다 = Entscheidung · 기로 했어요 = habe beschlossen,Decision (decide to),Have decided to do something: a deliberate decision,I've decided to go to Korea.,기로 하다 = decision · 기로 했어요 = have decided,grammar_b1_decision,beschlossen,decided,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-(으)ㄹ 것 같다,B1,Zukunftsvermutung,Vermutlich wird... / Es scheint als würde...: Vermutung über Zukunft,내일 비가 올 것 같아요.,"Es scheint, als würde es morgen regnen.",Zukunft: -(으)ㄹ 것 같다 · Gegenwart: -는 것 같다,Future guess,Will probably... / it seems like it will...: a guess about the future,It seems like it'll rain tomorrow.,Future: -(으)ㄹ 것 같다 · present: -는 것 같다,grammar_b1_future_probability,als würde es morgen regnen,seems like it'll,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
N에 대해(서),B1,Themenangabe (über / bezüglich),Über etwas / Bezüglich: Thema oder Gegenstand einer Aussage,한국 문화에 대해서 공부해요.,Ich lerne über die koreanische Kultur.,N에 대해 = über N · N에 대한 + Nomen = attributiv,Topic marker (about / regarding),About something / regarding: the topic or subject of a statement,I'm studying Korean culture.,N에 대해 = about N · N에 대한 + noun = attributive,grammar_b1_about,über die koreanische Kultur,Korean culture,true,grammar_b1_more_more|grammar_b1_honorific_si|grammar_b1_takes_time
V-자마자,B1,Sofortige Abfolge (sobald),Sobald / Kaum dass: zweite Handlung folgt unmittelbar auf die erste,집에 오자마자 잠이 들었어요.,"Sobald ich nach Hause kam, schlief ich ein.",Verbstamm + 자마자 · Kein Tempuswechsel beim ersten Verb,Immediate sequence (as soon as),As soon as: the second action follows the first immediately,"As soon as I got home, I fell asleep.",Verb stem + 자마자 · no tense change on the first verb,grammar_b1_immediate_sequence,Sobald,As soon as,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-(으)ㄹ수록,B1,Proportionale Steigerung,Je mehr... desto mehr: proportionale Steigerung zweier Zustände,공부할수록 더 잘해요.,"Je mehr ich lerne, desto besser werde ich.",Oft mit 더 kombiniert · 클수록 = je größer,Proportional increase,The more... the more: a proportional change of two states,"The more I study, the better I get.",Often combined with 더 · 클수록 = the bigger,grammar_b1_more_more,Je mehr,The more,true,grammar_b1_about|grammar_b1_honorific_si|grammar_b1_takes_time
V-다 보면,B1,Wiederholung mit Konsequenz,Wenn man etwas immer wieder tut wird letztendlich...: Ergebnis durch Wiederholung,계속 연습하다 보면 잘 할 수 있어요.,"Wenn du weiter übst, wirst du es können.",Beschreibt eine natürliche Konsequenz wiederholter Handlungen,Repetition with consequence,"If you keep doing something, eventually...: a result through repetition","If you keep practicing, you'll be able to do it.",Describes a natural consequence of repeated action,grammar_b1_consequence,Wenn du weiter übst,If you keep practicing,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-(으)ㄹ 텐데,B1,Erwartung / Empathie,Eigentlich müsste / Es wäre zu erwarten dass: Erwartung oder Empathie,피곤할 텐데 쉬세요.,Du bist bestimmt müde. Ruh dich aus.,Ausdruck von Empathie · Oft mit Ratschlag kombiniert,Expectation / empathy,It must be / you'd expect that: expectation or empathy,You must be tired. Get some rest.,Expresses empathy · often paired with advice,grammar_b1_expectation,bestimmt,must,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-던/이던,B1,Erinnerung an Vergangenheit,Erinnerte vergangene Gewohnheit oder unvollendete Handlung: früher mal / damals,자주 가던 카페가 문을 닫았어요.,"Das Café, das ich früher oft besuchte, hat geschlossen.",하던 = Gewohnheit/unvollendet · 했던 = abgeschlossen in Erinnerung,Recalled past,A recalled past habit or unfinished action: used to / back then,The café I used to go to often has closed.,"하던 = habit/unfinished · 했던 = completed, recalled",grammar_b1_recalled_past,früher oft besuchte,used to go to often,true,grammar_b1_about|grammar_b1_more_more|grammar_b1_honorific_si
V-더라도,B2,Konzessiv (selbst wenn),Auch wenn / Selbst wenn (trotzdem),어렵더라도 포기하지 마세요.,"Auch wenn es schwer ist, gib nicht auf.",Stärker als -지만,Concessive (even if),Even if / even though (regardless),"Even if it's hard, don't give up.",Stronger than -지만,grammar_b2_even_if,Auch wenn,Even if,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-(으)ㄹ 뿐만 아니라,B2,Addition (nicht nur),Nicht nur ... sondern auch,예쁠 뿐만 아니라 똑똑해요.,"Sie ist nicht nur hübsch, sondern auch klug.",Erweiterung des Gedankens,Addition (not only),Not only ... but also,She's not only pretty but also smart.,Expands the idea,grammar_b2_not_only,nicht nur,not only,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-는 한,B2,Bedingung (solange),Solange (eine Bedingung erfüllt bleibt),노력하는 한 발전할 수 있어요.,"Solange du dich anstrengst, kannst du Fortschritte machen.",Andauernde Bedingung,Condition (as long as),As long as (a condition holds),"As long as you try, you can make progress.",An ongoing condition,grammar_b2_as_long_as,Solange,As long as,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
N에 따라,B2,Konditional (je nach),Je nach / Abhängig von,상황에 따라 달라요.,Es hängt von der Situation ab.,Variabilität ausdrücken,Conditional (depending on),Depending on / according to,It depends on the situation.,Expresses variability,grammar_b2_according_to,von der Situation ab,depends on the situation,true,grammar_b2_formal_intention|grammar_b2_definition|grammar_b2_quoted_contractions
V-(으)ㄹ지라도,B2,Konzessiv formal (auch wenn),Auch wenn / Selbst wenn (sehr formal): stärker und formeller als -더라도,실패할지라도 포기하지 않겠어요.,"Auch wenn ich scheitere, werde ich nicht aufgeben.",Sehr formell · Stärker als -더라도,Formal concessive (even if),Even if / even though (very formal): stronger and more formal than -더라도,"Even if I fail, I won't give up.",Very formal · stronger than -더라도,grammar_b2_formal_concession,Auch wenn,Even if,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-는 반면에,B2,Kontrast (andererseits),Während andererseits / Im Gegensatz dazu: zwei gegensätzliche Aspekte,한국은 발전한 반면에 환경 문제가 있어요.,"Korea hat sich entwickelt, jedoch gibt es Umweltprobleme.",Drückt klaren Kontrast aus · Formeller als -지만,Contrast (on the other hand),Whereas / on the other hand: two opposing aspects,"Korea has developed, but on the other hand it has environmental problems.",Expresses clear contrast · more formal than -지만,grammar_b2_contrast,jedoch,on the other hand,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-고자,B2,Absicht formal (um zu),Um zu / Mit dem Ziel: formeller Ausdruck einer Absicht (schriftsprachlich),더 배우고자 노력해요.,"Ich bemühe mich, mehr zu lernen.",Sehr formell und schriftsprachlich · Wie -(으)려고 aber formeller,Formal intention (in order to),In order to / with the aim of: a formal expression of intent (written style),I strive in order to learn more.,Very formal and literary · like -(으)려고 but more formal,grammar_b2_formal_intention,bemühe mich,strive,true,grammar_b2_according_to|grammar_b2_definition|grammar_b2_quoted_contractions
N(으)로 인해(서),B2,Kausalangabe formal (aufgrund von),Aufgrund von / Wegen (formal): schriftsprachliche Ursachenangabe,코로나로 인해서 여행을 못 했어요.,Aufgrund von Corona konnte ich nicht reisen.,Formell · N + 로 인해 · Besonders in Texten und Nachrichten,Formal cause (due to),Due to / because of (formal): a written-style statement of cause,"Due to COVID, I couldn't travel.",Formal · N + 로 인해 · especially in texts and news,grammar_b2_formal_cause,Aufgrund von Corona,Due to COVID,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
N에도 불구하고,B2,Trotz (konzessiv),Trotz / Obwohl: Handlung findet trotz einem Hindernis statt,어려움에도 불구하고 성공했어요.,Trotz der Schwierigkeiten hat er Erfolg gehabt.,N에도 불구하고 · Schriftsprachlich,Despite (concessive),Despite / although: the action happens in spite of an obstacle,"Despite the difficulties, he succeeded.",N에도 불구하고 · written style,grammar_b2_despite,Trotz der Schwierigkeiten,Despite the difficulties,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-(으)ㄹ 뿐이다,B2,Einschränkung (nur / lediglich),Nur / Lediglich / Nichts weiter als: schränkt eine Aussage ein,최선을 다할 뿐이에요.,Ich tue nur mein Bestes.,뿐이다 = es ist nur das · Betont die Begrenztheit,Limitation (only / merely),Only / merely / nothing more than: limits a statement,I'm only doing my best.,뿐이다 = it's only that · stresses the limitation,grammar_b2_only,nur,only,true,grammar_b2_according_to|grammar_b2_formal_intention|grammar_b2_definition
V-(으)러,A1,Zweck (um zu / bewegungsbezogen),Um zu / Damit: Zweck einer Bewegung. Hauptverb meist 가다/오다,한국어를 배우러 학원에 가요.,"Ich gehe in die Sprachschule, um Koreanisch zu lernen.",Nach Konsonant: 으러 · Nach Vokal: 러,Purpose (in order to · motion),In order to: the purpose of a movement. The main verb is usually 가다/오다,I go to the language school to learn Korean.,After a consonant: 으러 · after a vowel: 러,grammar_a1_motion_purpose,um Koreanisch zu lernen,to learn Korean,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-(으)ㄴ N,A1,Attributiv Vergangenheit,Vergangenheit als Attribut: das X das jemand tat,어제 본 영화가 재미있었어요.,"Der Film, den ich gestern sah, war interessant.",Verbstamm + (으)ㄴ + Nomen · Adjektive: Gegenwart attributiv,Attributive past,Past as a modifier: the X that someone did,The movie I saw yesterday was interesting.,Verb stem + (으)ㄴ + noun · for adjectives this is the present attributive,grammar_a1_past_modifier,den ich gestern sah,I saw yesterday,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
V-는 N,A1,Attributiv Gegenwart,Gegenwart als Attribut: das X das gerade getan wird,책을 읽는 사람이 많아요.,"Es gibt viele Leute, die ein Buch lesen.",Verbstamm + 는 + Nomen · Nur bei Verben,Attributive present,Present as a modifier: the X that is being done,There are many people reading a book.,Verb stem + 는 + noun · verbs only,grammar_a1_present_modifier,die ein Buch lesen,reading a book,true,grammar_a1_possessive_particle|grammar_a1_degree_question|grammar_a1_approx
