path,group,role,source,visual_review,decision,priority,width,height,mode,size_kb,alpha_coverage_pct,alpha_bbox,sat_mean,value_mean,evaluation,implementation
assets/illustrations/personal_hanok_v2/map/stages/anchae_s3_roof.png,지도 축약 시공,지도 시공 단계: 안채 지붕,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,284.3,6.36,"4,132,991,091,634",0.04,0.036,골조 위 지붕 누적이 자연스럽다.,pending s4_final과 한 체인으로 연결한다.
assets/illustrations/personal_hanok_v2/map/stages/daecheongmaru_s1_platform.png,지도 축약 시공,지도 시공 단계: 대청 기단,production_bundle,direct,아카이브,P1,1536,1152,RGBA,17.6,0.21,"700,460,851,490",0.001,0.001,기하 자체는 정렬되지만 독립 대청 건물 방향을 강화한다.,세계지도 대청 제거와 함께 런타임 체인에서 제외한다.
assets/illustrations/personal_hanok_v2/map/stages/daecheongmaru_s2_frame.png,지도 축약 시공,지도 시공 단계: 대청 골조,production_bundle,direct,아카이브,P1,1536,1152,RGBA,32.9,0.53,"696,416,855,490",0.003,0.003,동일 이유로 구조적으로 불필요하다.,제작 원본/회귀 자료로만 보관한다.
assets/illustrations/personal_hanok_v2/map/stages/haengrangchae_s1_foundation.png,지도 축약 시공,지도 시공 단계: 행랑채 기단,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,9.3,0.05,"26,410,246,671,032",0.001,0,낮고 긴 행랑의 공정 시작이 잘 읽힌다.,B1 시공 체인 1단계.
assets/illustrations/personal_hanok_v2/map/stages/haengrangchae_s2_frame.png,지도 축약 시공,지도 시공 단계: 행랑채 골조,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,62,1.46,"2,629,386,671,032",0.009,0.008,기하 일관성이 좋다.,B1 시공 체인 2단계.
assets/illustrations/personal_hanok_v2/map/stages/haengrangchae_s3_roof.png,지도 축약 시공,지도 시공 단계: 행랑채 지붕,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,125.1,3.05,"2,538,576,751,032",0.011,0.013,지붕 누적이 명확하다.,pending s4_final과 연결.
assets/illustrations/personal_hanok_v2/map/stages/rear_garden_s1_hardscape.png,지도 축약 시공,지도 시공 단계: 후원 경질경관,production_bundle,direct,교체,P1,1536,1152,RGBA,355.2,7.42,"1,081,761,402,595",0.033,0.033,현재 거대 연못/정원 메가레이어의 전제에 묶여 있다.,V2 화계·석축 모듈로 대체한다.
assets/illustrations/personal_hanok_v2/map/stages/rear_garden_s2_bridge.png,지도 축약 시공,지도 시공 단계: 후원 다리,production_bundle,direct,조건부 아카이브,P1,1536,1152,RGBA,390.1,8.21,"1,081,761,402,595",0.036,0.037,다리가 연못 규모를 키우고 후원을 테마파크처럼 만든다.,작은 연못을 최종 채택할 때만 축소 변형을 검토한다.
assets/illustrations/personal_hanok_v2/map/stages/sadang_s1_platform.png,지도 축약 시공,지도 시공 단계: 사당 기단,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,10,0.05,"11,984,631,396,576",0,0,사당의 위계적 시작점으로 명확하다.,사당담 기단과 함께 B2 체인 1단계.
assets/illustrations/personal_hanok_v2/map/stages/sadang_s2_frame_roof.png,지도 축약 시공,지도 시공 단계: 사당 골조·지붕,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,76.5,1.59,"11,983,461,396,576",0.008,0.009,축약 단계로 적당하다.,pending s3_final과 연결.
assets/illustrations/personal_hanok_v2/map/stages/sotdaeulmun_s1_platform.png,지도 축약 시공,지도 시공 단계: 솟을대문 기단,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,19.1,0.29,"61,310,419,261,080",0.001,0.002,문턱과 진입 시작이 잘 읽힌다.,B1 체인 1단계.
assets/illustrations/personal_hanok_v2/map/stages/sotdaeulmun_s2_frame_roof.png,지도 축약 시공,지도 시공 단계: 솟을대문 골조·지붕,production_bundle,direct,유지·배선,P1,1536,1152,RGBA,105.4,2.57,"6,008,759,391,080",0.008,0.011,완성 전 상태가 명확하다.,pending s3_final과 연결.
assets/illustrations/personal_hanok_v2/a1/states/01_site_setout.webp,A1 16단계,A1 터잡기,production_bundle,direct,구조 유지·베이스 교체,P0,1536,1152,RGB,256.3,100,"0,0,1536,1152",0.367,0.602,공정 시작이 명확하지만 이미 완성 담장·식생이 둘러싸여 “맨땅에서 시작”하는 서사가 약하다.,새 A1 sparse base 위에 동일 상태를 합성한다.
assets/illustrations/personal_hanok_v2/a1/states/02_plan_layout.webp,A1 16단계,A1 설계/배치,production_bundle,direct,구조 유지·베이스 교체,P0,1536,1152,RGB,258.7,100,"0,0,1536,1152",0.368,0.601,배치선이 잘 읽히고 1단계와 카메라가 고정된다.,"동일 기하 유지, 미래 영역은 흐림/잠금 처리."
assets/illustrations/personal_hanok_v2/a1/states/03_foundation_gidan.webp,A1 16단계,A1 기초·기단,production_bundle,direct,정본 유지,P0,1536,1152,RGB,257.4,100,"0,0,1536,1152",0.363,0.602,토대 상승이 분명하다.,베이스만 교체하고 구조 픽셀은 건드리지 않는다.
assets/illustrations/personal_hanok_v2/a1/states/04_cornerstones_choseok.webp,A1 16단계,A1 초석,production_bundle,direct,정본 유지,P0,1536,1152,RGB,258,100,"0,0,1536,1152",0.363,0.601,초석의 위치와 반복이 명확하다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/05_timber_preparation.webp,A1 16단계,A1 치목,production_bundle,direct,정본 유지,P0,1536,1152,RGB,261.4,100,"0,0,1536,1152",0.364,0.601,현장에 목재가 등장해 공정 어휘를 행동과 연결하기 좋다.,"그대로 유지, 소품 밀도만 과하지 않게."
assets/illustrations/personal_hanok_v2/a1/states/06_columns.webp,A1 16단계,A1 기둥,production_bundle,direct,정본 유지,P0,1536,1152,RGB,268.1,100,"0,0,1536,1152",0.367,0.597,기둥 수와 위치가 안정적이다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/07_beams_changbang.webp,A1 16단계,A1 창방·보,production_bundle,direct,정본 유지,P0,1536,1152,RGB,267.9,100,"0,0,1536,1152",0.369,0.595,수평 구조 누적이 읽힌다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/08_purlins_sangnyang.webp,A1 16단계,A1 도리·상량,production_bundle,direct,정본 유지,P0,1536,1152,RGB,268.4,100,"0,0,1536,1152",0.371,0.594,상부 구조의 단계 차이가 명확하다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/09_rafters_roof_frame.webp,A1 16단계,A1 서까래·추녀,production_bundle,direct,정본 유지,P0,1536,1152,RGB,278.7,100,"0,0,1536,1152",0.372,0.595,지붕 골조 전환이 가장 교육적으로 좋다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/10_roof_base.webp,A1 16단계,A1 개판·보토,production_bundle,direct,정본 유지,P0,1536,1152,RGB,254.9,100,"0,0,1536,1152",0.364,0.595,기와 이전의 지붕 바탕이 구분된다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/11_giwa_roof.webp,A1 16단계,A1 기와,production_bundle,direct,정본 유지,P0,1536,1152,RGB,270.6,100,"0,0,1536,1152",0.356,0.583,처마선 완성이 보상으로 강하다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/12_wall_frame_sujang.webp,A1 16단계,A1 수장,production_bundle,direct,정본 유지,P0,1536,1152,RGB,271.3,100,"0,0,1536,1152",0.362,0.578,벽 이전 세부 구조가 유지된다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/13_earth_walls.webp,A1 16단계,A1 흙벽,production_bundle,direct,정본 유지,P0,1536,1152,RGB,272.3,100,"0,0,1536,1152",0.363,0.577,외관의 생활 가능성이 커지는 변화가 명확하다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/14_ondol_maru.webp,A1 16단계,A1 온돌·마루,production_bundle,direct,정본 유지,P0,1536,1152,RGB,273.5,100,"0,0,1536,1152",0.363,0.577,내부 마감 단계가 잘 읽힌다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/15_changho_finish.webp,A1 16단계,A1 창호,production_bundle,direct,정본 유지,P0,1536,1152,RGB,274.3,100,"0,0,1536,1152",0.36,0.575,완성 직전의 창호 변화가 분명하다.,그대로 유지.
assets/illustrations/personal_hanok_v2/a1/states/16_landscape_move_in.webp,A1 16단계,A1 입택·조경,production_bundle,direct,유지·조경 절제,P0,1536,1152,RGB,273.9,100,"0,0,1536,1152",0.36,0.575,완성 보상은 좋지만 주변 조경을 많이 넣으면 A1 종료 시 종가가 이미 완성돼 보일 수 있다.,"사랑마당과 나무 1~2그루, 굴뚝/등잔 등 최소 생활 흔적만 허용한다."
assets/illustrations/personal_hanok_v2/interiors/anbang_empty.png,실내 배경,안방 배경,production_bundle,direct,교체,P1,1086,1448,RGB,2169.4,100,"0,0,1086,1448",0.624,0.505,"원근과 공간은 실용적이지만 매끈한 3D 질감, 짙은 광택 마루, 녹색 장식띠가 외부 Faceted Minhwa와 끊기며 민가보다 고급 식당/궁중 공간에 가깝다.","1086×1448 슬롯 계약은 유지하고, 무단청·무광 목재·한지벽·절제된 창호의 Faceted interior V2로 다시 만든다."
assets/illustrations/personal_hanok_v2/interiors/daecheong_empty.png,실내 배경,대청 배경,production_bundle,direct,교체,P1,1086,1448,RGB,2324.8,100,"0,0,1086,1448",0.532,0.514,천장과 보의 단청이 강해 사대부 살림집보다 궁궐·사찰 분위기다. 지도에서 대청을 독립 건물로 둔 문제와도 연결된다.,사랑대청/안대청 두 venue 중 하나로 재정의한다. 열린 기둥·우물마루·비워진 마루를 중심으로 무단청에 가깝게 재제작한다.
assets/illustrations/hanok/sarangbang_empty.png,실내 배경,사랑방 배경,production_bundle,direct,임시 유지·교체 예정,P1,1086,1448,RGB,2496,100,"0,0,1086,1448",0.674,0.542,세 실내 중 가장 따뜻하고 단순하지만 여전히 사실적 3D와 녹색 장식띠가 강하다.,"현재 슬롯 편집을 깨지 않도록 임시 유지하고, F-A 가구와 같은 면분할·한지 무광 배경으로 교체한다."
assets/illustrations/hanok/achievements.png,구 한옥/UI,한옥 관련 업적 UI 배너,production_bundle,direct,UI 전용 유지,P3,1254,608,P,376.7,100,"0,0,1254,608",0.302,0.573,한옥 처마와 마스코트 브랜딩은 좋지만 estate 카메라/재질과 무관하다.,"업적 화면에만 유지, V2 모델 입력 금지."
assets/illustrations/hanok/calligraphy.png,구 한옥/UI,한옥 관련 캘리그래피 UI 배너,production_bundle,direct,UI 전용 유지,P3,1254,372,P,203.7,100,"0,0,1254,372",0.271,0.734,그래픽 배너로는 적합하다.,학습 UI에만 사용.
assets/illustrations/hanok/gate_door_left.png,구 한옥/UI,한옥 관련 인트로 문짝 소스,production_bundle,direct,소스 보관,P3,737,2135,P,218.3,87.64,"1,31,711,2102",0.727,0.515,고해상도 문짝 분리본으로 애니메이션 재렌더에는 유용하다.,지도 건물로 사용하지 않는다.
assets/illustrations/hanok/gate_door_right.png,구 한옥/UI,한옥 관련 인트로 문짝 소스,production_bundle,direct,소스 보관,P3,737,2135,P,207.7,87.53,"34,29,718,2103",0.766,0.521,좌측과 동일하다.,지도 건물로 사용하지 않는다.
assets/illustrations/hanok/gate_final.png,구 한옥/UI,한옥 관련 구 대문 장면,production_bundle,direct,아카이브,P3,1024,1536,P,648,100,"0,0,1024,1536",0.415,0.615,세로 수채 장면과 다른 시점이라 V2에 섞을 수 없다.,인트로/기록용만.
assets/illustrations/hanok/gate_frame.png,구 한옥/UI,한옥 관련 구 대문 프레임,production_bundle,direct,아카이브,P3,941,1672,P,104.1,34.48,"0,357,941,1447",0.187,0.762,정면 프레임·장식이 강하고 fixed estate 시점과 불일치한다.,V2 참조 금지.
assets/illustrations/hanok/kkeunmari_hero.png,구 한옥/UI,한옥 관련 끝말잇기 히어로,production_bundle,direct,UI 전용 유지,P3,1254,700,RGB,1321.9,100,"0,0,1254,700",0.448,0.699,마스코트 학습 배너로 적합하다.,게임 UI만.
assets/illustrations/hanok/listening_hero.png,구 한옥/UI,한옥 관련 듣기 히어로,production_bundle,direct,UI 전용 유지,P3,1254,700,RGB,1288.5,100,"0,0,1254,700",0.28,0.661,마스코트/처마 배너로 적합하다.,듣기 UI만.
assets/illustrations/hanok/madang(light).png,구 한옥/UI,한옥 관련 세로 마당 UI 배경,production_bundle,direct,UI 전용 유지,P3,848,1854,P,323,100,"0,0,848,1854",0.132,0.94,여백이 많은 세로 UI 배경이지 종가 지도 마당이 아니다.,스크린 배경만.
assets/illustrations/hanok/porch.png,구 한옥/UI,한옥 관련 처마/까치 배너,production_bundle,direct,UI 전용 유지,P3,1254,700,RGB,1335.3,100,"0,0,1254,700",0.248,0.619,배너로는 일관되지만 estate 자산이 아니다.,UI만.
assets/illustrations/hanok/study_classroom.png,구 한옥/UI,한옥 관련 공부방 배너,production_bundle,direct,UI 전용 유지,P3,1254,601,P,457.3,100,"0,0,1254,601",0.412,0.729,평면 그래픽 학습 장면으로 적합하다.,학습 화면만.
assets/illustrations/hanok/study_scholar.png,구 한옥/UI,한옥 관련 선비 공부 배너,production_bundle,direct,UI 전용 유지,P3,1254,680,P,408.1,100,"0,0,1254,680",0.482,0.688,학습 맥락에는 좋다.,학습 화면만.
assets/illustrations/hanok/taego-joy-duo.png,구 한옥/UI,한옥 관련 마스코트 듀오,production_bundle,direct,브랜드 전용 유지,P3,1280,720,P,424.4,100,"0,0,1280,720",0.251,0.832,브랜드 자산이다.,한옥 지도 레이어로 사용하지 않는다.
assets/illustrations/hanok/welcome-hero.png,구 한옥/UI,한옥 관련 환영 히어로,production_bundle,direct,브랜드 전용 유지,P3,1254,1254,RGB,2111.2,100,"0,0,1254,1254",0.355,0.81,캐릭터 선택/환영 포스터에 적합하다.,지도 참조 금지.
assets/illustrations/hanok_stages/stage_beams_light.png,레거시 성장 배너,보·서까래 단계,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,670.8,100,"0,0,841,1870",0.251,0.799,이미 UI 텍스트와 카드가 구워진 장면이라 순수 에셋이 아니다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_dancheong_light.png,레거시 성장 배너,단청 단계,production_bundle,direct,레거시만·향후 폐기 후보,P3,841,1870,P,562.9,100,"0,0,841,1870",0.326,0.693,민가 종가의 새 아트 방향과 정면 충돌한다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_empty_light.png,레거시 성장 배너,빈 터,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,443.8,100,"0,0,841,1870",0.246,0.759,수직 배너용이며 fixed estate와 다른 지형/카메라다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_foundation_light.png,레거시 성장 배너,기초,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,446.7,100,"0,0,841,1870",0.255,0.759,전체 장면 재그림 방식이라 A1 deterministic 체인보다 열등하다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_gate_light.png,레거시 성장 배너,대문,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,568.2,100,"0,0,841,1870",0.393,0.668,독립 대문 보상 논리를 강화한다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_jongga_light.png,레거시 성장 배너,완성 종가,production_bundle,direct,레거시 UI 유지,P3,841,1870,RGB,2472.4,100,"0,0,841,1870",0.347,0.622,한 화면에 완성 요소가 누적된 구 목표상이다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_pillars_light.png,레거시 성장 배너,기둥,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,437.4,100,"0,0,841,1870",0.279,0.739,공정 교육은 가능하나 기하가 A1 체인과 일치하지 않는다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_sidebuilding_light.png,레거시 성장 배너,곁채,production_bundle,direct,레거시 UI 유지,P3,841,1870,RGB,2016.4,100,"0,0,841,1870",0.344,0.696,구 수집형 곁채 표현이다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_thatch_light.png,레거시 성장 배너,초가지붕,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,548.9,100,"0,0,841,1870",0.353,0.72,현재 기와 종가 성장축과 별도다.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_tile_complete_light.png,레거시 성장 배너,기와 완성,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,561.8,100,"0,0,841,1870",0.336,0.691,fixed canvas 시공 상태로 재사용 불가.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_tile_partial_light.png,레거시 성장 배너,기와 부분,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,547.4,100,"0,0,841,1870",0.323,0.708,동일.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/hanok_stages/stage_windows_light.png,레거시 성장 배너,창호,production_bundle,direct,레거시 UI 유지,P3,841,1870,P,606.2,100,"0,0,841,1870",0.344,0.695,동일.,현재 학습경로 헤더가 필요하면 유지하되 F-F로 표시하고 V2 생성 참조·합성 입력에서 배제한다.
assets/illustrations/decorations/decoration_baduk.png,장식·생활 자산,바둑,production_bundle,direct,유지,P1,1330,887,P,444.4,52.63,"37,38,1292,851",0.504,0.396,사랑방 추론·대화 행동 소켓으로 매우 좋다.,"사랑방에만, 사용 장면에서 노출."
assets/illustrations/decorations/decoration_bandaji.png,장식·생활 자산,반닫이,production_bundle,direct,유지·공간 이동,P1,1330,906,P,469.6,71.21,"37,38,1292,869",0.56,0.386,재질은 좋지만 사랑방 기본 세트에 항상 두면 과밀하다.,안방·별당·곳간 중 하나에 배정.
assets/illustrations/decorations/decoration_bangseok_pair.png,장식·생활 자산,방석 두 장,production_bundle,direct,유지,P1,1330,613,P,298.3,56.82,"37,38,1292,576",0.411,0.392,손님 도착/수량·배치 퀘스트에 직접 쓰기 좋다.,사랑방/대청 이벤트 상태.
assets/illustrations/decorations/decoration_boryo_set.png,장식·생활 자산,보료·안석,production_bundle,direct,유지,P1,1330,849,P,508.5,60.66,"36,38,1292,812",0.605,0.457,주인 접객 위치를 명확히 만든다.,사랑방 호스트 소켓 하나.
assets/illustrations/decorations/decoration_byeongpung_small.png,장식·생활 자산,소병풍,production_bundle,direct,유지·선택형,P1,1147,1330,P,847.8,80.18,"37,38,1109,1293",0.556,0.576,절제된 배경 선택으로 좋다.,다른 대형 병풍과 동시 사용 금지.
assets/illustrations/decorations/decoration_chaekgado.png,장식·생활 자산,책가도,production_bundle,direct,유지·공간 제한,P1,495,568,RGBA,354.7,88.46,"15,15,479,553",0.376,0.345,한글소리 고유성이 강하지만 시각 밀도가 높다.,서고 또는 사랑방 한 벽의 선택형 1점.
assets/illustrations/decorations/decoration_chuseok_moon.png,장식·생활 자산,추석 달,production_bundle,direct,조건부,P2,627,627,RGBA,429,29.34,"46,124,599,483",0.083,0.983,역사 지도 자산보다 시즌 UI/하늘 오버레이다.,추석 이벤트에서만.
assets/illustrations/decorations/decoration_deungjan.png,장식·생활 자산,등잔대,production_bundle,direct,유지·조건부,P1,409,1330,P,105.4,32.38,"37,38,371,1293",0.46,0.422,A2 생활화와 야간 상태에 적합하다.,저녁/독서 상태 하나만.
assets/illustrations/decorations/decoration_dokkaebi_fire.png,장식·생활 자산,도깨비불,production_bundle,direct,기본 제외,P2,1254,1254,RGBA,748.7,24.2,"157,81,1118,1110",0.117,0.213,Faceted 스타일은 맞지만 역사적 종가 기본 상태를 판타지화한다.,별도 설화 이벤트에서만.
assets/illustrations/decorations/decoration_doldam.png,장식·생활 자산,돌담,production_bundle,direct,유지·모듈화,P1,1200,200,RGBA,219.5,48.35,"6,24,1194,175",0.178,0.293,인프라 에셋으로 유용하다. 현재 길쭉한 컷아웃은 fixed map 축척 조정이 필요하다.,담장 모듈 세트의 재료로 사용.
assets/illustrations/decorations/decoration_gat_buchae.png,장식·생활 자산,갓·부채,production_bundle,direct,유지·실내 전용,P1,584,1330,RGBA,382,23.33,"38,38,546,1292",0.081,0.073,사랑방 사용자의 흔적을 빠르게 만든다.,"벽/선반/의복 소켓, 세계지도 금지."
assets/illustrations/decorations/decoration_geomungo.png,장식·생활 자산,거문고,production_bundle,direct,유지,P1,1330,598,P,202.3,32.89,"37,38,1292,562",0.41,0.413,풍류·감정·음악 대화 행동 소켓으로 좋다.,사랑방 선택형.
assets/illustrations/decorations/decoration_gobi.png,장식·생활 자산,고비,production_bundle,direct,유지,P1,489,1330,P,334,69.65,"36,38,452,1292",0.512,0.359,편지 읽기/보관 행동과 연결된다.,사랑방 벽 소켓.
assets/illustrations/decorations/decoration_hangeulday_plaque.png,장식·생활 자산,한글날 액자,production_bundle,direct,이벤트 UI 전용,P2,627,418,RGBA,356.5,62.87,"59,45,567,370",0.243,0.739,읽을 수 있는 현대 한글 문구가 고증 공간을 깨뜨린다.,한글날 이벤트/학습 UI에서만.
assets/illustrations/decorations/decoration_hwaro.png,장식·생활 자산,화로,production_bundle,direct,유지·겨울 조건,P1,1330,841,P,443.5,63.39,"36,38,1292,803",0.421,0.345,겨울 생활 상태를 강하게 만든다.,겨울/추운 날만.
assets/illustrations/decorations/decoration_hyangno.png,장식·생활 자산,향로,production_bundle,direct,유지·특별 조건,P1,1330,977,P,393.8,54.15,"37,38,1292,940",0.498,0.394,항상 두면 장식이 과해지지만 특별 접객·의례에는 좋다.,이벤트 상태에서만.
assets/illustrations/decorations/decoration_jagae_mungap.png,장식·생활 자산,자개 문갑,production_bundle,direct,유지·공간 이동,P1,664,356,RGBA,283.3,66.54,"18,18,646,338",0.235,0.24,품질은 좋고 화려하지만 사랑방에 다른 장식과 함께 놓으면 부유함이 잡동사니가 된다.,안방/별당 고급 가구 1점으로 제한.
assets/illustrations/decorations/decoration_jangdokdae.png,장식·생활 자산,장독대 6기,production_bundle,direct,유지·파생,P1,1254,836,P,150,41.96,"107,92,1158,796",0.193,0.748,재질이 좋고 생활경제를 보여주지만 크고 완결된 플랫폼이라 지도에 그대로 놓기 어렵다.,2기/3기 소형 변형을 파생해 안채 뒤·작업마당에 배치.
