no,phase,level,level_phase,topic,grammar,function,vocabulary,text_type,en_bridge,de_bridge,pragmatics
11,KP11 B1.3 비교·평가·대안을 근거와 함께 말하기,B1,B1.3,"돈·요금·계약·보험, 쇼핑·소비·결제, 미디어·대중문화(K-pop·드라마·SNS), 환경·기후·지속가능성, 사회 문제·시사·공동체, 식음료·식당","만큼, -는 만큼, 같이, 대로, 뿐, 이고, -어도, -으나, -는 대신에, -는 반면, -는 편이다, -어 보이다, -기는, 에 대하여","비교·대조·대안 검토하기, 평가·비판·한계 지적하기, 의견 말하고 동의·반대하기, 설득·논증·정당화하기","돈·가격·금융·계약 어휘, 미디어·대중문화 어휘, 사회·경제·추상 명사, 관용 표현·연어·담화 표지(품사=표현) — 요금, 결제, 비용, 기사, 방송, 댓글, 제도, 고용, 소비, 마음에 들다, 도움이 되다, 약속을 지키다","신문 기사·보도문, SNS 게시물·댓글·포럼, 리뷰·비평문, 발표·브리핑","B2: as much as; as; only; both, even if; whereas; instead of, tend to; look; qualified evaluation; about","B2: so viel wie; gemäß; nur; sowohl, auch wenn; während; statt, eher; aussehen; eingeschränkte Bewertung; über","해요체(공손 비격식), 합쇼체·업무 격식 — 공통 기준을 정한 모임의 대안 비교. 제품 선호를 사람의 성격으로 확대하지 않는다."
12,KP12 B1.4 조건·의무·도움을 협의하기,B1,B1.4,"공공 서비스·관공서·은행·우체국, 직업·직장·취업, 교육·학교·학습, 가족·인간관계, 윤리·철학·추상적 논쟁","-거든1, -어야, -어야지1, -어야겠-, -으려면, -도록, -기 위해, -게 하다, -어 드리다, -으면 안 되다, -으면 좋겠다, -을 테니, 만 아니면","협상·절충·조건 조율하기, 거절하고 경계 정하기, 불만 제기·이의 신청하기, 이유·원인·결과 설명하기","행정·공공 서비스 어휘, 직업·직장 어휘, 감정·성격 어휘, 관용 표현·연어·담화 표지(품사=표현) — 신청, 접수, 창구, 직업, 회사, 동료, 기쁘다, 걱정하다, 당황하다, 마음에 들다, 도움이 되다, 약속을 지키다","격식 이메일·공문, 설명문·안내 텍스트, 면접","B2: if; only if; must; in order to, so that; make/let; do for, must not; wish; I'll so; except if","B2: wenn; nur wenn; müssen; um zu, damit; lassen; für jemanden tun, nicht dürfen; wünschen; ich werde; außer wenn","해요체(공손 비격식), 합쇼체·업무 격식, 친밀체(연인·가까운 사이) — 동료 간 요청과 공식 요청 메일을 구별한다. 업무 권한과 상대의 부담을 과제 카드에 제시한다."
13,KP13 B1.5 정보를 인용하고 근거를 구분하기,B1,B1.5,"기술·디지털·AI·데이터, 전화·메신저·인터넷 소통, 예절·관습·명절·호칭, 문화 차이·세계화·이주, 사회 문제·시사·공동체","이라고1, -는다고3, -는다고1, -는다거나1, 보고, 으로부터, -거든2, -잖아, -나 보다, -는가 보다, -는 모양이다, -을 텐데, -으니2","들은 정보 전달하기(간접화법), 요약·재구성하기, 확신·의심·완곡 표현하기, 바꿔 말하기·문장 고쳐 쓰기","기기·인터넷·디지털 어휘, 언어·문법·화법 메타언어, 미디어·대중문화 어휘, 사회·경제·추상 명사 — 파일, 비밀번호, 접속, 인용, 맥락, 화자, 기사, 방송, 댓글, 제도, 고용, 소비","신문 기사·보도문, 격식 이메일·공문, 발표·브리핑, 설명문·안내 텍스트","B2: quotation; said that; because; examples, tell; from; you see; shared background, seem; apparently; would expect; because","B2: Zitat; dass/Konjunktiv; weil; Beispiele, jemandem sagen; von; Begründung; gemeinsamer Wissensstand, scheinen; offenbar; Erwartung; denn","해요체(공손 비격식), 반말(친근·평교), 합쇼체·업무 격식 — 두 발언 출처를 구별하는 전달 장면. 출처가 미상인 부분은 미상으로 남긴다."
14,KP14 B2.1 자료·정의·역할을 설명하기,B2,B2.1,"기술·디지털·AI·데이터, 교육·학교·학습, 과학·연구·근거·통계, 정치·법·제도·행정, 돈·요금·계약·보험, 공공 서비스·관공서·은행·우체국","-는지, -듯이, -으며, 이며, 으로서, 으로써, 이란, 에 따라, 에 비하여, -을수록","용어 정의·개념 구분하기, 대화 열고 닫기·범위 정하기, 비교·대조·대안 검토하기, 요청·부탁하기","사회·경제·추상 명사, 제도·법률·행정 담화 어휘, 논증·평가·근거 어휘 — 제도, 고용, 소비, 권한, 책임, 조항, 근거, 반론, 타당성","보고서·제안서·공식 문서, 계약서·약관·법률 텍스트, 발표·브리핑","B2: whether/what; as if; while; and, as; by means of; is defined as, depending on; compared with; the more","B2: ob/was; wie; während; und, als; mittels; wird definiert als, je nach; im Vergleich; je mehr","합쇼체·업무 격식, 해요체(공손 비격식) — 전문가가 동료·비전문 청중에게 자료를 설명한다. 정의와 요청의 청중은 별도 표시한다."
15,KP15 B2.2 원인과 영향을 평가해 보고하기,B2,B2.2,"환경·기후·지속가능성, 경제·기업·노동시장, 직업·직장·취업, 건강·신체·병원·약국, 동네·이웃·주변 환경, 주거·집","-더니, -고서, -기에, -는 바람에, -는 탓에, -는 통에, 으로 인하여, -는 사이에, -는 김에, -어 대다, -어 버리다, -을 뻔하다, -어서인지 (재방문 -고 있다, -어 있다)","평가·비판·한계 지적하기, 불만 제기·이의 신청하기, 확신·의심·완곡 표현하기, 대화 열고 닫기·범위 정하기","사회·경제·추상 명사, 논증·평가·근거 어휘, 직업·직장 어휘 — 제도, 고용, 소비, 근거, 반론, 타당성, 직업, 회사, 동료","신문 기사·보도문, 보고서·제안서·공식 문서, 격식 이메일·공문","B2: observed then; after; since/because, because of; due to; thanks to versus blame, while; while at it; keep; end up; nearly","B2: beobachtet dann; nachdem; da/weil, wegen; aufgrund; dank versus Schuld, während; bei der Gelegenheit; ständig; fast","합쇼체·업무 격식, 해요체(공손 비격식) — 문제의 경위를 동료에게 설명한 뒤 공식 보고로 정리한다. 책임 소재는 주어진 증거만 따른다."
16,KP16 B2.3 가정·양보·선택 범위를 논의하기,B2,B2.3,"사회 문제·시사·공동체, 정치·법·제도·행정, 문화 차이·세계화·이주, 돈·요금·계약·보험, 여행·숙박","-는다면1, 만 같아도, -더라도, -을래야, -든지2, 이든, 이나마, 이라도, 이면, 치고, -는 한, -는다거나2","협상·절충·조건 조율하기, 거절하고 경계 정하기, 설득·논증·정당화하기, 비교·대조·대안 검토하기","제도·법률·행정 담화 어휘, 논증·평가·근거 어휘, 관용 표현·연어·담화 표지(품사=표현) — 권한, 책임, 조항, 근거, 반론, 타당성, 마음에 들다, 도움이 되다, 약속을 지키다","계약서·약관·법률 텍스트, 논설문·의견문(에세이), 회의·공식 토론","B2: if; even a little; even if; cannot despite trying, whichever; at least; even an alternative, if it is; for a member of; as long as; alternatives","B2: wenn; schon wenn; selbst wenn; trotz Absicht nicht können, egal welche; wenigstens; zur Not, wenn es; für ein; solange; Alternativen","해요체(공손 비격식), 합쇼체·업무 격식 — 동등한 협상 참여자. 개인 의지·기관의 권한·실행 가능성을 별도 조건으로 준다."
17,KP17 B2.4 인용을 확인하고 오해를 바로잡기,B2,B2.4,"가족·인간관계, 미디어·대중문화(K-pop·드라마·SNS), 예절·관습·명절·호칭, 예술·문학·역사·기억","-어라1, -는대2, -고4, -게5, -나3, -는다니2, -는다면서1, -다니1, -더군, -더라, -던데1, -는 줄, -어야지2","당사자 사이 중재·조정하기, 발언권 관리·끼어들기, 말투·존댓말·호칭 조절하기, 의견 말하고 동의·반대하기","미디어·대중문화 어휘, 예절·높임·호칭 어휘, 관용 표현·연어·담화 표지(품사=표현) — 기사, 방송, 댓글, 호칭, 높임, 말씀, 마음에 들다, 도움이 되다, 약속을 지키다","문학 텍스트, 회의·공식 토론, 리뷰·비평문","B2: told to; said; and what about; checking intent, wonder; you say; is that so; surprise, I noticed; background; thought that; should","B2: Aufforderung berichten; hieß es; Rückfrage, sich fragen; du sagst; stimmt das; Überraschung, ich bemerkte; Hintergrund; dachte; sollte","해요체(공손 비격식), 반말(친근·평교), 친밀체(연인·가까운 사이), 합쇼체·업무 격식 — 친밀한 대화와 공식 회의에서 인용을 확인한다. 같은 말끝도 관계와 이전 발화로 판단한다."
18,KP18 B2.5 논거를 종합하고 결론의 강도를 조절하기,B2,B2.5,"윤리·철학·추상적 논쟁, 과학·연구·근거·통계, 기술·디지털·AI·데이터, 교육·학교·학습, 환경·기후·지속가능성","-다시피, -거니와, 에 의하여, -으므로, -나 싶다, -는 듯, -을걸, -을 모양이다, 까지2, 마저, 이야, 커녕, -을 따름이다, -고자, -고도, -고 들다, -고 보다, -고 해서, -는 대로","설득·논증·정당화하기, 평가·비판·한계 지적하기, 확신·의심·완곡 표현하기, 대화 열고 닫기·범위 정하기","사회·경제·추상 명사, 논증·평가·근거 어휘, 관용 표현·연어·담화 표지(품사=표현) — 제도, 고용, 소비, 근거, 반론, 타당성, 마음에 들다, 도움이 되다, 약속을 지키다","논설문·의견문(에세이), 신문 기사·보도문, 발표·브리핑","C1: as you know; moreover; by; therefore, I wonder if; as though; I should have; expected, even; not even; as for; merely, intend; despite doing; insist; on occasion","C1: wie bekannt; außerdem; durch; daher, ich frage mich ob; als ob; hätte ... sollen; Erwartung, sogar; nicht einmal; gerade; lediglich, beabsichtigen; trotz; darauf bestehen; bei Gelegenheit","합쇼체·업무 격식, 해요체(공손 비격식) — 공개 발표와 동료 토론. 공적 발표의 격식을 일상 대화 전체로 넓히지 않는다."
19,KP19 C1.1 전문 내용을 문어로 조직하기,C1,C1.1,"전문 분야·학술·직무 언어, 과학·연구·근거·통계, 직업·직장·취업, 경제·기업·노동시장","-다4, -기에 앞서(서), -는 가운데, -는 동시에, -은 채로, -고는, -기가 바쁘게, -었던, 에 관하여, -어 내다 (재방문 -어 있다)","요약·재구성하기, 바꿔 말하기·문장 고쳐 쓰기, 용어 정의·개념 구분하기, 대화 열고 닫기·범위 정하기","논증·평가·근거 어휘, 제도·법률·행정 담화 어휘, 언어·문법·화법 메타언어, 관용 표현·연어·담화 표지(품사=표현) — 논거, 타당성, 추론 과정, 업무 분장, 책임 소재, 시행 절차, 명사화, 정보 구조, 행위 주체, 논지를 전개하다, 핵심을 짚다, 맥을 짚다","학술·전문 텍스트, 보고서·제안서·공식 문서","C1: plain written assertion; before; amid; at the same time, with a state maintained; would then; no sooner, previously completed; concerning; manage to","C1: Sachprosa; vor; während; zugleich, in unverändertem Zustand; wiederholt; kaum…schon, früher abgeschlossen; hinsichtlich; bewältigen","합쇼체·업무 격식, 해요체(공손 비격식) — 연구·업무 동료에게 해요체로 설명한 뒤 공개 브리핑과 문어 보고로 재구성한다."
20,KP20 C1.2 불확실성과 일반화의 한계를 표현하기,C1,C1.2,"과학·연구·근거·통계, 기술·디지털·AI·데이터, 건강·신체·병원·약국, 환경·기후·지속가능성","-는 듯하다, -을 법하다, -으려나 보다, -을 만하다, -게 마련이다, -기가 쉽다, -는 법이다, -는가1 (재방문 -는 것 같다)","확신·의심·완곡 표현하기, 평가·비판·한계 지적하기, 비교·대조·대안 검토하기, 용어 정의·개념 구분하기","논증·평가·근거 어휘, 사회·경제·추상 명사, 언어·문법·화법 메타언어, 관용 표현·연어·담화 표지(품사=표현) — 반증 가능성, 표본 편향, 잠정 결론, 일반화, 경향성, 상관관계, 양태, 유보 표현, 확신 정도, 판단을 유보하다, 근거를 뒷받침하다, 여지를 남기다","학술·전문 텍스트, 신문 기사·보도문, 발표·브리핑","C1: seem; plausible; appear about to, worth doing; tend to; be liable to, general rule; reflective question","C1: scheinen; plausibel; offenbar vorhaben, lohnend; gewöhnlich; leicht dazu neigen, allgemeiner Grundsatz; Reflexionsfrage","해요체(공손 비격식), 합쇼체·업무 격식 — 동등한 전문 동료와 자료를 평가한다. 전문성은 모든 발화를 합니다체로 만들지 않는다."
21,KP21 C1.3 반론을 수용하고 논증을 정교화하기,C1,C1.3,"윤리·철학·추상적 논쟁, 정치·법·제도·행정, 사회 문제·시사·공동체, 문화 차이·세계화·이주","-는데도, -는데도 불구하고, 에도 불구하고, -을지라도, 조차, 는 말할 것도 없고, -을뿐더러, -는 데다가, -느니1, -지1","설득·논증·정당화하기, 비교·대조·대안 검토하기, 거절하고 경계 정하기, 당사자 사이 중재·조정하기","논증·평가·근거 어휘, 제도·법률·행정 담화 어휘, 사회·경제·추상 명사, 관용 표현·연어·담화 표지(품사=표현) — 반론, 논증 구조, 전제, 제도적 제약, 예외 규정, 권한 범위, 기회비용, 형평성, 이해관계, 논점을 흐리다, 반론을 제기하다, 허점을 짚다","강연·연설·긴 독백, 계약서·약관·법률 텍스트, 논설문·의견문(에세이), 회의·공식 토론","C1: despite; even though, even if; even; not to mention, not only; additionally; rather than; X not Y","C1: trotz; obwohl, selbst wenn; sogar; ganz zu schweigen von, nicht nur; außerdem; lieber als; X statt Y","합쇼체·업무 격식, 해요체(공손 비격식) — 서로 다른 견해를 가진 공론장 참여자와 대면 조정. 입장과 인격 평가를 분리한다."
22,KP22 C1.4 정책·선택의 조건과 책임 검토하기,C1,C1.4,"경제·기업·노동시장, 정치·법·제도·행정, 환경·기후·지속가능성, 교육·학교·학습","-을 테다, -을 테면, -을 테지만, -기 나름이다, -기에 따라, -은 나머지, -는 이상, -다가는, -으면 몰라도","협상·절충·조건 조율하기, 평가·비판·한계 지적하기, 거절하고 경계 정하기, 대화 열고 닫기·범위 정하기","제도·법률·행정 담화 어휘, 사회·경제·추상 명사, 논증·평가·근거 어휘, 관용 표현·연어·담화 표지(품사=표현) — 집행 권한, 시행 조건, 평가 지표, 정책 효과, 재원, 파급 효과, 위험 평가, 비용 편익, 실현 가능성, 책임을 지다, 조건을 충족하다, 입장 차를 좁히다","계약서·약관·법률 텍스트, 보고서·제안서·공식 문서, 회의·공식 토론","C1: intend firmly; if you really will; will but, depend on; according to how; so much that, given that; if this continues; unless","C1: entschlossen sein; wenn schon; zwar…aber, abhängen von; je nachdem; so sehr dass, da nun; wenn das so weitergeht; es sei denn","합쇼체·업무 격식, 해요체(공손 비격식) — 정책 담당자와 이해관계자의 협의. 실제 권한과 약속 가능한 범위를 과제에 명시한다."
23,KP23 C1.5 여러 출처의 말과 의도를 중개하기,C1,C1.5,"미디어·대중문화(K-pop·드라마·SNS), 사회 문제·시사·공동체, 전문 분야·학술·직무 언어, 직업·직장·취업","-는다기에, -는다니1, -자기에, -더라고, -데, -다니1, -는다는 것이, 를 가지고","요약·재구성하기, 당사자 사이 중재·조정하기, 프레임·함축·전제 분석하기, 바꿔 말하기·문장 고쳐 쓰기","언어·문법·화법 메타언어, 논증·평가·근거 어휘, 관용 표현·연어·담화 표지(품사=표현) — 인용 범위, 전언, 발화 주체, 출처 확인, 교차 검증, 정정, 말을 옮기다, 뜻을 조율하다, 말을 보태다","신문 기사·보도문, 강연·연설·긴 독백, 발표·브리핑, 보고서·제안서·공식 문서","C1: because I heard; who was told to; suggestion reported, I noticed; was like; to think, meant to but; over/about","C1: weil es hieß; wer sollte; Vorschlag berichtet, ich habe bemerkt; Feststellung; dass…, wollte eigentlich; wegen/über","해요체(공손 비격식), 합쇼체·업무 격식 — 발언을 중개하는 동료. 전달자·원 발언자·명령 수행자를 한 사람으로 합치지 않는다."
24,KP24 C1.6 관계와 장르에 맞춰 말투를 재구성하기,C1,C1.6,"예술·문학·역사·기억, 가족·인간관계, 언어·학습·의사소통 되묻기, 윤리·철학·추상적 논쟁","-거라, -고말고, -네2, -는걸, -으려고2, -게 생겼다, -는 척하다, -기만 하다, 따라, 이라든가, -길래 (재방문 -으시-)","프레임·함축·전제 분석하기, 바꿔 말하기·문장 고쳐 쓰기, 확신·의심·완곡 표현하기, 평가·비판·한계 지적하기","예술·역사·기억 담화 어휘, 언어·문법·화법 메타언어, 관용 표현·연어·담화 표지(품사=표현) — 서술자, 작품 해석, 비평, 냉소, 반어, 공유 전제, 말에 뼈가 있다, 말문을 열다, 속내를 드러내다","문학 텍스트, 강연·연설·긴 독백, 회의·공식 토론, 논설문·의견문(에세이)","C1: familiar directive; certainly; exclamation, I find; surely not; looks likely to go wrong, pretend; only keep; of all days; examples; because","C1: vertraute Aufforderung; gewiss; Ausruf, Feststellung; etwa; drohende Entwicklung, so tun als ob; nur; ausgerechnet; etwa; weil","반말(친근·평교), 친밀체(연인·가까운 사이), 해요체(공손 비격식), 합쇼체·업무 격식 — 가까운 관계의 갈등 조정과 공개 성찰. 친밀체 사용의 근거는 합의된 관계다."
