kind,id,level,estimate,delta,reason,blocked_by,bundle_id,suggested_action
cloze,cloze_a1_0146,a1,a2,1,over1 grammar=nikl_g2_을_때:2,,a1_partner_table_basic_1,step_up_or_swap
cloze,cloze_a1_0147,a1,b2,3,over2 grammar=grammar_b2_indirect_speech:4,,a1_partner_table_basic_1,bundle_move
cloze,cloze_a1_0149,a1,a2,1,over1 lex_p90=1.7,,a1_partner_seollal_basic_1,step_up_or_swap
cloze,cloze_a1_0150,a1,a2,1,over1 lex_p90=2.0,,a1_partner_seollal_basic_1,step_up_or_swap
cloze,cloze_a1_0152,a1,a2,1,over1 grammar=nikl_g2_는데1:2,,a1_partner_seollal_basic_1,step_up_or_swap
cloze,cloze_a1_0153,a1,a2,1,over1 length,,a1_partner_seollal_basic_1,step_up_or_swap
cloze,cloze_a1_0154,a1,b1,2,over2 lex_p90=2.7,,a1_partner_seollal_basic_1,bundle_move
cloze,cloze_a1_0155,a1,a2,1,over1 lex_p90=2.0,,a1_partner_seollal_basic_1,step_up_or_swap
cloze,cloze_a1_0156,a1,a2,1,over1 grammar=nikl_g2_는데1:2,,a1_partner_seollal_basic_1,step_up_or_swap
cloze,cloze_a1_0157,a1,b2,3,over2 grammar=grammar_b2_indirect_speech:4,,a1_partner_seollal_basic_1,bundle_move
cloze,cloze_a1_0159,a1,b1,2,over2 lex_p90=3.0,,a1_partner_seollal_basic_1,bundle_move
cloze,cloze_a1_0164,a2,b2,2,over2 grammar=grammar_b2_indirect_speech:4,,a2_partner_chuseok_basic_1,bundle_move
cloze,cloze_a1_0169,a2,b1,1,over1 lex_p90=2.8,,a2_partner_chuseok_basic_1,step_up_or_swap
cloze,cloze_a1_0170,b2,a2,-2,under2 lex_p90=2.0,,b2_partner_holiday_duty_1,downgrade_candidate
cloze,cloze_a1_0175,b1,b2,1,over1 grammar=nikl_g4_고_해서:4,,b1_partner_siblings_hello_1,step_up_or_swap
cloze,cloze_a1_0180,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_partner_siblings_hello_1,downgrade_candidate
cloze,cloze_a1_0197,a1,a2,1,over1 lex_p90=1.7,,a1_post_office_1,step_up_or_swap
cloze,cloze_a1_0198,a1,a2,1,over1 lex_p90=2.0,,a1_post_office_1,step_up_or_swap
cloze,cloze_a1_0199,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,,a1_post_office_1,step_up_or_swap
cloze,cloze_a1_0200,a1,a2,1,over1 lex_p90=2.0,,a1_post_office_1,step_up_or_swap
cloze,cloze_a1_0201,a1,a2,1,over1 lex_p90=2.0,,a1_post_office_1,step_up_or_swap
cloze,cloze_a1_0205,a1,a2,1,over1 grammar=grammar_a2_conditional:2,,a1_post_office_1,step_up_or_swap
cloze,cloze_a1_0206,a1,b2,3,over2 lex_p90=3.7,,a1_post_office_1,bundle_move
cloze,cloze_a1_0212,a2,b1,1,over1 lex_p90=2.7,,a2_pharmacy_ask_1,step_up_or_swap
cloze,cloze_a1_0213,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_health_hospital_1,downgrade_candidate
cloze,cloze_a1_0215,a2,b1,1,over1 lex_p90=2.8,,a2_pharmacy_ask_1,step_up_or_swap
cloze,cloze_a1_0223,a1,a2,1,over1 grammar=grammar_a2_conditional:2,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0224,a1,a2,1,over1 grammar=grammar_a2_conditional:2,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0225,a1,a2,1,over1 lex_p90=1.6,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0226,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0228,a1,a2,1,over1 grammar=grammar_a2_like:2,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0229,a1,a2,1,over1 grammar=nikl_g2_는_것_v3:2,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0230,a1,a2,1,over1 grammar=grammar_a2_like:2,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0231,a1,a2,1,over1 grammar=grammar_a2_promise:2,,a1_weekend_promise_1,step_up_or_swap
cloze,cloze_a1_0242,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_neighbors_hall_1,downgrade_candidate
cloze,cloze_a1_0243,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,,b1_neighbors_hall_1,downgrade_candidate
cloze,cloze_a1_0247,a2,b1,1,over1 lex_p90=2.8,,a2_school_supplies_1,step_up_or_swap
cloze,cloze_a1_0254,a2,b1,1,over1 grammar=grammar_b1_consequence:3,,a2_school_supplies_1,step_up_or_swap
cloze,cloze_a1_0264,a2,b1,1,over1 lex_p90=2.8,,a2_subway_card_1,step_up_or_swap
cloze,cloze_a1_0270,a2,b1,1,over1 lex_p90=2.6,,a2_weather_layer_1,step_up_or_swap
cloze,cloze_a1_0271,a2,b1,1,over1 lex_p90=3.0,,a2_weather_layer_1,step_up_or_swap
cloze,cloze_a1_0274,a2,b1,1,over1 lex_p90=2.7,,a2_weather_layer_1,step_up_or_swap
cloze,cloze_a1_0275,a2,b1,1,over1 lex_p90=2.6,,a2_weather_layer_1,step_up_or_swap
cloze,cloze_a1_0279,a2,b1,1,over1 lex_p90=3.0,,a2_weather_layer_1,step_up_or_swap
cloze,cloze_a1_0283,a1,b2,3,over2 lex_p90=3.9,,a1_sorry_thanks_1,bundle_move
cloze,cloze_a1_0285,a1,a2,1,over1 lex_p90=1.9,,a1_sorry_thanks_1,step_up_or_swap
cloze,cloze_a1_0289,a1,a2,1,over1 grammar=grammar_a2_conditional:2,,a1_sorry_thanks_1,step_up_or_swap
cloze,cloze_a1_0290,a1,a2,1,over1 lex_p90=1.7,,a1_sorry_thanks_1,step_up_or_swap
cloze,cloze_a1_0295,a1,a2,1,over1 grammar=grammar_a2_dative_person:2,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0298,a1,a2,1,over1 grammar=grammar_a2_conditional:2,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0309,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0310,a1,b1,2,fallback_over2 fallback:basic2023 lex_p90=2.8,can_do_ref,,review_fallback
cloze,cloze_a1_0314,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0315,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0316,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0320,a1,b1,2,over2 grammar=nikl_g3_나_보다:3,can_do_ref,,bundle_move
cloze,cloze_a1_0322,a1,b1,2,over2 grammar=nikl_g3_으면_안_되다_v3:3,can_do_ref,,bundle_move
cloze,cloze_a1_0325,a1,a2,1,over1 lex_p90=1.9,,a1_payment_delivery_1,step_up_or_swap
cloze,cloze_a1_0328,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0329,a1,a2,1,over1 lex_p90=1.8,,a1_payment_delivery_1,step_up_or_swap
cloze,cloze_a1_0333,a1,a2,1,over1 lex_p90=1.7,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0341,a1,a2,1,over1 grammar=grammar_a2_dative_person:2,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0342,a1,a2,1,over1 lex_p90=1.9,can_do_ref,,step_up_or_swap
cloze,cloze_a1_0348,a1,a2,1,over1 grammar=grammar_a2_tag_confirmation:2,,a1_city_services_2026_1,step_up_or_swap
cloze,cloze_a2_0014,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0015,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0023,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0025,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0027,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0029,a2,c1,3,over2 lex_p90=4.6,can_do_ref,,bundle_move
cloze,cloze_a2_0043,a2,b1,1,over1 lex_p90=2.7,can_do_ref,a2_food_1,step_up_or_swap
cloze,cloze_a2_0049,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0050,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0051,a2,b1,1,over1 lex_p90=2.9,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0054,a2,b2,2,over2 lex_p90=3.9,can_do_ref,,bundle_move
cloze,cloze_a2_0066,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0068,a2,b2,2,over2 lex_p90=3.9,can_do_ref,,bundle_move
cloze,cloze_a2_0069,a2,c1,3,over2 lex_p90=4.7,can_do_ref,,bundle_move
cloze,cloze_a2_0074,a2,b1,1,over1 lex_p90=2.8,can_do_ref,,step_up_or_swap
cloze,cloze_a2_0081,a2,b1,1,over1 lex_p90=2.6,,a2_partner_dinner_talk_1,step_up_or_swap
cloze,cloze_a2_0086,a2,b1,1,over1 grammar=nikl_g3_는다고1:3,,a2_partner_dinner_talk_1,step_up_or_swap
cloze,cloze_a2_0089,a2,b1,1,over1 grammar=grammar_b1_consequence:3,,a2_partner_seollal_day_1,step_up_or_swap
cloze,cloze_a2_0090,b2,a2,-2,under2 lex_p90=1.5,,b2_partner_family_money_1,downgrade_candidate
cloze,cloze_a2_0095,a2,b2,2,over2 grammar=grammar_b2_quoted_contractions:4,,a2_partner_seollal_day_1,bundle_move
cloze,cloze_a2_0099,a2,b1,1,over1 lex_p90=2.6,,a2_partner_seollal_day_1,step_up_or_swap
cloze,cloze_a2_0102,a2,b2,2,over2 grammar=grammar_b2_quoted_contractions:4,,a2_partner_chuseok_day_1,bundle_move
cloze,cloze_a2_0110,a2,b2,2,over2 lex_p90=3.5,,a2_partner_chuseok_day_1,bundle_move
cloze,cloze_a2_0127,a2,b1,1,over1 grammar=grammar_b1_immediate_sequence:3,,a2_partner_overnight_1,step_up_or_swap
cloze,cloze_a2_0130,a2,b1,1,over1 lex_p90=3.0,,a2_partner_overnight_1,step_up_or_swap
cloze,cloze_a2_0142,b1,b2,1,over1 lex_p90=3.5,,b1_partner_leftover_bags_1,step_up_or_swap
cloze,cloze_a2_0145,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_leftover_bags_1,step_up_or_swap
cloze,cloze_a2_0150,a2,b1,1,over1 lex_p90=3.0,,a2_partner_hometown_trip_1,step_up_or_swap
cloze,cloze_a2_0152,a2,b2,2,over2 grammar=nikl_g4_고_해서:4,,a2_partner_hometown_trip_1,bundle_move
cloze,cloze_a2_0156,a2,b2,2,over2 grammar=grammar_b2_indirect_speech:4,,a2_partner_hometown_trip_1,bundle_move
cloze,cloze_a2_0159,a2,b1,1,over1 grammar=grammar_b1_immediate_sequence:3,,a2_partner_hometown_trip_1,step_up_or_swap
cloze,cloze_a2_0160,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_partner_banmal_switch_1,downgrade_candidate
cloze,cloze_a2_0163,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,,b1_partner_banmal_switch_1,downgrade_candidate
cloze,cloze_a2_0164,b1,a1,-2,under2 grammar=grammar_a1_polite_present:1,,b1_partner_banmal_switch_1,downgrade_candidate
cloze,cloze_a2_0165,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_banmal_switch_1,step_up_or_swap
cloze,cloze_a2_0169,b1,b2,1,over1 lex_p90=3.6,,b1_partner_banmal_switch_1,step_up_or_swap
cloze,cloze_a2_0170,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_banmal_switch_1,step_up_or_swap
cloze,cloze_a2_0171,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_partner_banmal_switch_1,downgrade_candidate
cloze,cloze_a2_0175,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_phone_plan_1,downgrade_candidate
cloze,cloze_a2_0177,b1,a1,-2,under2 grammar=nikl_g1_기_전에_v1:1,,b1_phone_plan_1,downgrade_candidate
cloze,cloze_a2_0178,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_phone_plan_1,downgrade_candidate
cloze,cloze_a2_0181,b1,a1,-2,under2 grammar=grammar_a1_polite_present:1,,b1_phone_plan_1,downgrade_candidate
cloze,cloze_a2_0183,b1,b2,1,over1 lex_p90=3.7,,b1_phone_plan_1,step_up_or_swap
cloze,cloze_a2_0189,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_bank_counter_1,downgrade_candidate
cloze,cloze_a2_0190,b1,a1,-2,under2 grammar=grammar_a1_action_location_particle:1,,b1_bank_counter_1,downgrade_candidate
cloze,cloze_a2_0191,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,,b1_bank_counter_1,downgrade_candidate
cloze,cloze_a2_0203,a2,b1,1,over1 lex_p90=2.8,,a2_gym_class_1,step_up_or_swap
cloze,cloze_a2_0207,a2,b1,1,over1 lex_p90=3.1,,a2_gym_class_1,step_up_or_swap
cloze,cloze_a2_0210,a2,b1,1,over1 lex_p90=2.6,,a2_salon_visit_1,step_up_or_swap
cloze,cloze_a2_0216,a2,b1,1,over1 lex_p90=3.4,,a2_salon_visit_1,step_up_or_swap
cloze,cloze_a2_0226,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_apt_rules_1,downgrade_candidate
cloze,cloze_a2_0230,b1,b2,1,over1 lex_p90=4.0,,b1_apt_rules_1,step_up_or_swap
cloze,cloze_a2_0232,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_part_time_1,downgrade_candidate
cloze,cloze_a2_0240,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_part_time_1,downgrade_candidate
cloze,cloze_a2_0246,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_lost_found_1,downgrade_candidate
cloze,cloze_a2_0254,b1,b2,1,over1 grammar=grammar_b2_quoted_contractions:4,,b1_lost_found_1,step_up_or_swap
cloze,cloze_a2_0257,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_festival_booth_1,downgrade_candidate
cloze,cloze_a2_0259,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_festival_booth_1,downgrade_candidate
cloze,cloze_a2_0264,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_festival_booth_1,downgrade_candidate
cloze,cloze_b1_0002,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0007,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0013,b1,b2,1,over1 lex_p90=3.9,can_do_ref,,step_up_or_swap
cloze,cloze_b1_0015,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0021,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0022,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0023,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0028,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0030,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0031,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0035,b1,c1,2,over2 lex_p90=4.6,can_do_ref,,bundle_move
cloze,cloze_b1_0039,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0043,b1,c2,3,over2 lex_p90=5.7,can_do_ref,,bundle_move
cloze,cloze_b1_0044,b1,b2,1,over1 lex_p90=3.8,can_do_ref,,step_up_or_swap
cloze,cloze_b1_0047,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0048,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0049,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0050,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,can_do_ref,,downgrade_candidate
cloze,cloze_b1_0052,b1,b2,1,over1 lex_p90=3.7,can_do_ref,,step_up_or_swap
cloze,cloze_b1_0054,b1,b2,1,over1 lex_p90=3.7,can_do_ref,,step_up_or_swap
cloze,cloze_b1_0055,b1,b2,1,over1 lex_p90=3.8,can_do_ref,,step_up_or_swap
cloze,cloze_b1_0068,b1,b2,1,over1 lex_p90=4.0,,b1_work_coordination_1,step_up_or_swap
cloze,cloze_b1_0072,b1,b2,1,over1 lex_p90=3.5,,b1_work_coordination_1,step_up_or_swap
cloze,cloze_b1_0074,b1,b2,1,over1 lex_p90=3.6,,b1_work_coordination_1,step_up_or_swap
cloze,cloze_b1_0077,b1,b2,1,over1 lex_p90=3.5,,b1_work_coordination_1,step_up_or_swap
cloze,cloze_b1_0085,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_partner_awkward_questions_1,downgrade_candidate
cloze,cloze_b1_0094,b1,b2,1,over1 lex_p90=3.7,,b1_partner_awkward_questions_1,step_up_or_swap
cloze,cloze_b1_0096,b1,b2,1,over1 lex_p90=3.5,,b1_partner_job_visa_1,step_up_or_swap
cloze,cloze_b1_0097,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_job_visa_1,step_up_or_swap
cloze,cloze_b1_0098,b1,b2,1,over1 lex_p90=3.7,,b1_partner_job_visa_1,step_up_or_swap
cloze,cloze_b1_0102,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_job_visa_1,step_up_or_swap
cloze,cloze_b1_0103,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_job_visa_1,step_up_or_swap
cloze,cloze_b1_0104,b1,b2,1,over1 lex_p90=4.0,,b1_partner_job_visa_1,step_up_or_swap
cloze,cloze_b1_0107,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_job_visa_1,step_up_or_swap
cloze,cloze_b1_0116,b1,b2,1,over1 lex_p90=4.0,,b1_partner_translating_1,step_up_or_swap
cloze,cloze_b1_0122,b1,b2,1,over1 grammar=nikl_g4_고_해서:4,,b1_partner_drink_table_1,step_up_or_swap
cloze,cloze_b1_0123,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_drink_table_1,step_up_or_swap
cloze,cloze_b1_0132,b1,b2,1,over1 lex_p90=3.8,,b1_partner_sleep_room_1,step_up_or_swap
cloze,cloze_b1_0133,b1,b2,1,over1 grammar=grammar_b2_indirect_speech:4,,b1_partner_sleep_room_1,step_up_or_swap
cloze,cloze_b1_0137,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_partner_sleep_room_1,downgrade_candidate
cloze,cloze_b1_0140,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_partner_sleep_room_1,downgrade_candidate
cloze,cloze_b1_0151,b1,b2,1,over1 lex_p90=3.6,,b1_partner_after_visit_1,step_up_or_swap
cloze,cloze_b1_0154,b1,b2,1,over1 lex_p90=4.0,,b1_partner_after_visit_1,step_up_or_swap
cloze,cloze_b1_0161,b1,b2,1,over1 lex_p90=3.6,,b1_partner_group_chat_1,step_up_or_swap
cloze,cloze_b1_0162,b1,b2,1,over1 grammar=nikl_g4_고_해서:4,,b1_partner_group_chat_1,step_up_or_swap
cloze,cloze_b1_0167,b1,c1,2,over2 grammar=nikl_g5_는_척하다_v2:5,,b1_partner_group_chat_1,bundle_move
cloze,cloze_b1_0176,b1,b2,1,over1 lex_p90=3.6,,b1_partner_holiday_plan_1,step_up_or_swap
cloze,cloze_b1_0178,b1,b2,1,over1 lex_p90=3.6,,b1_partner_holiday_plan_1,step_up_or_swap
cloze,cloze_b1_0180,b1,b2,1,over1 grammar=nikl_g4_고_보다:4,,b1_workplace_mail_1,step_up_or_swap
cloze,cloze_b1_0181,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_workplace_mail_1,downgrade_candidate
cloze,cloze_b1_0189,b1,b2,1,over1 lex_p90=3.8,,b1_workplace_mail_1,step_up_or_swap
cloze,cloze_b1_0190,b1,b2,1,over1 lex_p90=3.7,,b1_workplace_mail_1,step_up_or_swap
cloze,cloze_b1_0195,b1,a1,-2,under2 grammar=grammar_a1_topic_particle:1,,b1_roommate_talk_1,downgrade_candidate
cloze,cloze_b1_0205,b1,b2,1,over1 lex_p90=3.6,,b1_insurance_claim_1,step_up_or_swap
cloze,cloze_b1_0206,b1,b2,1,over1 lex_p90=3.6,,b1_insurance_claim_1,step_up_or_swap
cloze,cloze_b1_0209,b1,b2,1,over1 lex_p90=3.9,,b1_insurance_claim_1,step_up_or_swap
cloze,cloze_b1_0218,b2,a2,-2,under2 lex_p90=1.8,,b2_public_office_1,downgrade_candidate
cloze,cloze_b1_0228,b1,a1,-2,under2 grammar=grammar_a1_object_particle:1,,b1_volunteer_shift_1,downgrade_candidate
cloze,cloze_b1_0233,b1,a1,-2,under2 grammar=grammar_a1_subject_particle:1,,b1_volunteer_shift_1,downgrade_candidate
cloze,cloze_b1_0235,b1,b2,1,over1 lex_p90=4.0,,b1_volunteer_shift_1,step_up_or_swap
cloze,cloze_b1_0237,b1,a1,-2,under2 grammar=grammar_a1_polite_present:1,,b1_volunteer_shift_1,downgrade_candidate
cloze,cloze_b1_0253,b1,b2,1,over1 lex_p90=3.7,,b1_repair_words_1,step_up_or_swap
cloze,cloze_b1_0254,b1,b2,1,over1 grammar=grammar_b2_quoted_contractions:4,,b1_repair_words_1,step_up_or_swap
cloze,cloze_b1_0255,b1,b2,1,over1 lex_p90=3.8,,b1_repair_words_1,step_up_or_swap
cloze,cloze_b1_0258,b1,b2,1,over1 lex_p90=3.8,,b1_repair_words_1,step_up_or_swap
cloze,cloze_b1_0262,b1,b2,1,over1 lex_p90=3.8,,b1_repair_words_1,step_up_or_swap
cloze,cloze_b1_0266,b1,c1,2,over2 lex_p90=4.8,,b1_travel_change_1,bundle_move
cloze,cloze_b1_0267,b1,b2,1,over1 lex_p90=3.6,,b1_travel_change_1,step_up_or_swap
cloze,cloze_b1_0268,b1,b2,1,over1 grammar=grammar_b2_quoted_contractions:4,,b1_travel_change_1,step_up_or_swap
cloze,cloze_b1_0275,b1,b2,1,over1 lex_p90=4.0,,b1_travel_change_1,step_up_or_swap
cloze,cloze_b1_0276,b1,b2,1,over1 lex_p90=4.2,,b1_work_entry_2026_1,step_up_or_swap
cloze,cloze_b1_0278,b1,b2,1,over1 lex_p90=3.7,,b1_work_entry_2026_1,step_up_or_swap
