id,level,tier,waiverReason,old,new
cloze_a1_0066,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",열 | 도서관 | 공원,끝나다 | 빌리다 | 에서
cloze_a1_0070,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",화요일 | 지하철역 | 핸드폰,타다 | 고르다 | 과
cloze_a1_0077,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",잘 자요 | 네 | 잘 부탁드려요,끝나다 | 팔다 | 와
cloze_a1_0080,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",엄마 | 배달비 | 저기,빌리다 | 읽다 | 와
cloze_a1_0081,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",누나 | 옷 | 만,고르다 | 먹다 | 과
cloze_a1_0082,a1,A,,앞 | 일요일 | 사이,사과 | 커피 | 모자
cloze_a1_0083,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",없다 | 맛있다 | 만나다,보다 | 읽다 | 랑
cloze_a1_0085,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",하다 | 너 | 같은,고르다 | 팔다 | 과
cloze_a1_0086,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",많다 | 길다 | 앉다,끝나다 | 먹다 | 으로
cloze_a1_0088,a1,A,,아래 | 밤 | 밖,커피 | 바나나 | 사십
cloze_a1_0090,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",싸다 | 짧다 | 어렵다,가다 | 자다 | 와
cloze_a1_0091,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",맛없다 | 몇 | 조용하다,다니다 | 자다 | 에서
cloze_a1_0092,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",크다 | 다른 | 비싸다,알다 | 돕다 | 랑
cloze_a1_0098,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",늦게 | 천천히 | 일찍,모르다 | 다니다 | 한테
cloze_a1_0099,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",항상 | 어제 | 자주,자다 | 가다 | 에게
cloze_a1_0100,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",동생이에요 | 맛있어요 | 몇 살이세요,보다 | 돕다 | 랑
cloze_a1_0101,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",조용히 | 친해 | 성함을 묻,보다 | 오다 | 에게
cloze_a1_0109,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",세배 드리다 | 송편 빚다 | 송편 찌다,돕다 | 빌리다 | 와
cloze_a1_0110,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",작은 정성 | 잘 다녀오겠습니다 | 잘 먹었습니다,가다 | 먹다 | 에서
cloze_a1_0114,b1,A,,세배 드리다 | 송편 빚다 | 송편 찌다,입장권 | 화분 | 소금
cloze_a1_0115,b1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",송편 찌다 | 수저 놓다 | 앉으세요,끝나다 | 타다 | 한테
cloze_a1_0119,b1,A,,시아버지 | 시어머니 | 아랫목,스트레칭 | 칠십 | 분홍색
cloze_a1_0120,b1,A,,단체 사진 | 덕담 | 책임감,설탕 | 백 | 바람
cloze_a1_0122,b1,A,,국물 | 귀성 | 꽃다발,무게 | 구두 | 세트
cloze_a1_0126,a2,A,,과한 선물 | 다음에 또 오세요 | 댁에,더 드세요 | 물 드세요 | 예뻐요
cloze_a1_0131,a2,A,,잘 다녀오겠습니다 | 잘 먹었습니다 | 잘 부탁드립니다,실례해요 | 직업이 뭐예요 | 한국어 잘하시네요
cloze_a1_0135,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",송편 찌다 | 수저 놓다 | 앉으세요,모르다 | 가다 | 에게
cloze_a1_0141,a1,A,,작은 정성 | 잘 다녀오겠습니다 | 잘 먹었습니다,예뻐요 | 안녕하세요 | 필요
cloze_a1_0149,a1,A,,손 씻기 | 손님 슬리퍼 | 송편,버스 | 창구 | 위
cloze_a1_0152,a1,A,,벌초 | 빈손 | 사진 전송,가방 | 우산 | 책상
cloze_a1_0153,a1,A,,송편 빚다 | 송편 찌다 | 수저 놓다,안녕하세요 | 예뻐요 | 맛있어요
cloze_a1_0159,a1,A,,포장 | 한가위 | 연습,밖 | 오른쪽 | 옆
cloze_a1_0162,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",작은 정성 | 잘 다녀오겠습니다 | 잘 먹었습니다,읽다 | 먹다 | 에게
cloze_a1_0166,a2,A,,수저 놓 | 인사드렸어요 | 절하,기차 | 차림표 | 옷걸이
cloze_a1_0182,b1,A,,설빔 | 성묘 | 세배,염색 | 인분 | 몸
cloze_a1_0183,b1,A,,과일 바구니 | 국물 | 귀성,일곱 | 얼굴 | 교차로
cloze_a1_0187,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",새해 복 많이 받으세요 | 성함을 묻다 | 세배 드리다,보다 | 돕다 | 한테
cloze_a1_0188,a2,mixed,R8-2 mixed composition (2026-09-15): thin same-ending pool; filled with >=1 OPEN_SLOT_WAIVER word alongside the Tier-A same-ending candidate(s),세배 드리다 | 송편 빚다 | 송편 찌다,인사드리겠습니다 | 자다 | 마시다
cloze_a1_0190,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",성함을 묻다 | 세배 드리다 | 송편 빚다,팔다 | 다니다 | 한테
cloze_a1_0191,a2,A,,한복 | 햇과일 | 현관,여섯 | 예약금 | 밖
cloze_a1_0195,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",촬영 금지 | 과한 선물 | 다음에 또 오세요,모르다 | 타다 | 랑
cloze_a1_0208,a2,A,,마스크 | 계산대 | 아저씨,케이크 | 우표 | 사과
cloze_a1_0211,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",연고 | 마스크 | 계산대,보다 | 팔다 | 에서
cloze_a1_0213,b1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",연고 | 마스크 | 계산대,입다 | 끝나다 | 으로
cloze_a1_0217,a2,A,,연고 | 마스크 | 계산대,바람 | 땅콩 | 국
cloze_a1_0221,a1,A,,늦잠 | 약속 장소 | 취소하다,지갑 | 여권 | 신발
cloze_a1_0222,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",늦잠 | 약속 시간 | 취소하다,다니다 | 팔다 | 에서
cloze_a1_0225,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",늦잠 | 약속 시간 | 약속 장소,먹다 | 다니다 | 한테
cloze_a1_0226,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",늦잠 | 약속 시간 | 약속 장소,입다 | 다니다 | 에서
cloze_a1_0227,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",늦잠 | 약속 시간 | 약속 장소,쓰다 | 알다 | 으로
cloze_a1_0228,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",늦잠 | 약속 시간 | 약속 장소,다니다 | 자다 | 에서
cloze_a1_0230,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",늦잠 | 약속 시간 | 약속 장소,보다 | 다니다 | 한테
cloze_a1_0241,b1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",초인종 | 이웃집 | 명찰,마시다 | 타다 | 와
cloze_a1_0243,b1,A,,초인종 | 복도 | 이웃집,트리트먼트 | 오 | 지우개
cloze_a1_0244,a2,A,,지우개 | 가위 | 세탁기,냉면 | 구 | 여섯
cloze_a1_0245,a2,A,,필통 | 가위 | 자,횟수 | 드라이 | 사과
cloze_a1_0246,a2,A,,필통 | 지우개 | 자,밀가루 | 계산서 | 차
cloze_a1_0248,a2,A,,필통 | 지우개 | 가위,샌들 | 미용실 | 풀
cloze_a1_0251,a2,mixed,R8-2 mixed composition (2026-09-15): thin same-ending pool; filled with >=1 OPEN_SLOT_WAIVER word alongside the Tier-A same-ending candidate(s),필통 | 지우개 | 가위,쌀쌀하다 | 습하다 | 타다
cloze_a1_0255,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",필통 | 지우개 | 가위,타다 | 읽다 | 랑
cloze_a1_0257,a2,A,,환승 | 승강장 | 막차,제산제 | 비행기 | 야채
cloze_a1_0265,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",환승 | 출구 | 승강장,팔다 | 보다 | 에게
cloze_a1_0266,a2,A,,환승 | 출구 | 승강장,가방 | 우산 | 책상
cloze_a1_0267,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",환승 | 출구 | 승강장,돕다 | 쓰다 | 에게
cloze_a1_0272,a2,A,,겉옷 | 미세먼지 | 일기예보,연습장 | 꽃병 | 목
cloze_a1_0273,a2,A,,겉옷 | 미세먼지 | 일기예보,계란 | 눈사람 | 예약금
cloze_a1_0275,a2,mixed,R8-2 mixed composition (2026-09-15): thin same-ending pool; filled with >=1 OPEN_SLOT_WAIVER word alongside the Tier-A same-ending candidate(s),겉옷 | 미세먼지 | 일기예보,제출하다 | 쌀쌀하다 | 입다
cloze_a1_0276,a2,mixed,R8-2 mixed composition (2026-09-15): thin same-ending pool; filled with >=1 OPEN_SLOT_WAIVER word alongside the Tier-A same-ending candidate(s),겉옷 | 미세먼지 | 일기예보,제출하다 | 습하다 | 마시다
cloze_a1_0279,a2,A,,겉옷 | 미세먼지 | 일기예보,새해 복 많이 받으세요 | 앉으세요 | 잘 주무셨어요
cloze_a1_0280,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",우산 | 가방 | 단어,끝나다 | 마시다 | 과
cloze_a1_0281,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",신발 | 안경 | 모자,쓰다 | 타다 | 에게
cloze_a1_0282,a1,A,,편지 | 단어 | 가게,예뻐요 | 맛있어요 | 필요
cloze_a1_0285,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",죄송하다 | 감사하다 | 실례하다,먹다 | 자다 | 랑
cloze_a1_0286,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",죄송하다 | 감사하다 | 실례하다,먹다 | 읽다 | 에서
cloze_a1_0287,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",죄송하다 | 감사하다 | 실례하다,끝나다 | 알다 | 과
cloze_a1_0288,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",실수 | 잘못 | 단어,알다 | 타다 | 과
cloze_a1_0290,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",죄송하다 | 감사하다 | 실례하다,보다 | 읽다 | 와
cloze_a1_0291,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",죄송하다 | 감사하다 | 실례하다,돕다 | 알다 | 에게
cloze_a1_0292,a1,A,,안녕 | 고마워 | 잘 자,맛있어요 | 필요 | 예뻐요
cloze_a1_0306,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",제가 | 저를 | 저에게,알다 | 모르다 | 랑
cloze_a1_0307,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",제 친구가 | 제 친구를 | 제 친구와,오다 | 타다 | 랑
cloze_a1_0308,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",오늘이 | 오늘을 | 오늘에서,타다 | 끝나다 | 에게
cloze_a1_0309,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",제 성이 | 제 성을 | 제 성도,읽다 | 가다 | 으로
cloze_a1_0311,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",저는 | 저를 | 저도,팔다 | 마시다 | 에게
cloze_a1_0313,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",책은 | 책을 | 책에,읽다 | 먹다 | 에서
cloze_a1_0314,a1,mixed,R8-2 mixed composition (2026-09-15): thin same-ending pool; filled with >=1 OPEN_SLOT_WAIVER word alongside the Tier-A same-ending candidate(s),커피가 | 커피를 | 커피와,절하는 | 다니다 | 먹다
cloze_a1_0316,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",빨리 | 조용히 | 먼저,보다 | 팔다 | 에서
cloze_a1_0322,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",어제부터 | 친구하고 | 세 개를,고르다 | 오다 | 랑
cloze_a1_0327,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",메뉴 | 주소 | 가방,오다 | 다니다 | 와
cloze_a1_0332,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",배달비 | 도착 시간 | 카드 이름,고르다 | 팔다 | 와
cloze_a1_0333,a1,A,,주소 | 봉투 | 영수증,만 | 흰색 | 다섯
cloze_a1_0355,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",나이 | 나라 | 커피,끝나다 | 자다 | 에게
cloze_a1_0365,a1,A,,책상 | 연필 | 집,사십 | 옆 | 눈
cloze_a1_0370,a1,A,,사과 | 지하철 | 커피,딸 | 물 | 쌀
cloze_a1_0379,a1,A,,과일 | 정류장 | 떡국,바나나 | 위 | 김치
cloze_a1_0397,a1,A,,늦게 | 다시 | 가게,거기 | 여기 | 머리
cloze_a1_0398,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",가다 | 쓰다 | 에서,자다 | 빌리다 | 에서
cloze_a1_0399,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",귀 | 나라 | 자주,보다 | 모르다 | 와
cloze_a1_0400,a1,A,,작다 | 안녕하세요 | 짧다,주소 | 이 | 무게
cloze_a1_0401,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",밑반찬 | 연습 | 책상,입다 | 돕다 | 랑
cloze_a1_0402,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",입구 | 미안해요 | 책상,끝나다 | 타다 | 으로
cloze_a1_0408,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",학생 | 댁에 | 아내,가다 | 먹다 | 랑
cloze_a1_0409,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",책 | 공원 | 몸,가다 | 읽다 | 랑
cloze_a1_0410,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",천만에요 | 장인어른 | 젓가락질,팔다 | 쓰다 | 으로
cloze_a1_0411,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",오다 | 국물 | 죄송하다,오다 | 마시다 | 한테
cloze_a1_0412,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",차례상 | 있다 | 외국인,자다 | 타다 | 에서
cloze_a1_0414,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",오다 | 쓰다 | 보다,오다 | 마시다 | 에서
cloze_a1_0420,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",화이팅 | 시끄럽다 | 싫어하다,고르다 | 가다 | 에서
cloze_a1_0423,a1,A,,새 | 목요일 | 주말,예뻐요 | 확인해 주세요 | 맛있어요
cloze_a1_0424,a1,A,,인사드리겠습니다 | 다시 | 조용하다,창구 | 다리 | 냉장고
cloze_a1_0427,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",길다 | 침대 | 내일,끝나다 | 쓰다 | 과
cloze_a1_0429,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",기다리다 | 늦게 | 어렵다,읽다 | 다니다 | 과
cloze_a1_0432,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",죄송하다 | 창구 | 가다,쓰다 | 오다 | 한테
cloze_a1_0436,a1,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",부탁하다 | 듣다 | 나,고르다 | 알다 | 와
cloze_a1_0439,a1,A,,맛있다 | 별로 | 졸업하다,다리 | 바나나 | 우유
cloze_a1_0443,a1,mixed,R8-2 mixed composition (2026-09-15): thin same-ending pool; filled with >=1 OPEN_SLOT_WAIVER word alongside the Tier-A same-ending candidate(s),미안해요 | 모든 | 절하다,싸고 | 타고 | 타다
cloze_a2_0005,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",보라색 | 가글액 | 땅콩,먹다 | 돕다 | 와
cloze_a2_0007,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",주황색 | 풀 | 비빔밥,알다 | 타다 | 과
cloze_a2_0018,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",스타킹 | 인터넷 | 중학생,자다 | 모르다 | 와
cloze_a2_0020,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",분홍색 | 거울 | 스타킹,읽다 | 오다 | 에게
cloze_a2_0022,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",가구 | 불고기 | 문자,먹다 | 보다 | 한테
cloze_a2_0024,a2,A,,보증금 | 비누 | 거실,커피 | 의자 | 지도
cloze_a2_0029,a2,A,,사원 | 계산서 | 공주,우표 | 케이크 | 버스
cloze_a2_0030,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",배낭 | 유학생 | 시장,고르다 | 입다 | 으로
cloze_a2_0032,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",솔잎 | 교환 | 이불,빌리다 | 읽다 | 에게
cloze_a2_0033,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",반지 | 잃어버리다 | 현금,먹다 | 쓰다 | 와
cloze_a2_0034,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",용 | 여름 | 유학생,오다 | 읽다 | 에게
cloze_a2_0036,a2,A,,청소기 | 봄 | 여름,커피 | 의자 | 지도
cloze_a2_0037,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",좁다 | 씹다 | 슬프다,읽다 | 가다 | 에게
cloze_a2_0038,a2,B,"R8-3 tier B (2026-09-15): truly bare frame with no selectional restriction, confirmed by the R8-2/R8-3 read (docs/data/cloze_distractor_audit_2026-09-15.md)",건강하다 | 호텔 | 배부르다,끝나다 | 알다 | 과
