id,field,old,new,rule
vocab_a1_0312,example_german,"Bevor ich das Paket aufgebe, prüfe ich die Adresse.","Bevor ich das Paket aufgebe, prüfe ich die Adresse.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0312,example_english,"Before I mail the parcel, I check the address.","Before I mail the parcel, I check the address.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0337,example_korean,내일 오후에 시간 맞추다 문자를 보냈어요.,내일 친구와 시간을 맞춰요.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0337,example_german,"Morgen Nachmittag habe ich geschrieben, um die Zeit abzustimmen.",Morgen stimme ich die Zeit mit einem Freund ab.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0337,example_english,I texted tomorrow afternoon to match the time.,Tomorrow I coordinate the time with a friend.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0342,example_korean,한강에서 같이 걷다 제안했어요.,저녁에 한강에서 같이 걸어요.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0342,example_german,"Ich habe vorgeschlagen, am Hangang zusammen zu gehen.",Abends gehen wir zusammen am Hangang spazieren.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0342,example_english,I suggested that we walk together at the Hangang.,In the evening we walk together along the Hangang.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0392,example_korean,늦게 와서 죄송하다 말하고 앉았어요.,늦게 와서 정말 죄송해요.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0392,example_german,"Ich sagte, es tue mir leid, dass ich zu spät komme, und setzte mich.","Es tut mir wirklich leid, dass ich zu spät gekommen bin.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0392,example_english,I said I was sorry for being late and sat down.,I'm really sorry that I came late.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0393,example_korean,도와주셔서 감사하다 인사를 했어요.,도와주셔서 정말 감사해요.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0393,example_german,"Ich habe mich bedankt, weil Sie geholfen haben.","Vielen Dank, dass Sie mir geholfen haben.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0393,example_english,I said I was grateful that you helped.,Thank you so much for helping me.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0394,example_korean,잠깐 실례하다 하고 지나갔어요.,지나가기 전에 잠깐 실례해요.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0394,example_german,Ich sagte Entschuldigung und ging vorbei.,"Bevor ich vorbeigehe, sage ich kurz Entschuldigung.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0394,example_english,I said excuse me and passed by.,"Before I pass by, I briefly say excuse me.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0396,example_korean,창문을 닫아 달라고 부탁하다 전에 먼저 인사해요.,친구에게 부탁하기 전에 먼저 인사해요.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0396,example_german,"Bevor ich bitte, das Fenster zu schließen, grüße ich zuerst.","Bevor ich einen Freund um einen Gefallen bitte, grüße ich zuerst.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0396,example_english,"Before I ask them to close the window, I greet them first.","Before I ask a friend a favor, I greet them first.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0400,example_korean,못 들어서 다시 말하다 부탁했어요.,잘 못 들어서 다시 말해요.,"KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0400,example_german,"Ich habe gebeten, es noch einmal zu sagen, weil ich es nicht gehört habe.","Ich habe nicht gut gehört, also sage ich es noch einmal.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0400,example_english,I asked them to say it again because I did not hear it.,"I didn't hear well, so I say it again.","KO grammar bug: bare -다 dictionary form used where 1급 -기 전에 nominalizer was needed (or sentence redesigned to avoid a grade-3 quotative), Fable round-2 finding"
vocab_a1_0398,example_korean,도와줘서 고맙다는 말에 제가 더요.,정말 고마워요! 제가 더요!,Fable finding: -다는 인용 관형 + -아/어 주다 unusable at A1; rewritten as a natural two-beat exchange within 1급
vocab_a1_0398,example_german,"Auf das Danke sage ich, ich habe zu danken.",Danke schön! Ich habe zu danken.,Fable finding: -다는 인용 관형 + -아/어 주다 unusable at A1; rewritten as a natural two-beat exchange within 1급
vocab_a1_0398,example_english,"When someone thanks me, I say I should thank you.",Thank you! I should thank you.,Fable finding: -다는 인용 관형 + -아/어 주다 unusable at A1; rewritten as a natural two-beat exchange within 1급
vocab_a1_0319,example_korean,세 번 창구에서 기다리세요.,삼 번 창구에서 기다리세요.,Fable finding: native numeral 세 misused before a counter-label noun (창구); Sino-Korean 삼 is correct
vocab_a1_0319,example_german,Bitte warten Sie am Schalter drei.,Bitte warten Sie am Schalter drei.,Fable finding: native numeral 세 misused before a counter-label noun (창구); Sino-Korean 삼 is correct
vocab_a1_0319,example_english,Please wait at counter number three.,Please wait at counter number three.,Fable finding: native numeral 세 misused before a counter-label noun (창구); Sino-Korean 삼 is correct
