pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
V-아/어야겠다,B1,Selbstentschluss,"Selbstentschluss. Eigene Absicht, kein Befehl.",내일은 더 일찍 나가야겠다.,Morgen sollte ich früher rausgehen.,"Eigene Absicht, kein Befehl.",Self-decision,"Self-decision. Own intention, not a command.",Tomorrow I should leave earlier.,"Own intention, not a command.",grammar_b1_self_should,sollte ich,I should,true,grammar_b1_concede_but|grammar_b1_as_kept_doing|grammar_b1_while_already
V-다시피,B2,Wie bereits sichtbar,Wie bereits sichtbar. Verweist auf sichtbare Grundlage.,자료에서 보시다시피 대기 시간이 줄었습니다.,"Wie Sie in den Unterlagen sehen, ist die Wartezeit gesunken.",Verweist auf sichtbare Grundlage.,As already visible,As already visible. Points to a visible basis.,"As you can see in the materials, waiting time has fallen.",Points to a visible basis.,grammar_b2_as_you_see,Wie Sie in den Unterlagen sehen,As you can see in the materials,true,grammar_b2_including_start|grammar_b2_whether_or_not|grammar_b2_granted_limit
N을/를 비롯해,B2,Einschluss als Ausgang,Einschluss als Ausgang. Nennt den ersten und impliziert weitere.,담당 부서를 비롯해 관련 팀이 모두 참석합니다.,Einschließlich der zuständigen Stelle nehmen alle betroffenen Teams teil.,Nennt den ersten und impliziert weitere.,Including as a starting set,Including as a starting set. Names the first and implies more.,"Including the responsible office, all related teams will attend.",Names the first and implies more.,grammar_b2_including_start,Einschließlich der zuständigen Stelle,Including the responsible office,true,grammar_b2_as_you_see|grammar_b2_whether_or_not|grammar_b2_granted_limit
V-건 말건,B2,Unabhängig von der Wahl,Unabhängig von der Wahl. Beide Alternativen ändern die Folge nicht.,참석하건 말건 기록은 공유하겠습니다.,"Ob Sie teilnehmen oder nicht, ich teile das Protokoll.",Beide Alternativen ändern die Folge nicht.,Regardless of the choice,Regardless of the choice. Neither alternative changes the follow-up.,"Whether you attend or not, I will share the record.",Neither alternative changes the follow-up.,grammar_b2_whether_or_not,Ob Sie teilnehmen oder nicht,Whether you attend or not,true,grammar_b2_as_you_see|grammar_b2_including_start|grammar_b2_granted_limit
A/V-기로서니,B2,Eingeständnis mit Grenze,Eingeständnis mit Grenze. Räumt etwas ein und begrenzt die Schlussfolgerung.,설명이 짧기로서니 결정을 숨긴 것은 아닙니다.,"Mag die Erklärung kurz sein, die Entscheidung wurde nicht verborgen.",Räumt etwas ein und begrenzt die Schlussfolgerung.,"Granted, with a limit","Granted, with a limit. Grants a point and limits the conclusion.","Granted the explanation is short, the decision was not hidden.",Grants a point and limits the conclusion.,grammar_b2_granted_limit,Mag die Erklärung kurz sein,Granted the explanation is short,true,grammar_b2_as_you_see|grammar_b2_including_start|grammar_b2_whether_or_not
N을/를 불문하고,C1,Ohne Ausnahme nach N,Ohne Ausnahme nach N. Schließt Statusunterschiede aus.,직급을 불문하고 같은 공개 기준을 적용합니다.,Unabhängig vom Rang gilt derselbe Öffentlichkeitsmaßstab.,Schließt Statusunterschiede aus.,Without exception after N,Without exception after N. Rules out status differences.,"Regardless of rank, the same disclosure standard applies.",Rules out status differences.,grammar_c1_regardless_noun,Unabhängig vom Rang,Regardless of rank,true,grammar_c1_given_situation|grammar_c1_leaning_on|grammar_c1_even_if_doing
V-는 마당에,C1,In einer bereits laufenden Lage,In einer bereits laufenden Lage. Die Lage ist schon da.,자료가 부족한 마당에 순위를 단정할 수 없습니다.,Angesichts fehlender Daten können wir keine Rangfolge festlegen.,Die Lage ist schon da.,In an already unfolding situation,In an already unfolding situation. The situation is already there.,"Given the missing data, we cannot fix a ranking.",The situation is already there.,grammar_c1_given_situation,Angesichts fehlender Daten,Given the missing data,true,grammar_c1_regardless_noun|grammar_c1_leaning_on|grammar_c1_even_if_doing
N에 기대어,C1,Sich auf eine Grundlage stützen,Sich auf eine Grundlage stützen. Die Grundlage ist schmal oder vorläufig.,한 설문에 기대어 제도를 바꾸지는 않겠습니다.,Gestützt auf eine einzelne Umfrage werde ich das System nicht ändern.,Die Grundlage ist schmal oder vorläufig.,Leaning on a basis,Leaning on a basis. The basis is narrow or provisional.,I will not change the system leaning on a single survey.,The basis is narrow or provisional.,grammar_c1_leaning_on,Gestützt auf eine einzelne Umfrage,leaning on a single survey,true,grammar_c1_regardless_noun|grammar_c1_given_situation|grammar_c1_even_if_doing
V-고서라도,C1,Selbst um den Preis der Handlung,Selbst um den Preis der Handlung. Die Handlung ist der Preis.,일정을 미루고서라도 검수를 마치겠습니다.,"Selbst wenn wir den Termin verschieben, schließe ich die Prüfung ab.",Die Handlung ist der Preis.,Even at the cost of the action,Even at the cost of the action. The action is the price.,"Even if we postpone the schedule, I will finish the review.",The action is the price.,grammar_c1_even_if_doing,Selbst wenn wir den Termin verschieben,Even if we postpone the schedule,true,grammar_c1_regardless_noun|grammar_c1_given_situation|grammar_c1_leaning_on
N이라 함은,C2,Institutionelle Definition,Institutionelle Definition. Definiert einen Amtsbegriff.,공개라 함은 원문과 한계를 함께 내는 일을 말합니다.,"Mit Veröffentlichung ist gemeint, Ursprungstext und Grenze gemeinsam vorzulegen.",Definiert einen Amtsbegriff.,Institutional definition,Institutional definition. Defines an official term.,By disclosure we mean releasing the source text together with its limits.,Defines an official term.,grammar_c2_defined_as,Mit Veröffentlichung ist gemeint,By disclosure we mean,true,grammar_c2_as_already_set|grammar_c2_on_the_premise|grammar_c2_wishing_to
V-는 바,C2,Bereits festgestellter Inhalt,Bereits festgestellter Inhalt. Verweist auf eine festgehaltene Lage.,"앞서 밝힌 바, 자동 결정에는 이의 경로가 있어야 합니다.","Wie bereits dargelegt, braucht eine automatisierte Entscheidung einen Einspruchsweg.",Verweist auf eine festgehaltene Lage.,Already established content,Already established content. Refers to a recorded position.,"As already set out, an automated decision needs an appeal path.",Refers to a recorded position.,grammar_c2_as_already_set,Wie bereits dargelegt,As already set out,true,grammar_c2_defined_as|grammar_c2_on_the_premise|grammar_c2_wishing_to
N을/를 전제로,C2,Unter einer gesetzten Bedingung,Unter einer gesetzten Bedingung. Die Bedingung ist nicht verhandelbar.,설명 가능성을 전제로 배포 범위를 정합니다.,Unter der Voraussetzung der Erklärbarkeit legen wir den Ausrollkreis fest.,Die Bedingung ist nicht verhandelbar.,On a stated premise,On a stated premise. The condition is not optional.,On the premise of explainability we set the rollout scope.,The condition is not optional.,grammar_c2_on_the_premise,Unter der Voraussetzung der Erklärbarkeit,On the premise of explainability,true,grammar_c2_defined_as|grammar_c2_as_already_set|grammar_c2_wishing_to
V-고자 하건대,C2,Formelle Absichtseröffnung,"Formelle Absichtseröffnung. Schriftlicher, förmlicher Auftakt.",기록을 남기고자 하건대 결정 요약을 먼저 읽겠습니다.,"Indem ich das Protokoll sichern will, lese ich zuerst die Entscheidungszusammenfassung.","Schriftlicher, förmlicher Auftakt.",Formal intent opening,"Formal intent opening. A written, formal opening.","Wishing to keep a record, I will read the decision summary first.","A written, formal opening.",grammar_c2_wishing_to,Indem ich das Protokoll sichern will,Wishing to keep a record,true,grammar_c2_defined_as|grammar_c2_as_already_set|grammar_c2_on_the_premise
