stage_id,building,sequence,asset,locale,process,observe,scene,line,task,targets,speech_act
changgo-rafters,changgo,4,changgo/stages/stage_04_rafters.png,de,Sparren und Schalung auflegen,Die Sparren bilden beide Dachflächen und reichen bis zur Traufe.,"Zwei Erwachsene betrachten beim Modellbau eine Auflage. Die Person mit dem Bauteil fragt, wohin es soll.",Legen Sie es bitte darauf.,"Zeige auf die Auflage und sage, wo das Bauteil hingelegt werden soll.",위에 | 올리다 | -어 주세요,placement request
changgo-roof-bed,changgo,5,changgo/stages/stage_05_roof_bed.png,ko,지붕 바탕 만들기,서까래 위 바탕널과 흙 층이 기와를 받칠 면을 만들어요.,현대의 보관 공간에서 마른 천을 정리해요. 상대가 어떻게 보관하는지 물어요.,젖지 않게 보관해요.,마른 천을 보관하려고 해요. 알맞은 방법을 골라 보세요.,젖다 | -지 않게 | 보관하다,method explanation
changgo-roof-bed,changgo,5,changgo/stages/stage_05_roof_bed.png,en,Prepare the roof bedding,Boarding and an earth layer above the rafters create a bed for the tiles.,Two people organise dry cloth in a modern storage space. One asks how it is stored.,We store it so it doesn't get wet.,You want to store dry cloth. Choose the appropriate method.,젖다 | -지 않게 | 보관하다,method explanation
changgo-roof-bed,changgo,5,changgo/stages/stage_05_roof_bed.png,de,Die Dachunterlage vorbereiten,Schalung und Erdschicht über den Sparren bilden die Unterlage für die Ziegel.,"In einem heutigen Lagerraum wird ein trockenes Tuch weggeräumt. Eine Person fragt, wie es aufbewahrt wird.","Wir bewahren es so auf, dass es nicht nass wird.",Du möchtest ein trockenes Tuch aufbewahren. Wähle die passende Methode.,젖다 | -지 않게 | 보관하다,method explanation
changgo-roof-tiles,changgo,6,changgo/stages/stage_06_roof_tiles.png,ko,기와 덮기,길게 이어진 기와지붕이 골조 위를 덮어요.,현대의 보관 공간에서 빈 상자를 함께 정리해요. 상자를 든 사람이 둘 곳을 물어요.,안에 넣어 두세요.,상자를 안에 넣어 보관해 달라고 말해 보세요.,안에 | 넣어 두다,storage request
changgo-roof-tiles,changgo,6,changgo/stages/stage_06_roof_tiles.png,en,Lay the roof tiles,The long tiled roof covers the timber frame.,Two people organise empty boxes in a modern storage space. The person holding a box asks where to put it.,Please put it inside and leave it there.,Ask the other person to put the box inside and leave it there for storage.,안에 | 넣어 두다,storage request
changgo-roof-tiles,changgo,6,changgo/stages/stage_06_roof_tiles.png,de,Die Dachziegel verlegen,Das lange Ziegeldach bedeckt das Holzgerüst.,"Zwei Personen räumen in einem heutigen Lagerraum leere Kisten ein. Die Person mit einer Kiste fragt, wohin sie soll.",Stellen Sie sie bitte hinein und lassen Sie sie dort.,"Bitte die andere Person, die Kiste hineinzustellen und dort aufzubewahren.",안에 | 넣어 두다,storage request
changgo-walls,changgo,7,changgo/stages/stage_07_walls.png,ko,벽과 칸막이 만들기,"뒤와 옆이 막히고, 내부는 도면의 구획대로 나뉘어요.",현대의 보관 공간에서 여러 종류의 물건을 정리해요. 상대가 정리 방법을 물어요.,종류별로 나눠 놓아요.,같은 종류의 물건끼리 모아 두는 방법을 골라 보세요.,종류별로 | 나누다 | -아 놓다,organisation explanation
changgo-walls,changgo,7,changgo/stages/stage_07_walls.png,en,Build walls and partitions,"The rear and sides close in, while the interior is divided according to the plan.",Two people organise different kinds of objects in a modern storage space. One asks how to sort them.,We separate them by type.,Choose the method that keeps objects of the same type together.,종류별로 | 나누다 | -아 놓다,organisation explanation
changgo-walls,changgo,7,changgo/stages/stage_07_walls.png,de,Wände und Trennwände einbauen,Rückseite und Seiten werden geschlossen; innen entstehen die im Plan vorgesehenen Unterteilungen.,In einem heutigen Lagerraum werden verschiedene Gegenstände geordnet. Eine Person fragt nach der Sortierung.,Wir ordnen sie nach Art.,"Wähle die Methode, bei der gleichartige Gegenstände zusammenbleiben.",종류별로 | 나누다 | -아 놓다,organisation explanation
changgo-complete,changgo,8,changgo/stages/stage_08_complete.png,ko,판문 달고 완성하기,정본의 전면 판문과 철물이 달려 창고가 완성돼요.,공동으로 쓰는 물건을 빌리는 장면이에요. 물건을 받은 사람이 사용 후 둘 곳을 물어요.,쓰고 나면 제자리에 놓아 주세요.,빌려 쓰는 사람에게 사용 후 제자리에 놓아 달라고 부탁해 보세요.,쓰고 나면 | 제자리 | 놓다,return request
changgo-complete,changgo,8,changgo/stages/stage_08_complete.png,en,Fit the doors and finish,The front plank doors and fittings complete the approved storehouse appearance.,Someone borrows a shared item and asks where to leave it after use.,Please put it back in its place after using it.,Ask the borrower to return the item to its place after use.,쓰고 나면 | 제자리 | 놓다,return request
changgo-complete,changgo,8,changgo/stages/stage_08_complete.png,de,Die Brettertüren einsetzen,Die vorderen Brettertüren und Beschläge vervollständigen die freigegebene Lagerhausansicht.,"Jemand leiht sich einen gemeinsam genutzten Gegenstand und fragt, wohin er nach Gebrauch soll.",Legen Sie es nach Gebrauch bitte wieder an seinen Platz.,"Bitte die ausleihende Person, den Gegenstand nach Gebrauch wieder an seinen Platz zu legen.",쓰고 나면 | 제자리 | 놓다,return request
