id,headword,current_level,nikl_grade,nikl_cefr,delta,confidence,category,proposed_level,example_korean,reason
vocab_b1_0255,누수,B1,6,C2,3,low,too_hard_or_survival_review,C2,천장에서 누수가 생겨서 바로 부동산에 연락했어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0262,우선순위,B1,6,C2,3,high,too_hard_or_survival_review,C2,마감일이 가까운 업무의 우선순위를 먼저 정했어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0266,업무 분담,B1,6,C2,3,high,too_hard_or_survival_review,C2,회의 전에 업무 분담을 정해서 각자 맡을 일을 확인했어요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_a1_0227,작은 정성,B1,6,C2,3,low,too_hard_or_survival_review,C2,큰돈 말고 작은 정성이면 충분해요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_a1_0234,답례,B1,6,C2,3,high,too_hard_or_survival_review,C2,돌아갈 때 답례로 반찬을 싸 주셨어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0286,시누이,B1,6,C2,3,low,too_hard_or_survival_review,C2,시누이가 옷걸이를 찾아 줬어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a1_0287,시동생,B1,6,C2,3,low,too_hard_or_survival_review,C2,시동생이 게임을 하자고 해서 현우가 말렸어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0306,편들다,B1,6,C2,3,high,too_hard_or_survival_review,C2,현우가 제 편을 들어 줘서 든든했어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0310,맞장구,B1,6,C2,3,high,too_hard_or_survival_review,C2,현우의 이야기를 들으면서 계속 맞장구를 쳤어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_a2_0355,말실수,B1,6,C2,3,low,too_hard_or_survival_review,C2,말실수로 형이라고 불러서 현우 눈이 커졌어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0286,원격 근무,B1,6,C2,3,high,too_hard_or_survival_review,C2,원격 근무라 명절에도 노트북을 가져왔어요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_b1_0291,퇴사,B1,6,C2,3,low,too_hard_or_survival_review,C2,퇴사 계획은 없다고 하니 표정이 풀렸어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0310,건배,B1,6,C2,3,low,too_hard_or_survival_review,C2,건배 전에 어른 눈을 피하라고 해서 잔만 봤어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0311,폭음,B1,6,C2,3,low,too_hard_or_survival_review,C2,폭음은 안 한다고 하니 아버지가 물을 밀어 주셨어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0317,취중진담,B1,6,C2,3,medium,too_hard_or_survival_review,C2,취중진담이 나오기 전에 현우가 화제를 바꿨어요.,"NIKL 6급, 현재 레벨보다 어려움 -- 상향 이동 권고(세종 근거 없음)"
vocab_b1_0350,이모티콘 과다,B1,6,C2,3,high,too_hard_or_survival_review,C2,이모티콘 과다는 삼촌이 못 읽는다고 해서 줄였어요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_b1_0353,공백만 보내다,B1,6,C2,3,high,too_hard_or_survival_review,C2,할 말이 없어도 공백만 보내진 않았어요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_b1_0363,선물 분배,B1,6,C2,3,high,too_hard_or_survival_review,C2,선물 분배를 표로 짜니 빈손이 사라졌어요.,"복합구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 학습 단위 자체를 재검토(단순 이동 아님)"
vocab_b2_0121,문법,B2,1,A1,-3,high,f9_ruling_exists_not_applied,A1,한국어 문법은 재미있어요.,"F9에 이미 'A1' 룰링 존재(meta), 이 행(vocab_b2_0121)에는 미적용 -- 즉시 반영 후보"
vocab_b2_0173,윷놀이,B2,1,A1,-3,high,f9_ruling_exists_not_applied,A1,설날에 가족과 윷놀이를 해요.,"F9에 이미 'A1' 룰링 존재(culture_basic), 이 행(vocab_b2_0173)에는 미적용 -- 즉시 반영 후보"
vocab_b2_0193,말씀,B2,1,A1,-3,high,sejong_a1_survival_new,A1,선생님 말씀 잘 들었어요.,세종1(회화 익힘책 1-2) p.99 어휘 색인에 등재 -- A1 생존 어휘 예외 신설 후보 (citation id sejong1_u9_voc10_말씀)
vocab_b2_0196,생신,B2,1,A1,-3,high,too_easy_move_down,A1,내일이 할머니 생신이에요.,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_b2_0198,드리다,B2,1,A1,-3,high,sejong_a1_survival_new,A1,할머니께 선물을 드렸어요.,세종1(회화 익힘책 1-2) p.99 어휘 색인에 등재 -- A1 생존 어휘 예외 신설 후보 (citation id sejong1_u9_voc9_드리다)
vocab_b2_0201,주무시다,B2,1,A1,-3,high,too_easy_move_down,A1,부모님은 벌써 주무세요.,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_b2_0202,드시다,B2,1,A1,-3,high,too_easy_move_down,A1,많이 드세요!,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_b2_0203,계시다,B2,1,A1,-3,high,sejong_a1_survival_new,A1,어머니는 지금 집에 계세요.,세종1(회화 익힘책 1-2) p.99 어휘 색인에 등재 -- A1 생존 어휘 예외 신설 후보 (citation id sejong1_u9_voc8_계시다)
vocab_b2_0204,잡수시다,B2,1,A1,-3,high,too_easy_move_down,A1,할머니는 아침을 잡수셨어요.,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_b2_0302,혼자 있을 시간이 필요하다,B2,1,A1,-3,high,too_easy_move_down,A1,오늘은 생각을 정리하고 싶어서 저녁에 혼자 있을 시간이 좀 필요해요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_b2_0431,시댁,B2,1,A1,-3,high,f9_ruling_exists_not_applied,A1,시댁 첫 명절에는 말수를 줄이는 게 안전했어요.,"F9에 이미 'A1' 룰링 존재(kinship), 이 행(vocab_b2_0431)에는 미적용 -- 즉시 반영 후보"
vocab_b2_0432,처가,B2,1,A1,-3,high,f9_ruling_exists_not_applied,A1,처가에서는 제가 손님인데도 설거지를 하겠다고 했어요.,"F9에 이미 'A1' 룰링 존재(kinship), 이 행(vocab_b2_0432)에는 미적용 -- 즉시 반영 후보"
vocab_b2_0434,사위 사랑,B2,1,A1,-3,high,too_easy_move_down,A1,장모님이 너무 잘 챙겨주셔서 오히려 조금 부담스러웠어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_b2_0437,처가살이,B2,1,A1,-3,medium,too_easy_move_down,A1,처가살이는 며칠만이라고 선을 그었어요.,"NIKL 1급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_b2_0439,시어머니 말씀,B2,1,A1,-3,high,too_easy_move_down,A1,시어머니 말씀을 평가하지 않고 현우에게만 확인했어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_b2_0440,장인어른 건강,B2,1,A1,-3,high,too_easy_move_down,A1,장인어른 건강을 묻는 게 날씨보다 안전한 시작이었어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_b2_0453,아직 아니에요,B2,1,A1,-3,high,too_easy_move_down,A1,아직 아니에요를 부드럽게 반복하니 더 이상 묻지 않으셨어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_b2_0455,가족 호칭,B2,1,A1,-3,high,too_easy_move_down,A1,한국은 시댁 식구들 호칭이 너무 복잡해서 따로 메모장에 적어뒀어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_b2_0458,높여 부르다,B2,1,A1,-3,high,too_easy_move_down,A1,같은 나이인데 높여 부르니 오히려 거리가 생겼어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_b2_0462,호칭 질문,B2,1,A1,-3,high,too_easy_move_down,A1,호칭 질문을 먼저 하니 긴장이 풀렸어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0021,반례를 들다,C1,1,A1,-4,high,too_easy_move_down,A1,주장에 맞지 않는 반례를 하나만 들어도 조건을 더 정확히 다듬을 수 있습니다.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0049,우리 며느리,C1,1,A1,-4,high,too_easy_move_down,A1,우리 며느리라는 말은 환영처럼 들려도 역할을 씌웠어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0037,일회성 행사로 끝나다,C1,2,A2,-3,high,too_easy_move_down,A2,분리배출 캠페인이 일회성 행사로 끝나지 않으려면 담당 인력과 예산이 필요해요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0050,손님으로 두다,C1,2,A2,-3,high,too_easy_move_down,A2,손님으로 두면 편하지만 소속에서 밀려난 느낌이 났어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0057,말의 자리,C1,2,A2,-3,high,too_easy_move_down,A2,말의 자리가 의자보다 먼저 배치된다는 걸 그날 배웠어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0060,자리를 재협상하다,C1,2,A2,-3,high,too_easy_move_down,A2,자리를 재협상하자 다음 명절 표가 달라졌어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0111,잔여 위험,C1,2,A2,-3,high,too_easy_move_down,A2,잔여 위험을 0으로 약속하지 않아요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0143,결정 환류,C1,2,A2,-3,high,too_easy_move_down,A2,결정 환류가 늦으면 다음 참여율이 떨어져요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0032,잘못된 안심을 주다,C1,3,B1,-2,high,too_easy_move_down,B1,자료가 부족한데도 괜찮다고 단정하면 사람들에게 잘못된 안심을 줄 수 있어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0035,상황을 계속 갱신하다,C1,3,B1,-2,high,too_easy_move_down,B1,확정된 내용이 적더라도 바뀐 점을 중심으로 상황을 계속 갱신하겠습니다.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0040,효과가 눈에 보이다,C1,3,B1,-2,high,too_easy_move_down,B1,전기 사용량이 매달 공개되자 절약 효과가 눈에 보이기 시작했어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0041,부담을 고르게 나누다,C1,3,B1,-2,high,too_easy_move_down,B1,새 제도가 오래가려면 비용과 수고를 몇 사람에게만 맡기지 말고 고르게 나눠야 해요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0052,역할 언어,C1,3,B1,-2,high,too_easy_move_down,B1,역할 언어를 들을 때마다 현우와 나중에 번역하기로 했어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0061,보이지 않는 일,C1,3,B1,-2,high,too_easy_move_down,B1,보이지 않는 일이 상을 완성한다는 걸 설거지통에서 봤어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0063,돌봄 부담,C1,3,B1,-2,high,too_easy_move_down,B1,돌봄 부담이 한 사람에게 몰리면 웃음의 질이 달라졌어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0065,전통의 선택,C1,3,B1,-2,high,too_easy_move_down,B1,전통의 선택을 모두 지킬 필요는 없다고 짧게 말했어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0067,휴식권,C1,3,B1,-2,medium,too_easy_move_down,B1,휴식권을 말하니 처음엔 예의가 아니라는 눈이 왔어요.,"NIKL 3급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_c1_0070,구조를 바꾸다,C1,3,B1,-2,high,too_easy_move_down,B1,한 사람의 성품이 아니라 구조를 바꾸자고 했어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0083,선택 보고,C1,3,B1,-2,high,too_easy_move_down,B1,선택 보고를 줄이려고 실패한 지표도 표에 남겨요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c1_0089,오해 예방,C1,3,B1,-2,high,too_easy_move_down,B1,오해 예방을 위해 '전원' 대신 분모를 말해요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0055,말의 위계,C2,1,A1,-5,high,too_easy_move_down,A1,말의 위계를 깨지 않고도 질문을 하나 넣을 자리는 있었어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0060,자리를 문서화하다,C2,2,A2,-4,high,too_easy_move_down,A2,자리를 문서화하자 기억 싸움이 줄었어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0071,기억을 재배치하다,C2,2,A2,-4,high,too_easy_move_down,A2,기억을 재배치하자 내가 손님만은 아니게 됐어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0098,선택적 기억,C2,2,A2,-4,high,too_easy_move_down,A2,선택적 기억을 기념일로만 고정하면 나머지가 지워져요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0115,완곡 금지,C2,2,A2,-4,high,too_easy_move_down,A2,완곡 금지로 '정리' 대신 '해고'를 적어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0203,이상화,C2,2,A2,-4,medium,too_easy_move_down,A2,초반의 이상화가 나중 판단을 어렵게 합니다.,"NIKL 2급 단일어, 현재 레벨보다 쉬움 -- 하향 이동 권고"
vocab_c2_0010,기준을 명문화하다,C2,3,B1,-3,high,too_easy_move_down,B1,담당자마다 판단이 달라지지 않도록 예외 승인 기준을 문서로 명문화했습니다.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0016,여백을 남기다,C2,3,B1,-3,low,too_easy_move_down,B1,모든 감정을 설명하지 않고 여백을 남겨 둔 문장이 오히려 오래 기억에 남았습니다.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0064,호칭의 정치,C2,3,B1,-3,high,too_easy_move_down,B1,호칭의 정치는 친근함의 가면을 쓰고 경계를 정했어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0068,공동 기억,C2,3,B1,-3,high,too_easy_move_down,B1,공동 기억을 한 장의 사진으로 고정하지 않기로 했어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0070,이름을 되찾다,C2,3,B1,-3,high,too_easy_move_down,B1,별명 대신 이름을 되찾자고 하니 방이 잠시 멈췄어요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0103,기념 문장,C2,3,B1,-3,high,too_easy_move_down,B1,기념 문장이 현재 정책을 가리면 다시 써요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0122,자동 결정,C2,3,B1,-3,high,too_easy_move_down,B1,자동 결정에는 사용한 자료 목록을 붙여야 해요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
vocab_c2_0129,제3자 검토,C2,3,B1,-3,high,too_easy_move_down,B1,제3자 검토를 같은 업체가 하면 독립이 아니에요.,"복합 구/서사 조각 의심(품사구 등급 판정 한계, Q-C Part1.1) -- 표제어 적합성 재검토 후 등급 이동"
