nikl_grade,category,form,variants,status,app_matched_ids,app_levels,sejong_evidence,sejong_page,sejong_file
4(B2),표현,-는 통에,,missing_in_app,,,B2(세종 4A/4B 실물),232,세종학당 한국어 4B(영어)_(low file size).pdf
4(B2),표현,-는다거나2,"-ㄴ다거나2, -다거나2, -라거나2",missing_in_app,,,B2(세종 4A/4B 실물),231,세종학당 한국어 4B(영어)_(low file size).pdf
4(B2),표현,-어 대다,"-아 대다, -여 대다",missing_in_app,,,B2(세종 4A/4B 실물),231,세종학당 한국어 4B(영어)_(low file size).pdf
4(B2),표현,-어 버리다,"-아 버리다, -여 버리다",missing_in_app,,,B2(세종 4A/4B 실물),227,세종학당 한국어 4B(영어)_(low file size).pdf
4(B2),표현,-어서인지,"-아서인지, -여서인지",missing_in_app,,,B2(세종 4A/4B 실물),232,세종학당 한국어4A_영어.pdf
4(B2),표현,-을 모양이다,-ㄹ 모양이다,missing_in_app,,,,,
4(B2),표현,-을 뻔하다,-ㄹ 뻔하다,level_mismatch,grammar_b1_near_miss,B1,B2(세종 4A/4B 실물),237,세종학당 한국어4A_영어.pdf
4(B2),표현,만 같아도,,missing_in_app,,,B2(세종 4A/4B 실물),225,세종학당 한국어 4B(영어)_(low file size).pdf
4(B2),표현,에 비하여,에 비하면,missing_in_app,,,B2(세종 4A/4B 실물),229,세종학당 한국어4A_영어.pdf
4(B2),표현,에 의하여,에 의하면,missing_in_app,,,,,
4(B2),표현,으로 인하여,"로 인하여, 으로 인해, 로 인해",missing_in_app,,,B2(세종 4A/4B 실물),231,세종학당 한국어 4B(영어)_(low file size).pdf
5(C1),연결어미,-고는,"-곤, -고는 하다, -곤 하다",missing_in_app,,,,,
5(C1),연결어미,-길래,,missing_in_app,,,,,
5(C1),연결어미,-느니1,"-느니보다, -느니보다는",missing_in_app,,,,,
5(C1),연결어미,-다가는,"-다간, -단1",level_mismatch,grammar_b2_negative_consequence,B2,"C1(세종5 unit8 생겨나는 말, 사라지는 말)",35,세종학당 한국어 익힘책_5B.pdf
5(C1),연결어미,-을뿐더러,-ㄹ뿐더러,missing_in_app,,,C1(세종5 unit2 인구 및 가구의 변화),11,세종학당 한국어 익힘책_5B.pdf
5(C1),연결어미,-을지라도,-ㄹ지라도,level_mismatch,grammar_b2_formal_concession,B2,,,
5(C1),연결어미,-지1,,missing_in_app,,,,,
5(C1),조사,따라,,missing_in_app,,,,,
5(C1),조사,이라든가,"라든가1, 이라든지, 라든지1",missing_in_app,,,,,
5(C1),조사,조차,,missing_in_app,,,,,
5(C1),종결어미,-거라,,missing_in_app,,,,,
5(C1),종결어미,-고말고,-고말고요,missing_in_app,,,,,
5(C1),종결어미,-네2,,missing_in_app,,,,,
5(C1),종결어미,-는가1,"-ㄴ가1, -은가1",missing_in_app,,,,,
5(C1),종결어미,-는걸,"-ㄴ걸, -은걸, -ㄴ걸요, -는걸요, -은걸요",missing_in_app,,,,,
5(C1),종결어미,-다4,,missing_in_app,,,,,
5(C1),종결어미,-다니1,"-다니요, -라니1, -라니요1, 으라니1, -으라니요",missing_in_app,,,,,
5(C1),종결어미,-더라고,-더라고요,missing_in_app,,,,,
5(C1),종결어미,-데,-데요,missing_in_app,,,,,
5(C1),종결어미,-으려고2,"-려고2, -려고요, -으려고요",level_mismatch,grammar_b1_intention,A1,,,
5(C1),표현,-게 마련이다,-기 마련이다,level_mismatch,grammar_b2_inevitability,B2,,,
5(C1),표현,-게 생겼다,,missing_in_app,,,,,
5(C1),표현,-기 나름이다,-을 나름이다,level_mismatch,grammar_b2_method_dependent,B2,,,
5(C1),표현,-기가 바쁘게,<유의> -기가 무섭게,missing_in_app,,,,,
5(C1),표현,-기가 쉽다,<유의> -기 십상이다,missing_in_app,,,,,
5(C1),표현,-기만 하다,,missing_in_app,,,,,
5(C1),표현,-기에 따라,,missing_in_app,,,,,
5(C1),표현,-기에 앞서(서),,missing_in_app,,,,,
5(C1),표현,-는 가운데,-은 가운데,missing_in_app,,,C1(세종5 unit9 생활 속 편리한 물건),39,세종학당 한국어 익힘책_5B.pdf
5(C1),표현,-는 데다가,"-ㄴ데다가1, -은 데다가2, -ㄴ 데다가2, -은 데다가1",missing_in_app,,,C1(세종5 unit7 한국의 수필),31,세종학당 한국어 익힘책_5B.pdf
5(C1),표현,-는 동시에,-ㄴ 동시에,missing_in_app,,,,,
5(C1),표현,-는 듯하다,"-ㄴ듯하다, -은 듯하다, -ㄹ 듯하다, -을 듯하다",level_mismatch,grammar_b2_impression_appearance,B2,,,
5(C1),표현,-는 법이다,"-ㄴ 법이다, -은 법이다",missing_in_app,,,,,
5(C1),표현,-는 이상,"-ㄴ 이상, -은 이상",level_mismatch,grammar_b2_established_premise,B2,,,
5(C1),표현,-는 척하다,"-ㄴ 척하다, -은 척하다, <유의> -는 체하다, -은 체하다",missing_in_app,,,,,
5(C1),표현,-는다기에,"-ㄴ다기에, -다기에, -라기에1",missing_in_app,,,,,
5(C1),표현,-는다는 것이,-ㄴ다는 것이,missing_in_app,,,,,
5(C1),표현,-는다니1,"-다니2, -라니5, -으라니2, -자니2",missing_in_app,,,,,
5(C1),표현,-는데도,"-ㄴ데도, -은데도",missing_in_app,,,,,
5(C1),표현,-는데도 불구하고,"-ㄴ데도 불구하고, -은데도 불구하고",missing_in_app,,,,,
5(C1),표현,-어 내다,"-아 내다, -여 내다",missing_in_app,,,,,
5(C1),표현,-었던,"-았던, -였던",missing_in_app,,,,,
5(C1),표현,-으려나 보다,-려나 보다,missing_in_app,,,,,
5(C1),표현,-으면 몰라도,-면 몰라도,missing_in_app,,,C1(세종5 unit10 생활 속 과학),43,세종학당 한국어 익힘책_5B.pdf
5(C1),표현,-은 채로,-ㄴ 채로,missing_in_app,,,,,
5(C1),표현,-을 만하다,-ㄹ 만하다,level_mismatch,grammar_b2_worth_doing,B2,,,
5(C1),표현,-을 법하다,-ㄹ 법하다,missing_in_app,,,,,
5(C1),표현,-을 테다,-ㄹ 테다,missing_in_app,,,,,
5(C1),표현,-을 테면,-ㄹ 테면,missing_in_app,,,,,
5(C1),표현,-을 테지만,-ㄹ 테지만,missing_in_app,,,,,
5(C1),표현,-자기에,,missing_in_app,,,,,
5(C1),표현,는 말할 것도 없고,"은 말할 것도 없고, <유의> 는 고사하고, 은 고사하고",missing_in_app,,,,,
5(C1),표현,를 가지고,을 가지고,missing_in_app,,,,,
5(C1),표현,에 관하여,에 관한,level_mismatch,grammar_b2_formal_regarding,B2,,,
5(C1),표현,에도 불구하고,,level_mismatch,grammar_b2_despite,B2,,,
6(C2),연결어미,-거들랑1,-걸랑1,missing_in_app,,,,,
6(C2),연결어미,-건대,,missing_in_app,,,,,
6(C2),연결어미,-건만,-건마는,missing_in_app,,,,,
6(C2),연결어미,-기로서니,,level_mismatch,grammar_b2_granted_limit,B2,,,
6(C2),연결어미,-노라면,,missing_in_app,,,,,
6(C2),연결어미,-느니만큼,"-니만큼, -으니만큼, <유의> -느니만치, 니만치, -으니만치",missing_in_app,,,,,
6(C2),연결어미,-는다고1,"-다고1, -라고3, 으라고1, -자고1",missing_in_app,,,,,
6(C2),연결어미,-되,"-으되, -로되",missing_in_app,,,,,
6(C2),연결어미,-디1,,missing_in_app,,,,,
6(C2),연결어미,-으련마는,"-련마는, -으련만, -련만",missing_in_app,,,,,
6(C2),연결어미,-은들,"-ㄴ들2, 인들",missing_in_app,,,,,
6(C2),연결어미,-을라치면,-ㄹ라치면,missing_in_app,,,,,
6(C2),연결어미,-이라야,"-라야, -이라야만, -라야만",missing_in_app,,,,,
6(C2),연결어미,-자니3,"-자2,-자니까3",missing_in_app,,,,,
6(C2),연결어미,-자면1,,missing_in_app,,,,,
6(C2),조사,깨나,,missing_in_app,,,,,
6(C2),조사,마는,만2,level_mismatch,grammar_a1_only_particle,A1,,,
6(C2),조사,을랑,,missing_in_app,,,,,
6(C2),조사,이라고2,라고2,missing_in_app,,,,,
6(C2),조사,이라면,라면1,missing_in_app,,,,,
6(C2),종결어미,-거들랑2,-걸랑2,missing_in_app,,,,,
6(C2),종결어미,-게3,,level_mismatch,grammar_a2_adverbial,A2,,,
6(C2),종결어미,-게4,,level_mismatch,grammar_a2_adverbial,A2,,,
6(C2),종결어미,-구려2,,missing_in_app,,,,,
6(C2),종결어미,-그려,,missing_in_app,,,,,
6(C2),종결어미,-나2,,level_mismatch,grammar_a1_or_particle,A2,,,
6(C2),종결어미,-네1,,missing_in_app,,,,,
6(C2),종결어미,-는가2,"-ㄴ가2, -은가2",missing_in_app,,,,,
6(C2),종결어미,-는구려,-구려1,missing_in_app,,,,,
6(C2),종결어미,-는구만,-구만,missing_in_app,,,,,
6(C2),종결어미,-는구먼,"-구먼, -구먼요, -는구먼요",missing_in_app,,,,,
6(C2),종결어미,-던2,,level_mismatch,grammar_b1_recalled_past,B1,,,
6(C2),종결어미,-던가1,,missing_in_app,,,,,
6(C2),종결어미,-던가2,,missing_in_app,,,,,
6(C2),종결어미,-라2,,missing_in_app,,,,,
6(C2),종결어미,-소,,missing_in_app,,,,,
6(C2),종결어미,-으니4,,missing_in_app,,,,,
6(C2),종결어미,-으리라,-리라,missing_in_app,,,,,
6(C2),종결어미,-으리오,-리오,missing_in_app,,,,,
6(C2),종결어미,-으오,-오,missing_in_app,,,,,
6(C2),표현,-기 일쑤이다,,missing_in_app,,,,,
6(C2),표현,-기 짝이 없다,,missing_in_app,,,,,
6(C2),표현,-는 한이 있어도,-는 한이 있더라도,level_mismatch,grammar_c1_even_at_cost,C1,,,
6(C2),표현,-는다는,"-ㄴ다는, -는단, -다는, -단2, -라는1, -란2",level_mismatch,grammar_b2_definition,B2,,,
6(C2),표현,-는다던가1,"-다던가1, -라던가1",missing_in_app,,,,,
6(C2),표현,-어 치우다,"-아 치우다, -여 치우다",missing_in_app,,,,,
6(C2),표현,-으래서야,-래서야2,missing_in_app,,,,,
6(C2),표현,-으려도,-려도,missing_in_app,,,,,
6(C2),표현,-으리라고,-리라고,missing_in_app,,,,,
6(C2),표현,-으리라는,-리라는,missing_in_app,,,,,
6(C2),표현,-을 바에,-ㄹ 바에,missing_in_app,,,,,
6(C2),표현,-자면2,,missing_in_app,,,,,
6(C2),표현,는 마당에,"-ㄴ 마당에, -은 마당에",level_mismatch,grammar_c1_given_situation,C1,,,
6(C2),표현,이라고는,"라고는, 이라곤, 라곤,",missing_in_app,,,,,
