id,level,ko,de,en,field_notes,상태,jin_memo
vocab_c1_0169,C1,표본,Stichprobe,sample,rights: original; pack=c1_media_evidence_1; order=1; boss=false,draft,
vocab_c1_0186,C1,완화,Lockerung,easing,rights: original; pack=c1_play_time_policy_1; order=6; boss=false,draft,
vocab_c1_0187,C1,지표,Kennzahl,indicator,rights: original; pack=c1_play_time_policy_1; order=7; boss=false,draft,
vocab_c1_0188,C1,역효과,Gegeneffekt,backfire,rights: original; pack=c1_play_time_policy_1; order=8; boss=false,draft,
vocab_c1_0189,C1,우회,Umgehung,circumvention,rights: original; pack=c1_play_time_policy_1; order=9; boss=false,draft,
vocab_c1_0190,C1,산정,Berechnung,computation,rights: original; pack=c1_play_time_policy_1; order=10; boss=true,draft,
vocab_c1_0191,C1,권고,Empfehlung,recommendation,rights: original; pack=c1_play_time_policy_1; order=11; boss=true,draft,
vocab_c1_0192,C1,상한,Obergrenze,cap,rights: original; pack=c1_play_time_policy_1; order=12; boss=true,draft,
vocab_c1_0193,C1,무보수,unbezahlte Arbeit,unpaid work,rights: original; pack=c1_fan_labor_1; order=1; boss=false,draft,
vocab_c1_0194,C1,자발성,Freiwilligkeit,voluntariness,rights: original; pack=c1_fan_labor_1; order=2; boss=false,draft,
vocab_c1_0195,C1,소진,Erschöpfung,burnout,rights: original; pack=c1_fan_labor_1; order=3; boss=false,draft,
vocab_c1_0196,C1,헌신,Hingabe,devotion,rights: original; pack=c1_fan_labor_1; order=4; boss=false,draft,
vocab_c1_0197,C1,분담,Aufteilung,sharing of load,rights: original; pack=c1_fan_labor_1; order=5; boss=false,draft,
vocab_c1_0198,C1,착취,Ausbeutung,exploitation,rights: original; pack=c1_fan_labor_1; order=6; boss=false,draft,
vocab_c1_0199,C1,과부하,Überlastung,overload,rights: original; pack=c1_fan_labor_1; order=7; boss=false,draft,
vocab_c1_0200,C1,위임,Delegation,delegation,rights: original; pack=c1_fan_labor_1; order=8; boss=false,draft,
vocab_c1_0201,C1,여력,Kapazität,spare capacity,rights: original; pack=c1_fan_labor_1; order=9; boss=false,draft,
vocab_c1_0202,C1,지속성,Nachhaltigkeit,sustainability,rights: original; pack=c1_fan_labor_1; order=10; boss=true,draft,
vocab_c1_0203,C1,성과물,Arbeitsergebnis,output,rights: original; pack=c1_fan_labor_1; order=11; boss=true,draft,
vocab_c1_0204,C1,동원,Mobilisierung,mobilisation,rights: original; pack=c1_fan_labor_1; order=12; boss=true,draft,
vocab_c1_0205,C1,익명,Anonymität,anonymity,rights: original; pack=c1_intimacy_safety_1; order=1; boss=false,draft,
vocab_c1_0206,C1,신원,Identität,identity,rights: original; pack=c1_intimacy_safety_1; order=2; boss=false,draft,
vocab_c1_0207,C1,노출,Preisgabe,exposure,rights: original; pack=c1_intimacy_safety_1; order=3; boss=false,draft,
vocab_c1_0208,C1,대면,persönliches Treffen,meeting in person,rights: original; pack=c1_intimacy_safety_1; order=4; boss=false,draft,
vocab_c1_0209,C1,경위,Hergang,sequence of events,rights: original; pack=c1_intimacy_safety_1; order=5; boss=false,draft,
vocab_c1_0210,C1,수위,Grad,severity level,rights: original; pack=c1_intimacy_safety_1; order=6; boss=false,draft,
vocab_c1_0211,C1,완충,Puffer,buffer,rights: original; pack=c1_intimacy_safety_1; order=7; boss=false,draft,
vocab_c1_0212,C1,선별,Vorauswahl,filtering,rights: original; pack=c1_intimacy_safety_1; order=8; boss=false,draft,
vocab_c1_0213,C1,임계치,Schwellenwert,threshold,rights: original; pack=c1_intimacy_safety_1; order=9; boss=false,draft,
vocab_c1_0214,C1,신고,Meldung,report,rights: original; pack=c1_intimacy_safety_1; order=10; boss=true,draft,
vocab_c1_0215,C1,차단,Sperrung,blocking,rights: original; pack=c1_intimacy_safety_1; order=11; boss=true,draft,
vocab_c1_0216,C1,경계,Grenze,boundary,rights: original; pack=c1_intimacy_safety_1; order=12; boss=true,draft,
vocab_c2_0169,C2,오작동,Fehlfunktion,malfunction,rights: original; pack=c2_automation_redress_1; order=1; boss=false,draft,
vocab_c2_0170,C2,구제,Abhilfe,remedy,rights: original; pack=c2_automation_redress_1; order=2; boss=false,draft,
vocab_c2_0171,C2,소명,Stellungnahme,statement of grounds,rights: original; pack=c2_automation_redress_1; order=3; boss=false,draft,
vocab_c2_0172,C2,유예,Aufschub,deferral,rights: original; pack=c2_automation_redress_1; order=4; boss=false,draft,
vocab_c2_0173,C2,재검토,Neuprüfung,re-review,rights: original; pack=c2_automation_redress_1; order=5; boss=false,draft,
vocab_c2_0174,C2,통보,Mitteilung,notification,rights: original; pack=c2_automation_redress_1; order=6; boss=false,draft,
vocab_c2_0175,C2,시정,Behebung,correction,rights: original; pack=c2_automation_redress_1; order=7; boss=false,draft,
vocab_c2_0176,C2,입증,Nachweis,proof,rights: original; pack=c2_automation_redress_1; order=8; boss=false,draft,
vocab_c2_0177,C2,형식적,bloß formal,merely formal,rights: original; pack=c2_automation_redress_1; order=9; boss=false,draft,
vocab_c2_0178,C2,자동 처리,automatische Bearbeitung,automated processing,rights: original; pack=c2_automation_redress_1; order=10; boss=true,draft,
vocab_c2_0179,C2,불복,Einspruch,appeal,rights: original; pack=c2_automation_redress_1; order=11; boss=true,draft,
vocab_c2_0180,C2,처분,Maßnahme,administrative measure,rights: original; pack=c2_automation_redress_1; order=12; boss=true,draft,
vocab_c2_0181,C2,제재,Sanktion,sanction,rights: original; pack=c2_sanction_accountability_1; order=1; boss=false,draft,
vocab_c2_0182,C2,적발,Aufdeckung,detection,rights: original; pack=c2_sanction_accountability_1; order=2; boss=false,draft,
vocab_c2_0183,C2,누적,Kumulierung,accumulation,rights: original; pack=c2_sanction_accountability_1; order=3; boss=false,draft,
vocab_c2_0184,C2,해제,Aufhebung,lifting,rights: original; pack=c2_sanction_accountability_1; order=4; boss=false,draft,
vocab_c2_0185,C2,자의적,willkürlich,arbitrary,rights: original; pack=c2_sanction_accountability_1; order=5; boss=false,draft,
vocab_c2_0186,C2,일관성,Konsistenz,consistency,rights: original; pack=c2_sanction_accountability_1; order=6; boss=false,draft,
vocab_c2_0187,C2,비례,Verhältnismäßigkeit,proportionality,rights: original; pack=c2_sanction_accountability_1; order=7; boss=false,draft,
vocab_c2_0188,C2,항변,Einrede,defence plea,rights: original; pack=c2_sanction_accountability_1; order=8; boss=false,draft,
vocab_c2_0189,C2,오탐,Fehlalarm,false positive,rights: original; pack=c2_sanction_accountability_1; order=9; boss=false,draft,
vocab_c2_0190,C2,소급,Rückwirkung,retroactivity,rights: original; pack=c2_sanction_accountability_1; order=10; boss=true,draft,
vocab_c2_0191,C2,귀책,Zurechnung,attributable fault,rights: original; pack=c2_sanction_accountability_1; order=11; boss=true,draft,
vocab_c2_0192,C2,재량,Ermessen,discretion,rights: original; pack=c2_sanction_accountability_1; order=12; boss=true,draft,
vocab_c2_0193,C2,서사,Narrativ,narrative,rights: original; pack=c2_relationship_narratives_1; order=1; boss=false,draft,
vocab_c2_0194,C2,각색,Ausschmückung,dramatisation,rights: original; pack=c2_relationship_narratives_1; order=2; boss=false,draft,
vocab_c2_0195,C2,미화,Beschönigung,glossing over,rights: original; pack=c2_relationship_narratives_1; order=3; boss=false,draft,
vocab_c2_0196,C2,통념,gängige Vorstellung,received idea,rights: original; pack=c2_relationship_narratives_1; order=4; boss=false,draft,
vocab_c2_0197,C2,투사,Projektion,projection,rights: original; pack=c2_relationship_narratives_1; order=5; boss=false,draft,
vocab_c2_0198,C2,개연성,Plausibilität,plausibility,rights: original; pack=c2_relationship_narratives_1; order=6; boss=false,draft,
vocab_c2_0199,C2,전형,Typisierung,stock type,rights: original; pack=c2_relationship_narratives_1; order=7; boss=false,draft,
vocab_c2_0200,C2,재구성,Rekonstruktion,reconstruction,rights: original; pack=c2_relationship_narratives_1; order=8; boss=false,draft,
vocab_c2_0201,C2,화자,Erzählstimme,narrator,rights: original; pack=c2_relationship_narratives_1; order=9; boss=false,draft,
vocab_c2_0202,C2,왜곡,Entstellung,distortion,rights: original; pack=c2_relationship_narratives_1; order=10; boss=true,draft,
vocab_c2_0203,C2,이상화,Idealisierung,idealisation,rights: original; pack=c2_relationship_narratives_1; order=11; boss=true,draft,
vocab_c2_0204,C2,단정,kategorisches Urteil,flat assertion,rights: original; pack=c2_relationship_narratives_1; order=12; boss=true,draft,
vocab_c2_0205,C2,담론,Diskurs,discourse,rights: original; pack=c2_fandom_discourse_1; order=1; boss=false,draft,
vocab_c2_0206,C2,결집,Mobilisierung,rallying,rights: original; pack=c2_fandom_discourse_1; order=2; boss=false,draft,
vocab_c2_0207,C2,배제,Ausschluss,exclusion,rights: original; pack=c2_fandom_discourse_1; order=3; boss=false,draft,
vocab_c2_0208,C2,낙인,Stigma,stigma,rights: original; pack=c2_fandom_discourse_1; order=4; boss=false,draft,
vocab_c2_0209,C2,정당화,Rechtfertigung,justification,rights: original; pack=c2_fandom_discourse_1; order=5; boss=false,draft,
vocab_c2_0210,C2,위계,Hierarchie,hierarchy,rights: original; pack=c2_fandom_discourse_1; order=6; boss=false,draft,
vocab_c2_0211,C2,동조,Mitgehen,going along,rights: original; pack=c2_fandom_discourse_1; order=7; boss=false,draft,
vocab_c2_0212,C2,발화,Äußerung,utterance,rights: original; pack=c2_fandom_discourse_1; order=8; boss=false,draft,
vocab_c2_0213,C2,함의,Implikation,implication,rights: original; pack=c2_fandom_discourse_1; order=9; boss=false,draft,
vocab_c2_0214,C2,잣대,Maßstab,yardstick,rights: original; pack=c2_fandom_discourse_1; order=10; boss=true,draft,
vocab_c2_0215,C2,호명,namentliche Benennung,calling out by name,rights: original; pack=c2_fandom_discourse_1; order=11; boss=true,draft,
vocab_c2_0216,C2,우세,Übergewicht,dominance,rights: original; pack=c2_fandom_discourse_1; order=12; boss=true,draft,
