id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0603,A1,여권,Reisepass,passport,rights: original_clean_room; pack=a1_belongings_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0604,A1,기숙사,Wohnheim,dormitory,rights: original_clean_room; pack=a1_places_buildings_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0605,A1,사무실,Büro,office,rights: original_clean_room; pack=a1_places_buildings_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0606,A1,아파트,Wohnung,apartment,rights: original_clean_room; pack=a1_places_buildings_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0607,A1,수영장,Schwimmbad,swimming pool,rights: original_clean_room; pack=a1_places_buildings_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0608,A1,운동장,Sportplatz,sports ground,rights: original_clean_room; pack=a1_places_buildings_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0609,A1,노래방,Karaoke-Raum,karaoke room,rights: original_clean_room; pack=a1_places_buildings_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0610,A1,대사관,Botschaft,embassy,rights: original_clean_room; pack=a1_places_buildings_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0611,A1,여행사,Reisebüro,travel agency,rights: original_clean_room; pack=a1_places_buildings_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0612,A1,건물,Gebäude,building,rights: original_clean_room; pack=a1_places_buildings_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0613,A1,근처,"Umgebung, Nähe","vicinity, nearby",rights: original_clean_room; pack=a1_places_buildings_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0614,A1,건너편,gegenüberliegende Seite,opposite side,rights: original_clean_room; pack=a1_places_buildings_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0615,A1,층,"Stock, Etage","floor, story",rights: original_clean_room; pack=a1_places_buildings_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0616,A1,다음,nächst-,next,rights: original_clean_room; pack=a1_time_expressions_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0617,A1,나중,später,later,rights: original_clean_room; pack=a1_time_expressions_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0618,A1,동안,"während, für (Dauer)","during, for (duration)",rights: original_clean_room; pack=a1_time_expressions_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0619,A1,오전,Vormittag,"morning, AM",rights: original_clean_room; pack=a1_time_expressions_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0620,A1,오후,Nachmittag,"afternoon, PM",rights: original_clean_room; pack=a1_time_expressions_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0621,A1,이번,"dieses-, jetzig-",this (upcoming),rights: original_clean_room; pack=a1_time_expressions_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0622,A1,지난달,letzten Monat,last month,rights: original_clean_room; pack=a1_time_expressions_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0623,A1,지난주,letzte Woche,last week,rights: original_clean_room; pack=a1_time_expressions_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0624,A1,지난해,letztes Jahr,last year,rights: original_clean_room; pack=a1_time_expressions_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0625,A1,일주일,eine Woche,one week,rights: original_clean_room; pack=a1_time_expressions_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0626,A1,하루,ein Tag,one day,rights: original_clean_room; pack=a1_time_expressions_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0627,A1,후,"danach, später","after, later",rights: original_clean_room; pack=a1_time_expressions_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0628,A1,개,Hund,dog,rights: original_clean_room; pack=a1_nature_people_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0629,A1,고양이,Katze,cat,rights: original_clean_room; pack=a1_nature_people_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0630,A1,꽃,Blume,flower,rights: original_clean_room; pack=a1_nature_people_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0631,A1,나무,Baum,tree,rights: original_clean_room; pack=a1_nature_people_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0632,A1,산,Berg,mountain,rights: original_clean_room; pack=a1_nature_people_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0633,A1,바다,Meer,sea,rights: original_clean_room; pack=a1_nature_people_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0634,A1,비,Regen,rain,rights: original_clean_room; pack=a1_nature_people_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0635,A1,불,"Feuer, Licht","fire, light",rights: original_clean_room; pack=a1_nature_people_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0636,A1,아기,Baby,baby,rights: original_clean_room; pack=a1_nature_people_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0637,A1,아이,Kind,child,rights: original_clean_room; pack=a1_nature_people_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0638,A1,남자,Mann,man,rights: original_clean_room; pack=a1_nature_people_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0639,A1,여자,Frau,woman,rights: original_clean_room; pack=a1_nature_people_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0640,A1,기분,Stimmung,mood,rights: original_clean_room; pack=a1_feelings_talk_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0641,A1,마음,"Herz, Gemüt","heart, mind",rights: original_clean_room; pack=a1_feelings_talk_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0642,A1,사랑,Liebe,love,rights: original_clean_room; pack=a1_feelings_talk_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0643,A1,피곤,Müdigkeit,tiredness,rights: original_clean_room; pack=a1_feelings_talk_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0644,A1,감사,Dank,"gratitude, thanks",rights: original_clean_room; pack=a1_feelings_talk_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0645,A1,미안,Entschuldigung (Gefühl),sorry (feeling),rights: original_clean_room; pack=a1_feelings_talk_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0646,A1,친절,Freundlichkeit,kindness,rights: original_clean_room; pack=a1_feelings_talk_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0647,A1,실례,Verzeihung,excuse me,rights: original_clean_room; pack=a1_feelings_talk_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0648,A1,유명,"berühmt, bekannt",famous,rights: original_clean_room; pack=a1_feelings_talk_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0649,A1,대답,Antwort,"answer, reply",rights: original_clean_room; pack=a1_feelings_talk_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0650,A1,소개,Vorstellung,introduction,rights: original_clean_room; pack=a1_feelings_talk_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0651,A1,설명,Erklärung,explanation,rights: original_clean_room; pack=a1_feelings_talk_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
