id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a2_0532,A2,벽,Wand,wall,rights: original_clean_room; pack=a2_home_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0533,A2,낚시,Angeln,fishing,rights: original_clean_room; pack=a2_health_misc_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0534,A2,배드민턴,Badminton,badminton,rights: original_clean_room; pack=a2_health_misc_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0535,A2,간식,Snack,snack,rights: original_clean_room; pack=a2_food_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0536,A2,재료,Zutat,ingredient,rights: original_clean_room; pack=a2_food_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0537,A2,간장,Sojasoße,soy sauce,rights: original_clean_room; pack=a2_food_2; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0538,A2,기름,Öl,oil,rights: original_clean_room; pack=a2_food_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0539,A2,택배,Paket(zustellung),parcel delivery,rights: original_clean_room; pack=a2_shopping_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0540,A2,상품,"Ware, Produkt","product, goods",rights: original_clean_room; pack=a2_shopping_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0541,A2,계산,"Bezahlen, Berechnung","paying, calculation",rights: original_clean_room; pack=a2_shopping_2; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0542,A2,주문,Bestellung,order,rights: original_clean_room; pack=a2_shopping_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0543,A2,입학,"Einschulung, Immatrikulation","enrollment, matriculation",rights: original_clean_room; pack=a2_education; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0544,A2,출석,Anwesenheit,attendance,rights: original_clean_room; pack=a2_education; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0545,A2,저금,"Ersparnisse, Sparen",savings,rights: original_clean_room; pack=a2_money_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0546,A2,요금,"Gebühr, Tarif","fee, fare",rights: original_clean_room; pack=a2_money_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0547,A2,섬,Insel,island,rights: original_clean_room; pack=a2_nature_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0548,A2,호수,See,lake,rights: original_clean_room; pack=a2_nature_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0549,A2,고모,Tante (väterlicherseits),paternal aunt,rights: original_clean_room; pack=a2_partner_dinner_talk_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0550,A2,삼촌,Onkel,uncle,rights: original_clean_room; pack=a2_partner_dinner_talk_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0551,A2,이모,Tante (mütterlicherseits),maternal aunt,rights: original_clean_room; pack=a2_partner_seollal_day_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0552,A2,명절,traditioneller Feiertag,traditional holiday,rights: original_clean_room; pack=a2_partner_seollal_day_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0553,A2,조카,"Neffe, Nichte","nephew, niece",rights: original_clean_room; pack=a2_partner_chuseok_basic_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0554,A2,이웃,Nachbar,neighbor,rights: original_clean_room; pack=a2_partner_hometown_trip_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0555,A2,취소,"Absage, Stornierung",cancellation,rights: original_clean_room; pack=a2_plans_proposals_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0556,A2,잡다,"festlegen, sich sichern","to set (a time/place), to secure",rights: original_clean_room; pack=a2_plans_proposals_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0557,A2,직장,Arbeitsplatz,workplace,rights: original_clean_room; pack=a2_work; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0558,A2,전철,U-Bahn,"subway, electric train",rights: original_clean_room; pack=a2_transport; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0559,A2,소리,"Ton, Geräusch",sound,rights: original_clean_room; pack=a2_health_misc_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0560,A2,공무원,Beamter/Beamtin,civil servant,rights: original_clean_room; pack=a2_people_jobs_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0561,A2,두통,Kopfschmerzen,headache,rights: original_clean_room; pack=a2_pharmacy_ask_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0562,A2,휴대폰,Handy,mobile phone,rights: original_clean_room; pack=a2_messenger_phone_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0563,A2,메시지,Nachricht,message,rights: original_clean_room; pack=a2_messenger_phone_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0564,A2,메모,Notiz,"memo, note",rights: original_clean_room; pack=a2_messenger_phone_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0565,A2,답장,Antwort (Brief/Nachricht),reply,rights: original_clean_room; pack=a2_messenger_phone_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0566,A2,연락처,Kontaktdaten,contact information,rights: original_clean_room; pack=a2_messenger_phone_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0567,A2,끊다,"auflegen, unterbrechen","to hang up, to cut off",rights: original_clean_room; pack=a2_messenger_phone_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
