id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a2_0391,a2,주말에 친구들이랑 삼겹살을 구워 먹었어요.,Am Wochenende habe ich mit Freunden Schweinebauch gegrillt und gegessen.,"On the weekend, I grilled and ate pork belly with friends.",rights: original_clean_room; answer=삼겹살을; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0584,pending,
cloze_a2_0392,a2,남은 김치로 볶음밥을 만들었어요.,Ich habe aus übrig gebliebenem Kimchi gebratenen Reis gemacht.,I made fried rice with the leftover kimchi.,rights: original_clean_room; answer=볶음밥을; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0585,pending,
cloze_a2_0393,a2,추운 날에는 뜨거운 설렁탕이 최고예요.,An kalten Tagen ist heiße Rinderknochensuppe am besten.,"On a cold day, hot seolleongtang is the best.",rights: original_clean_room; answer=설렁탕이; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0586,pending,
cloze_a2_0394,a2,생일에는 가족이 소고기를 먹어요.,Am Geburtstag isst die Familie Rindfleisch.,"On birthdays, my family eats beef.",rights: original_clean_room; answer=소고기를; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0587,pending,
cloze_a2_0395,a2,비 오는 날에는 뜨거운 우동이 최고예요.,An Regentagen sind heiße Udon-Nudeln das Beste.,"On a rainy day, hot udon is the best.",rights: original_clean_room; answer=우동이; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0588,pending,
cloze_a2_0396,a2,여름에는 시원한 오이를 많이 먹어요.,Im Sommer esse ich viel kühle Gurke.,"In summer, I eat a lot of cool cucumber.",rights: original_clean_room; answer=오이를; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0589,pending,
cloze_a2_0397,a2,찌개가 끓으면 불을 줄여 주세요.,"Wenn der Eintopf kocht, drehen Sie bitte die Hitze runter.","When the stew boils, please turn down the heat.",rights: original_clean_room; answer=끓으면; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0590,pending,
cloze_a2_0398,a2,두부를 잘게 썰어서 찌개에 넣었어요.,Ich habe den Tofu klein geschnitten und in den Eintopf gegeben.,I sliced the tofu finely and put it in the stew.,rights: original_clean_room; answer=썰어서; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0591,pending,
cloze_a2_0399,a2,면접이라서 하얀 블라우스를 입었어요.,"Weil es ein Vorstellungsgespräch war, habe ich eine weiße Bluse angezogen.","It was a job interview, so I wore a white blouse.",rights: original_clean_room; answer=블라우스를; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0592,pending,
cloze_a2_0400,a2,날씨가 추워져서 스웨터를 꺼냈어요.,"Das Wetter ist kälter geworden, deshalb habe ich den Pullover herausgeholt.","The weather got cold, so I took out my sweater.",rights: original_clean_room; answer=스웨터를; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0593,pending,
cloze_a2_0401,a2,"다니엘 씨, 저 오늘 노란 스카프를 맸어요.","Daniel, ich habe heute einen gelben Schal gebunden.","Daniel, I tied on a yellow scarf today.",rights: original_clean_room; answer=스카프를; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0594,pending,
cloze_a2_0402,a2,여행 가방에 속옷부터 넣었어요.,Ich habe zuerst die Unterwäsche in den Koffer gelegt.,I put underwear into the suitcase first.,rights: original_clean_room; answer=속옷부터; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0595,pending,
cloze_a2_0403,a2,바다에 가서 수영복으로 갈아입었어요.,Ich bin ans Meer gefahren und habe mich in den Badeanzug umgezogen.,I went to the sea and changed into my swimsuit.,rights: original_clean_room; answer=수영복으로; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0596,pending,
cloze_a2_0404,a2,회사에 다닐 때는 매일 와이셔츠를 입어요.,"Wenn ich zur Arbeit gehe, trage ich jeden Tag ein Hemd.","When I go to work, I wear a dress shirt every day.",rights: original_clean_room; answer=와이셔츠를; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0597,pending,
cloze_a2_0405,a2,"크리스티안, 나 청바지를 입고 공원 갈래!","Christian, ich will mit Jeans in den Park gehen!","Christian, I want to go to the park in jeans!",rights: original_clean_room; answer=청바지를; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0598,pending,
cloze_a2_0406,a2,이 옷을 옷장 안에 넣었어요.,Ich habe diese Kleidung in den Kleiderschrank gelegt.,I put these clothes inside the wardrobe.,rights: original_clean_room; answer=옷장; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0599,pending,
cloze_a2_0407,a2,생일 선물로 목걸이를 받았어요.,Ich habe zum Geburtstag eine Halskette bekommen.,I got a necklace as a birthday present.,rights: original_clean_room; answer=목걸이를; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0600,pending,
cloze_a2_0408,a2,"마야 씨, 저는 화장품을 별로 안 써요.","Maya, ich benutze nicht besonders viel Kosmetik.","Maya, I don't use much cosmetics.",rights: original_clean_room; answer=화장품을; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0601,pending,
cloze_a2_0409,a2,제 여행 가방은 까매요.,Mein Koffer ist schwarz.,My suitcase is black.,rights: original_clean_room; answer=까매요; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0602,pending,
cloze_a2_0410,a2,눈이 와서 온 세상이 하얘요.,"Es hat geschneit, deshalb ist die ganze Welt weiß.","It snowed, so the whole world is white.",rights: original_clean_room; answer=하얘요; topic=Kleidung; unit=(assigned at promotion); derived from vocab_a2_0603,pending,
cloze_a2_0411,a2,이 거리에는 관광객이 사진을 많이 찍어요.,Auf dieser Straße machen Touristen viele Fotos.,Tourists take a lot of photos on this street.,rights: original_clean_room; answer=관광객이; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0604,pending,
cloze_a2_0412,a2,여기가 이 도시에서 제일 인기 있는 관광지예요.,Das hier ist der beliebteste Touristenort dieser Stadt.,This is the most popular tourist spot in this city.,rights: original_clean_room; answer=관광지예요; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0605,pending,
cloze_a2_0413,a2,이번 여행지는 제주도로 정했어요.,Als Reiseziel haben wir diesmal Jeju-do gewählt.,We decided on Jeju Island as our travel destination this time.,rights: original_clean_room; answer=여행지는; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0606,pending,
cloze_a2_0414,a2,다음 휴가에는 해외로 나가고 싶어요.,Im nächsten Urlaub möchte ich ins Ausland fahren.,I want to go abroad during my next vacation.,rights: original_clean_room; answer=해외로; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0607,pending,
cloze_a2_0415,a2,이번 여름에 처음으로 해외여행을 가요.,Diesen Sommer mache ich zum ersten Mal eine Auslandsreise.,"This summer, I'm going on an overseas trip for the first time.",rights: original_clean_room; answer=해외여행을; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0608,pending,
cloze_a2_0416,a2,이번에는 국내 여행지를 먼저 알아봤어요.,Diesmal habe ich zuerst nach Reisezielen im Inland gesucht.,"This time, I looked into domestic travel spots first.",rights: original_clean_room; answer=국내; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0609,pending,
cloze_a2_0417,a2,"수진 씨, 저는 국제 학교에서 일해요.","Sujin, ich arbeite an einer internationalen Schule.","Sujin, I work at an international school.",rights: original_clean_room; answer=국제; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0610,pending,
cloze_a2_0418,a2,기차역까지 택시로 십 분쯤 걸려요.,Bis zum Bahnhof braucht man mit dem Taxi etwa zehn Minuten.,It takes about ten minutes by taxi to the train station.,rights: original_clean_room; answer=기차역까지; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0611,pending,
cloze_a2_0419,a2,기차표가 없어서 기차를 못 탔어요.,"Ich hatte kein Zugticket, deshalb konnte ich den Zug nicht nehmen.","I didn't have a train ticket, so I couldn't take the train.",rights: original_clean_room; answer=기차표가; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0612,pending,
cloze_a2_0420,a2,항공권을 미리 예매했어요.,Ich habe das Flugticket im Voraus gebucht.,I booked the plane ticket in advance.,rights: original_clean_room; answer=항공권을; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0613,pending,
cloze_a2_0421,a2,그 공연은 예매가 벌써 끝났어요.,Die Vorbestellung für diese Aufführung ist schon vorbei.,Advance booking for that show is already over.,rights: original_clean_room; answer=예매가; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0614,pending,
cloze_a2_0422,a2,내일 아침 일찍 여행을 떠나요.,Ich reise morgen früh ab.,I'm leaving on a trip early tomorrow morning.,rights: original_clean_room; answer=떠나요; topic=Reisen; unit=(assigned at promotion); derived from vocab_a2_0615,pending,
cloze_a2_0423,a2,저는 고등학교 때 농구를 했어요.,In der Oberschule habe ich Basketball gespielt.,I played basketball when I was in high school.,rights: original_clean_room; answer=고등학교; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0616,pending,
cloze_a2_0424,a2,"레나 씨, 제 동생은 중학교에 다녀요.","Lena, mein jüngeres Geschwister geht auf die Mittelschule.","Lena, my younger sibling goes to middle school.",rights: original_clean_room; answer=중학교에; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0617,pending,
cloze_a2_0425,a2,이 아이는 올해 초등학교에 입학했어요.,Dieses Kind ist dieses Jahr in die Grundschule eingeschult worden.,This child started elementary school this year.,rights: original_clean_room; answer=초등학교에; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0618,pending,
cloze_a2_0426,a2,"크리스티안, 나 초등학생이야. 3학년!","Christian, ich bin Grundschüler. Dritte Klasse!","Christian, I'm an elementary school student. Third grade!",rights: original_clean_room; answer=초등학생이; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0619,pending,
cloze_a2_0427,a2,"수진 씨, 저는 대학원에서 도시 문화를 공부해요.","Sujin, ich studiere an der Graduiertenschule Stadtkultur.","Sujin, I study urban culture in graduate school.",rights: original_clean_room; answer=대학원에서; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0620,pending,
cloze_a2_0428,a2,다음 학기에는 한국어 수업을 더 들을 거예요.,Im nächsten Semester werde ich mehr Koreanischkurse belegen.,"Next semester, I'm going to take more Korean classes.",rights: original_clean_room; answer=학기에는; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0621,pending,
cloze_a2_0429,a2,저녁마다 태권도 학원에 가요.,Jeden Abend gehe ich zur Taekwondo-Schule.,"Every evening, I go to a taekwondo academy.",rights: original_clean_room; answer=학원에; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0622,pending,
cloze_a2_0430,a2,이 동네에는 유치원이 새로 생겼어요.,In dieser Nachbarschaft ist neu ein Kindergarten entstanden.,A kindergarten newly opened in this neighborhood.,rights: original_clean_room; answer=유치원이; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0623,pending,
cloze_a2_0431,a2,이 도서관은 청소년에게 인기가 많아요.,Diese Bibliothek ist bei Jugendlichen sehr beliebt.,This library is very popular among teenagers.,rights: original_clean_room; answer=청소년에게; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0624,pending,
cloze_a2_0432,a2,"현아 씨, 제 친구는 초등학교 교사예요.","Hyuna, meine Freundin ist Grundschullehrerin.","Hyuna, my friend is an elementary school teacher.",rights: original_clean_room; answer=교사예요; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0625,pending,
cloze_a2_0433,a2,감기에 걸려서 학교에 결석을 했어요.,Ich habe mich erkältet und war deshalb in der Schule abwesend.,"I caught a cold, so I was absent from school.",rights: original_clean_room; answer=결석을; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0626,pending,
cloze_a2_0434,a2,다리를 다쳐서 태권도 학원을 그만뒀어요.,"Ich habe mir das Bein verletzt, deshalb habe ich die Taekwondo-Schule aufgegeben.","I hurt my leg, so I quit the taekwondo academy.",rights: original_clean_room; answer=그만뒀어요; topic=Bildung; unit=(assigned at promotion); derived from vocab_a2_0627,pending,
cloze_a2_0435,a2,나는 크리스티안을 믿어.,Ich vertraue Christian.,I trust Christian.,rights: original_clean_room; answer=믿어; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0628,pending,
cloze_a2_0436,a2,슬펐지만 눈물을 참았어요.,"Ich war traurig, aber ich habe meine Tränen zurückgehalten.","I was sad, but I held back my tears.",rights: original_clean_room; answer=참았어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0629,pending,
cloze_a2_0437,a2,우산을 가져가는 걸 잊었어요.,"Ich habe vergessen, den Regenschirm mitzunehmen.",I forgot to bring my umbrella.,rights: original_clean_room; answer=잊었어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0630,pending,
cloze_a2_0438,a2,저는 수진 씨를 보고 손을 흔들었어요.,Ich habe Sujin gesehen und mit der Hand gewinkt.,I saw Sujin and waved my hand.,rights: original_clean_room; answer=흔들었어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0631,pending,
