id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a2_0719,A2,떡,Reiskuchen,rice cake,rights: original_clean_room; pack=a2_dishes_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0720,A2,김,getrockneter Seetang,dried seaweed,rights: original_clean_room; pack=a2_dishes_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0721,A2,찌개,koreanischer Eintopf,Korean stew,rights: original_clean_room; pack=a2_dishes_1; order=4; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0722,A2,튀김,Frittiertes,fried food,rights: original_clean_room; pack=a2_dishes_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0723,A2,자장면,Jajangmyeon,jajangmyeon,rights: original_clean_room; pack=a2_dishes_1; order=6; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0724,A2,짬뽕,"Jjamppong, scharfe Nudelsuppe","jjamppong, spicy noodle soup",rights: original_clean_room; pack=a2_dishes_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0725,A2,탕수육,"Tangsuyuk, süßsaures Schweinefleisch","tangsuyuk, sweet-and-sour pork",rights: original_clean_room; pack=a2_dishes_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0726,A2,칼국수,"Kalguksu, Nudelsuppe","kalguksu, knife-cut noodle soup",rights: original_clean_room; pack=a2_dishes_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0727,A2,돈가스,"Donkatsu, paniertes Schweineschnitzel","donkatsu, breaded pork cutlet",rights: original_clean_room; pack=a2_dishes_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0728,A2,카레,Curry,curry,rights: original_clean_room; pack=a2_dishes_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0729,A2,미역국,"Miyeokguk, Algensuppe","miyeokguk, seaweed soup",rights: original_clean_room; pack=a2_dishes_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0730,A2,집안일,Hausarbeit,housework,rights: original_clean_room; pack=a2_home_routines_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0731,A2,세탁,"Wäsche, Waschen","laundry, washing",rights: original_clean_room; pack=a2_home_routines_1; order=2; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0732,A2,빨다,waschen,to wash,rights: original_clean_room; pack=a2_home_routines_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0733,A2,쓰레기통,Mülleimer,trash can,rights: original_clean_room; pack=a2_home_routines_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0734,A2,휴지,"Toilettenpapier, Papiertuch","toilet paper, tissue",rights: original_clean_room; pack=a2_home_routines_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0735,A2,목욕,"Bad, Baden","bath, bathing",rights: original_clean_room; pack=a2_home_routines_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0736,A2,양치질,Zähneputzen,brushing one's teeth,rights: original_clean_room; pack=a2_home_routines_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0737,A2,치약,Zahnpasta,toothpaste,rights: original_clean_room; pack=a2_home_routines_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0738,A2,선풍기,Ventilator,electric fan,rights: original_clean_room; pack=a2_home_routines_1; order=9; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0739,A2,식탁,Esstisch,dining table,rights: original_clean_room; pack=a2_home_routines_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0740,A2,바닥,Boden,floor,rights: original_clean_room; pack=a2_home_routines_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0741,A2,냄비,Topf,pot,rights: original_clean_room; pack=a2_home_routines_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0742,A2,이틀,zwei Tage,two days,rights: original_clean_room; pack=a2_time_span_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0743,A2,사흘,drei Tage,three days,rights: original_clean_room; pack=a2_time_span_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0744,A2,나흘,vier Tage,four days,rights: original_clean_room; pack=a2_time_span_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0745,A2,열흘,zehn Tage,ten days,rights: original_clean_room; pack=a2_time_span_1; order=4; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0746,A2,개월,"Monat, Monate","month, months",rights: original_clean_room; pack=a2_time_span_1; order=5; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0747,A2,그동안,"inzwischen, in dieser Zeit","in the meantime, during that time",rights: original_clean_room; pack=a2_time_span_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0748,A2,오랜만,nach langer Zeit,after a long time,rights: original_clean_room; pack=a2_time_span_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0749,A2,마지막,"letzte, letzter, letztes","last, final",rights: original_clean_room; pack=a2_time_span_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0750,A2,최근,"in letzter Zeit, kürzlich",recently,rights: original_clean_room; pack=a2_time_span_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0751,A2,다음날,am nächsten Tag,the next day,rights: original_clean_room; pack=a2_time_span_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0752,A2,어젯밤,letzte Nacht,last night,rights: original_clean_room; pack=a2_time_span_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0753,A2,점심시간,Mittagspause,lunch break,rights: original_clean_room; pack=a2_time_span_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0754,A2,구름,Wolke,cloud,rights: original_clean_room; pack=a2_weather_sky_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0755,A2,하늘,Himmel,sky,rights: original_clean_room; pack=a2_weather_sky_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0756,A2,햇빛,Sonnenlicht,sunlight,rights: original_clean_room; pack=a2_weather_sky_1; order=3; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0757,A2,기온,Temperatur,air temperature,rights: original_clean_room; pack=a2_weather_sky_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0758,A2,영하,unter null,below zero,rights: original_clean_room; pack=a2_weather_sky_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
vocab_a2_0759,A2,얼음,Eis,ice,rights: original_clean_room; pack=a2_weather_sky_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 34 A2 reinforcement,pending,
