id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0336,A1,미리 연락,vorher Bescheid sagen,advance notice,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0337,A1,시간 맞추다,die Zeit abstimmen,to match the time,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0338,A1,다음에 봐요,bis zum nächsten Mal,see you next time,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0339,A1,바로 갈게요,ich komme gleich,I'll come right away,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0340,A1,주말 계획,Wochenendplan,weekend plan,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0341,A1,늦을 것 같다,wahrscheinlich zu spät,looks like I'll be late,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0342,A1,같이 걷다,zusammen gehen,to walk together,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0343,A1,먼저 가다,schon vorausgehen,to go ahead first,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0344,A1,초인종,Klingel,doorbell,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0345,A1,복도,Flur,hallway,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0346,A1,이웃집,Nachbarwohnung,neighbor's place,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0347,A1,층수,Stockwerk,floor number,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0348,A1,분리배출,getrennte Entsorgung,sorted disposal,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0349,A1,문패,Namensschild,door nameplate,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0350,A1,공동현관,Hauseingang,shared entrance,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0351,A1,층간소음,Lärm zwischen den Etagen,noise between floors,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0352,A1,택배함,Paketkasten,parcel locker,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0353,A1,공지문,Aushang,notice,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0354,A1,무단주차,unerlaubtes Parken,unauthorized parking,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0355,A1,이웃 인사,Nachbarsgruß,neighbor greeting,rights: original; pack: a1_neighbors_hall_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0356,A1,필통,Federmäppchen,pencil case,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0357,A1,지우개,Radiergummi,eraser,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0358,A1,가위,Schere,scissors,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0359,A1,자,Lineal,ruler,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0360,A1,색연필,Buntstift,colored pencil,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0361,A1,연습장,Schreibheft,practice notebook,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0362,A1,준비물,Mitbringsel,things to bring,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0363,A1,제출하다,abgeben,to submit,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0364,A1,화이트보드,Whiteboard,whiteboard,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0365,A1,자리표,Platzkarte,seat card,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0366,A1,필기하다,mitschreiben,to take notes,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0367,A1,준비됐나요,sind Sie bereit,are you ready,rights: original; pack: a1_school_supplies_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0368,A1,환승,Umsteigen,transfer,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0369,A1,출구,Ausgang,exit,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0370,A1,승강장,Bahnsteig,platform,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0371,A1,막차,letzter Zug,last train,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0372,A1,하차,Aussteigen,getting off,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0373,A1,승차,Einsteigen,boarding,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0374,A1,정기권,Zeitkarte,pass,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0375,A1,개찰구,Sperre,ticket gate,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0376,A1,노선도,Linienplan,line map,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0377,A1,도착 안내,Ansage,arrival announcement,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0378,A1,카드 잔액,Kartenguthaben,card balance,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0379,A1,내리는 문,Ausstiegstür,exit door,rights: original; pack: a1_subway_card_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0380,A1,겉옷,Überzieher,outer layer,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0381,A1,미세먼지,Feinstaub,fine dust,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0382,A1,일기예보,Wetterbericht,weather forecast,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0383,A1,우비,Regenjacke,rain jacket,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0384,A1,얇은 옷,leichte Kleidung,light clothes,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0385,A1,두꺼운 옷,dicke Kleidung,thick clothes,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0386,A1,일교차,Tag-Nacht-Unterschied,day-night gap,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0387,A1,습하다,schwül,humid,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0388,A1,쌀쌀하다,kühl,chilly,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0389,A1,맑음,heiter,clear skies,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0390,A1,소나기,Schauer,shower,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0391,A1,겹쳐 입다,in Lagen tragen,to layer clothes,rights: original; pack: a1_weather_layer_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0392,A1,죄송하다,leidtun,to be sorry,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0393,A1,감사하다,dankbar sein,to be grateful,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0394,A1,실례하다,stören,to excuse oneself,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0395,A1,양해,Verständnis,understanding,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0396,A1,부탁하다,bitten,to ask a favor,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0397,A1,문제없어요,kein Problem,no problem,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0398,A1,제가 더요,ich habe zu danken,I should thank you,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0399,A1,잠깐만요,einen Moment,just a moment,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0400,A1,다시 말하다,noch einmal sagen,to say again,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0401,A1,천천히 말하다,langsam sprechen,to speak slowly,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0402,A1,정말 감사해요,vielen Dank,thank you so much,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0403,A1,정말 죄송해요,es tut mir sehr leid,I am very sorry,rights: original; pack: a1_sorry_thanks_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0365,A2,요금제,Tarif,rate plan,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0366,A2,데이터량,Datenvolumen,data allowance,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0367,A2,무제한,unbegrenzt,unlimited,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0368,A2,약정,Vertragslaufzeit,contract term,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0369,A2,위약금,Vertragsstrafe,early-termination fee,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0370,A2,로밍,Roaming,roaming,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0371,A2,부가서비스,Zusatzdienst,add-on service,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0372,A2,청구서,Rechnung,bill,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0373,A2,자동이체,Lastschrift,auto debit,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0374,A2,고객센터,Kundencenter,customer center,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0375,A2,개통하다,freischalten,to activate a line,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0376,A2,데이터 충전,Datenaufladung,data top-up,rights: original; pack: a2_phone_plan_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0377,A2,이체하다,überweisen,to transfer,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0378,A2,인증서,Zertifikat,certificate,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0379,A2,보안카드,Sicherheitskarte,security card,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0380,A2,대기번호,Wartenummer,queue number,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0381,A2,한도,Limit,limit,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0382,A2,창구직원,Schalterkraft,counter staff,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0383,A2,통장정리,Kontoauszug,passbook update,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0384,A2,인감,Namensstempel,name seal,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0385,A2,비밀번호 재설정,Passwort zurücksetzen,password reset,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0386,A2,창구 마감,Schalterschluss,counter closing,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0387,A2,입금 확인,Eingangsbestätigung,deposit confirmation,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0388,A2,출금 한도,Abhebungslimit,withdrawal limit,rights: original; pack: a2_bank_counter_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0389,A2,헬스장,Fitnessstudio,gym,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0390,A2,운동복,Sportkleidung,workout clothes,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0391,A2,러닝머신,Laufband,treadmill,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0392,A2,스트레칭,Dehnung,stretching,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0393,A2,횟수,Wiederholungen,reps,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0394,A2,세트,Satz,set,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0395,A2,트레이너,Trainer,trainer,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0396,A2,락커,Spind,locker,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0397,A2,회원권,Mitgliedschaft,membership,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0398,A2,준비운동,Aufwärmen,warm-up,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0399,A2,근력,Kraft,strength,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0400,A2,유산소,Ausdauer,cardio,rights: original; pack: a2_gym_class_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0401,A2,미용실,Friseursalon,hair salon,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0402,A2,커트,Schnitt,haircut,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0403,A2,염색,Färbung,dye,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0404,A2,펌,Dauerwelle,perm,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0405,A2,앞머리,Pony,bangs,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0406,A2,드라이,Föhnen,blow-dry,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0407,A2,스타일리스트,Stylist,stylist,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0408,A2,예약금,Anzahlung,booking deposit,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0409,A2,샴푸,Shampoo,shampoo,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0410,A2,트리트먼트,Kur,treatment,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0411,A2,옆머리,Seitenhaar,side hair,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0412,A2,손질,Pflege,grooming,rights: original; pack: a2_salon_visit_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0413,A2,관리사무소,Hausverwaltung,management office,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0414,A2,입주민,Bewohner,resident,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0415,A2,주차스티커,Parkaufkleber,parking sticker,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0416,A2,음식물 봉투,Biotüte,food-waste bag,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0417,A2,야간소음,Nachtlärm,night noise,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0418,A2,현관문,Wohnungstür,front door,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0419,A2,방문증,Besucherausweis,visitor pass,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0420,A2,재활용실,Wertstoffraum,recycling room,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0421,A2,대형폐기,Sperrmüll,bulk waste,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a2_0422,A2,순찰,Rundgang,patrol,rights: original; pack: a2_apt_rules_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
