id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0652,A1,늦다,"zu spät sein, sich verspäten",to be late,rights: original_clean_room; pack=a1_weekend_promise_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0679,A1,감기,Erkältung,"cold, flu",rights: original_clean_room; pack=a1_health_food_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0680,A1,병,Krankheit,illness,rights: original_clean_room; pack=a1_health_food_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0681,A1,의사,"Arzt, Ärztin",doctor,rights: original_clean_room; pack=a1_health_food_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0682,A1,담배,Zigarette,cigarette,rights: original_clean_room; pack=a1_health_food_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0683,A1,술,Alkohol,alcohol,rights: original_clean_room; pack=a1_health_food_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0684,A1,운동,"Sport, Bewegung",exercise,rights: original_clean_room; pack=a1_health_food_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0685,A1,키,Körpergröße,height,rights: original_clean_room; pack=a1_health_food_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0686,A1,잡채,Japchae (Glasnudelgericht),japchae (glass noodle dish),rights: original_clean_room; pack=a1_health_food_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0687,A1,음식,"Essen, Speise",food,rights: original_clean_room; pack=a1_health_food_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0688,A1,음료수,Getränk,beverage,rights: original_clean_room; pack=a1_health_food_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0689,A1,메뉴,"Speisekarte, Menü",menu,rights: original_clean_room; pack=a1_health_food_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0690,A1,오렌지,Orange,orange,rights: original_clean_room; pack=a1_health_food_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0691,A1,방학,(Schul-)Ferien,school vacation,rights: original_clean_room; pack=a1_school_work_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0692,A1,졸업,"Abschluss, Graduation",graduation,rights: original_clean_room; pack=a1_school_work_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0693,A1,외국어,Fremdsprache,foreign language,rights: original_clean_room; pack=a1_school_work_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0694,A1,아르바이트,"Nebenjob, Teilzeitarbeit",part-time job,rights: original_clean_room; pack=a1_school_work_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0695,A1,직원,Angestellte(r),employee,rights: original_clean_room; pack=a1_school_work_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0696,A1,종업원,"Bedienung, Angestellte(r)","staff, waiter/waitress",rights: original_clean_room; pack=a1_school_work_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0697,A1,안내,"Auskunft, Information","information, guidance",rights: original_clean_room; pack=a1_school_work_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0698,A1,교통,Verkehr,traffic,rights: original_clean_room; pack=a1_school_work_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0699,A1,시작,"Anfang, Beginn","beginning, start",rights: original_clean_room; pack=a1_school_work_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0700,A1,장소,"Ort, Platz","place, venue",rights: original_clean_room; pack=a1_school_work_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0701,A1,글,"Text, Schrift","writing, text",rights: original_clean_room; pack=a1_school_work_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0702,A1,이야기,"Geschichte, Gespräch","story, talk",rights: original_clean_room; pack=a1_school_work_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0703,A1,곳,"Ort, Stelle","place, spot",rights: original_clean_room; pack=a1_time_family_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0704,A1,달,Monat,month,rights: original_clean_room; pack=a1_time_family_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0705,A1,동생,jüngeres Geschwister,younger sibling,rights: original_clean_room; pack=a1_time_family_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0706,A1,밑,"Unterseite, unten","underside, below",rights: original_clean_room; pack=a1_time_family_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0707,A1,생일,Geburtstag,birthday,rights: original_clean_room; pack=a1_time_family_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0708,A1,선물,Geschenk,gift,rights: original_clean_room; pack=a1_time_family_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0709,A1,쇼핑,Einkaufen,shopping,rights: original_clean_room; pack=a1_time_family_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0710,A1,올해,dieses Jahr,this year,rights: original_clean_room; pack=a1_time_family_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0711,A1,요즘,"heutzutage, dieser Tage",these days,rights: original_clean_room; pack=a1_time_family_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0712,A1,월,Monat (Zähleinheit),month (counter),rights: original_clean_room; pack=a1_time_family_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0713,A1,잠시,"kurz, eine Weile","a moment, a while",rights: original_clean_room; pack=a1_time_family_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
vocab_a1_0714,A1,주,Woche,week,rights: original_clean_room; pack=a1_time_family_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 28 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
