id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0256,A1,"안녕하세요, 처음 뵙겠습니다.","Hallo, freut mich.","Hi, nice to meet you.",rights: original; derived from live unused vocab 안녕하세요,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0236,A2,한국 여름은 진짜 더워요.,Der Sommer in Korea ist echt heiß.,Summer in Korea is really hot.,rights: original; derived from live unused vocab 여름,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0237,A2,한국 겨울은 좀 추워요.,Der Winter in Korea ist ziemlich kalt.,Winter in Korea is pretty cold.,rights: original; derived from live unused vocab 겨울,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0238,A2,감기가 심해서 병원에 다녀왔어요.,"Meine Erkältung war schlimm, deshalb war ich im Krankenhaus.","My cold was bad, so I went to the hospital.",rights: original; derived from live unused vocab 병원,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0239,A2,감기약 좀 사러 왔어요.,"Ich bin hier, um Erkältungsmedizin zu kaufen.",I came to buy some cold medicine.,rights: original; derived from live unused vocab 약,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0240,A2,이 근처에 맛있는 식당 있어요?,Gibt es hier in der Nähe ein gutes Restaurant?,Is there a good restaurant around here?,rights: original; derived from live unused vocab 식당,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0241,A2,주말에 시장에 다녀왔어요.,Am Wochenende war ich auf dem Markt.,I went to the market over the weekend.,rights: original; derived from live unused vocab 시장,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0242,A2,은행이 몇 시까지 열어요?,Bis wie viel Uhr hat die Bank geöffnet?,How late is the bank open?,rights: original; derived from live unused vocab 은행,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0243,A2,다음 달에 제주도로 여행 가요.,Nächsten Monat mache ich eine Reise nach Jeju.,Next month I'm going on a trip to Jeju.,rights: original; derived from live unused vocab 여행,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0244,A2,비행기가 곧 도착해요.,Das Flugzeug kommt gleich an.,The plane is arriving soon.,rights: original; derived from live unused vocab 비행기,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0245,A2,이번 호텔 진짜 좋았어요.,Das Hotel war diesmal richtig gut.,The hotel this time was really nice.,rights: original; derived from live unused vocab 호텔,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0246,A2,요즘 이 음악 자주 들어요.,Diese Musik höre ich zurzeit oft.,I've been listening to this music a lot lately.,rights: original; derived from live unused vocab 음악,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0247,A2,주말에 영화 한 편 봤어요.,Am Wochenende habe ich einen Film gesehen.,I watched a movie over the weekend.,rights: original; derived from live unused vocab 영화,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0248,A2,숙제 다 했어요?,Haben Sie Ihre Hausaufgaben schon gemacht?,Did you finish your homework?,rights: original; derived from live unused vocab 숙제,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0249,A2,이번엔 성적이 좀 올랐어요.,Diesmal sind meine Noten etwas besser geworden.,My grades went up a bit this time.,rights: original; derived from live unused vocab 성적,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0250,A2,다음 주부터 휴가예요.,Ab nächster Woche habe ich Urlaub.,I'm on vacation starting next week.,rights: original; derived from live unused vocab 휴가,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0251,A2,지금 회의 중이에요.,Ich bin gerade in einem Meeting.,I'm in a meeting right now.,rights: original; derived from live unused vocab 회의,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0252,A2,여기서 택시 잡기 힘들어요.,"Hier ist es schwer, ein Taxi zu bekommen.",It's hard to catch a taxi here.,rights: original; derived from live unused vocab 택시,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0253,A2,기차 시간에 늦었어요.,Ich war zu spät für den Zug.,I was late for the train.,rights: original; derived from live unused vocab 기차,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0254,A2,요즘 자전거로 출근해요.,Zurzeit fahre ich mit dem Fahrrad zur Arbeit.,These days I ride my bike to work.,rights: original; derived from live unused vocab 자전거,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0255,A2,아까 부재중 전화 왔어요.,Vorhin gab es einen verpassten Anruf.,There was a missed call earlier.,rights: original; derived from live unused vocab 전화,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0256,A2,답장 문자 못 봤어요?,Haben Sie meine Antwort-SMS nicht gesehen?,Didn't you see my reply text?,rights: original; derived from live unused vocab 문자,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0257,A2,여기 인터넷 좀 느리네요.,Das Internet hier ist etwas langsam.,The internet here is a bit slow.,rights: original; derived from live unused vocab 인터넷,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0258,A2,컴퓨터가 갑자기 꺼졌어요.,Der Computer ist plötzlich ausgegangen.,The computer suddenly shut off.,rights: original; derived from live unused vocab 컴퓨터,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0259,A2,"아, 지갑을 집에 두고 왔어요.","Ach, ich habe meine Geldbörse zu Hause gelassen.","Oh no, I left my wallet at home.",rights: original; derived from live unused vocab 지갑,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0260,A2,우산 안 가져왔는데 어떡해요?,"Ich habe keinen Regenschirm dabei, was soll ich machen?","I didn't bring an umbrella, what should I do?",rights: original; derived from live unused vocab 우산,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0261,A2,이거 다 해서 얼마예요?,Wie viel kostet das alles zusammen?,How much is all of this together?,rights: original; derived from live unused vocab 얼마,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0262,A2,학생 할인 되나요?,Gibt es Studentenrabatt?,Is there a student discount?,rights: original; derived from live unused vocab 할인,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0263,A2,영수증 좀 주시겠어요?,Könnten Sie mir bitte die Quittung geben?,"Could I get the receipt, please?",rights: original; derived from live unused vocab 영수증,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0264,A2,요즘 한국어를 공부하고 있어요.,Zurzeit lerne ich Koreanisch.,I'm studying Korean these days.,rights: original; derived from live unused vocab 공부하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0265,A2,요즘 매일 운동하려고 해요.,"Zurzeit versuche ich, jeden Tag Sport zu machen.",Lately I've been trying to exercise every day.,rights: original; derived from live unused vocab 운동하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0266,A2,여름에 유럽을 여행하고 싶어요.,Im Sommer möchte ich durch Europa reisen.,I want to travel around Europe in the summer.,rights: original; derived from live unused vocab 여행하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0267,A2,저는 주말에 요리하는 걸 좋아해요.,Ich koche am Wochenende gern.,I like cooking on weekends.,rights: original; derived from live unused vocab 요리하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0268,A2,이따 다시 전화할게요.,Ich rufe Sie später noch mal an.,I'll call you back later.,rights: original; derived from live unused vocab 전화하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0269,A2,지금 막 도착했어요.,Ich bin gerade angekommen.,I just arrived.,rights: original; derived from live unused vocab 도착하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0270,A2,오늘은 그냥 집에서 쉴래요.,Heute möchte ich mich einfach zu Hause ausruhen.,Today I just want to rest at home.,rights: original; derived from live unused vocab 쉬다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0271,A2,이름이 기억이 안 나요.,Ich kann mich nicht an den Namen erinnern.,I can't remember the name.,rights: original; derived from live unused vocab 기억하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0272,A2,무슨 말인지 이해했어요.,"Ich habe verstanden, was Sie meinen.",I understood what you meant.,rights: original; derived from live unused vocab 이해하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0273,A2,요즘 기타를 배우고 있어요.,Zurzeit lerne ich Gitarre.,I'm learning guitar these days.,rights: original; derived from live unused vocab 배우다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0274,A2,저희 언니가 영어를 가르쳐요.,Meine ältere Schwester unterrichtet Englisch.,My older sister teaches English.,rights: original; derived from live unused vocab 가르치다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0275,A2,지금 열쇠를 찾고 있어요.,Ich suche gerade den Schlüssel.,I'm looking for the key right now.,rights: original; derived from live unused vocab 찾다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0276,A2,친구 생일에 케이크를 만들었어요.,Ich habe zum Geburtstag meines Freundes einen Kuchen gemacht.,I made a cake for my friend's birthday.,rights: original; derived from live unused vocab 만들다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0277,A2,저녁 7시로 예약했어요.,Ich habe für 19 Uhr reserviert.,I made a reservation for 7 p.m.,rights: original; derived from live unused vocab 예약하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0278,A2,방금 사진 보냈어요.,Ich habe gerade das Foto geschickt.,I just sent the photo.,rights: original; derived from live unused vocab 보내다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0279,A2,지갑을 잃어버려서 큰일 났어요.,"Ich habe meine Geldbörse verloren, jetzt habe ich ein großes Problem.","I lost my wallet, and now I'm in big trouble.",rights: original; derived from live unused vocab 잃어버리다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0280,A2,이거 다른 걸로 바꿀 수 있어요?,Kann ich das gegen etwas anderes umtauschen?,Can I exchange this for something else?,rights: original; derived from live unused vocab 바꾸다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0281,A2,회사까지 30분 걸어요.,Bis zur Firma laufe ich 30 Minuten.,I walk 30 minutes to work.,rights: original; derived from live unused vocab 걷다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0282,A2,너무 걱정하지 마세요.,Machen Sie sich nicht zu viele Sorgen.,Don't worry too much.,rights: original; derived from live unused vocab 걱정하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0283,A2,여기 계산 좀 부탁드려요.,"Die Rechnung, bitte!","Could we get the check, please?",rights: original; derived from live unused vocab 계산하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0284,A2,밖에 날씨가 많이 추워요.,Draußen ist es sehr kalt.,It's very cold outside.,rights: original; derived from live unused vocab 춥다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0285,A2,오늘따라 좀 피곤하네요.,Heute bin ich irgendwie etwas müde.,For some reason I'm a bit tired today.,rights: original; derived from live unused vocab 피곤하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0286,A2,요즘 진짜 행복해요.,Zurzeit bin ich richtig glücklich.,I'm really happy these days.,rights: original; derived from live unused vocab 행복하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0287,A2,그 얘기 들으니까 슬퍼요.,"Wenn ich das höre, werde ich traurig.",Hearing that makes me sad.,rights: original; derived from live unused vocab 슬프다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0288,A2,이 옷 진짜 예뻐요.,Dieses Outfit ist echt hübsch.,This outfit is really pretty.,rights: original; derived from live unused vocab 예쁘다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0289,A2,그 드라마 진짜 재미있어요.,Diese Serie ist wirklich unterhaltsam.,That drama is really fun.,rights: original; derived from live unused vocab 재미있다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0290,A2,그 영화 좀 무서웠어요.,Der Film war ziemlich gruselig.,That movie was pretty scary.,rights: original; derived from live unused vocab 무섭다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0291,A2,부모님이 건강하셨으면 좋겠어요.,"Ich wünsche mir, dass meine Eltern gesund bleiben.",I hope my parents stay healthy.,rights: original; derived from live unused vocab 건강하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0292,A2,아침부터 배가 너무 아파요.,Seit heute Morgen tut mir der Bauch sehr weh.,My stomach has been hurting badly since this morning.,rights: original; derived from live unused vocab 아프다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0293,A2,택시가 지하철보다 빨라요.,Das Taxi ist schneller als die U-Bahn.,A taxi is faster than the subway.,rights: original; derived from live unused vocab 빠르다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0294,A2,오늘따라 인터넷이 좀 느리네요.,Heute ist das Internet irgendwie langsam.,The internet is somehow slow today.,rights: original; derived from live unused vocab 느리다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0295,A2,가방이 왜 이렇게 무거워요?,Warum ist die Tasche so schwer?,Why is this bag so heavy?,rights: original; derived from live unused vocab 무겁다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0296,A2,새 집이 생각보다 넓어요.,"Die neue Wohnung ist geräumiger, als ich dachte.",The new place is more spacious than I expected.,rights: original; derived from live unused vocab 넓다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0297,A2,"아, 김치 진짜 맵네요.","Oh, das Kimchi ist echt scharf!","Wow, this kimchi is really spicy!",rights: original; derived from live unused vocab 맵다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0298,A2,요즘 고향이 많이 그리워요.,Zurzeit vermisse ich meine Heimat sehr.,I really miss my hometown these days.,rights: original; derived from live unused vocab 그립다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0299,A2,혼자 살면 가끔 외로울 때 있어요.,"Wenn man alleine wohnt, fühlt man sich manchmal einsam.","When you live alone, you sometimes feel lonely.",rights: original; derived from live unused vocab 외롭다,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0300,A2,이거 정말 맛있네요.,Das ist wirklich lecker!,It's really delicious!,rights: original; derived from live unused vocab 정말,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0301,A2,오늘 너무 덥지 않아요?,Ist es heute nicht zu heiß?,Isn't it too hot today?,rights: original; derived from live unused vocab 너무,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0302,A2,오늘 진짜 많이 먹었어요.,Heute habe ich echt viel gegessen.,I ate so much today.,rights: original; derived from live unused vocab 많이,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0303,A2,저 혼자 살고 있어요.,Ich wohne alleine.,I live alone.,rights: original; derived from live unused vocab 혼자,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0304,A2,우리 같이 갈까요?,Sollen wir zusammen gehen?,Shall we go together?,rights: original; derived from live unused vocab 같이,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0305,A2,저 사람 또 왔네요.,Diese Person ist ja schon wieder da.,That person is here again.,rights: original; derived from live unused vocab 또,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0272,B1,올해 목표는 한국어 자격증 따는 거예요.,"Mein Ziel für dieses Jahr ist, das Koreanisch-Zertifikat zu machen.",My goal this year is to get a Korean language certificate.,rights: original; derived from live unused vocab 목표,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0273,B1,이 문제 좀 같이 볼까요?,Sollen wir uns dieses Problem zusammen ansehen?,Shall we look at this problem together?,rights: original; derived from live unused vocab 문제,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0274,B1,이 문제는 빨리 해결해야 해요.,Dieses Problem müssen wir schnell lösen.,We need to solve this problem quickly.,rights: original; derived from live unused vocab 해결,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0275,B1,요즘 경제가 진짜 어렵네요.,Die Wirtschaftslage ist zurzeit echt schwierig.,The economy is really tough these days.,rights: original; derived from live unused vocab 경제,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0276,B1,교육에 진짜 돈이 많이 들어요.,Bildung kostet wirklich viel Geld.,Education really costs a lot of money.,rights: original; derived from live unused vocab 교육,approved,Jin explicit app-integration approval (2026-08-17).
satz_a2_0306,A2,뭐니 뭐니 해도 건강이 최고예요.,Am Ende ist die Gesundheit doch das Wichtigste.,"At the end of the day, health comes first.",rights: original; derived from live unused vocab 건강,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0277,B1,기술 발전 속도가 진짜 빠르네요.,Die Technik entwickelt sich echt schnell.,Technology is advancing really fast.,rights: original; derived from live unused vocab 기술,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0278,B1,요즘 스트레스가 너무 심해요.,Zurzeit habe ich echt viel Stress.,I've been really stressed lately.,rights: original; derived from live unused vocab 스트레스,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0279,B1,이건 정말 좋은 기회 같아요.,Das scheint eine wirklich gute Gelegenheit zu sein.,This seems like a really good opportunity.,rights: original; derived from live unused vocab 기회,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0280,B1,지금 상황이 좀 애매해요.,Die Situation ist gerade etwas unklar.,The situation is a bit unclear right now.,rights: original; derived from live unused vocab 상황,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0281,B1,결과가 생각보다 잘 나왔어요.,Das Ergebnis ist besser ausgefallen als gedacht.,The results came out better than expected.,rights: original; derived from live unused vocab 결과,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0282,B1,특별한 이유가 있는 건 아니에요.,Es gibt keinen besonderen Grund.,There's no particular reason.,rights: original; derived from live unused vocab 이유,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0283,B1,조건이 좀 까다롭네요.,Die Bedingungen sind ganz schön anspruchsvoll.,The conditions are quite demanding.,rights: original; derived from live unused vocab 조건,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0284,B1,인터넷에 정보가 너무 많아서 헷갈려요.,"Im Internet gibt es so viele Informationen, dass ich durcheinanderkomme.",There's so much information online that it's confusing.,rights: original; derived from live unused vocab 정보,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0285,B1,도착하면 연락 주세요.,"Melden Sie sich bitte, wenn Sie ankommen.",Please contact me when you arrive.,rights: original; derived from live unused vocab 연락,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0286,B1,그건 저 혼자 결정하기 어려워요.,Das kann ich schlecht alleine entscheiden.,That's hard for me to decide on my own.,rights: original; derived from live unused vocab 결정하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0287,B1,발표 준비 잘 하고 계세요?,Läuft die Vorbereitung für die Präsentation gut?,Is your presentation prep going well?,rights: original; derived from live unused vocab 준비하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0288,B1,짧은 시간에 실력이 많이 발전했네요.,Ihre Fähigkeiten haben sich in kurzer Zeit sehr verbessert.,Your skills have improved a lot in a short time.,rights: original; derived from live unused vocab 발전하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0289,B1,저도 나름대로 노력하고 있어요.,Ich gebe auf meine Weise auch mein Bestes.,"I'm doing my best in my own way, too.",rights: original; derived from live unused vocab 노력하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0290,B1,이번 행사에 꼭 참여해 주세요.,Nehmen Sie bitte unbedingt an dieser Veranstaltung teil.,Please be sure to take part in this event.,rights: original; derived from live unused vocab 참여하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0291,B1,이번 어려움도 잘 극복하시길 바라요.,"Ich hoffe, dass Sie auch diese Schwierigkeit gut überwinden.","I hope you get through this difficulty, too.",rights: original; derived from live unused vocab 극복하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0292,B1,감정을 잘 표현하는 편이 아니에요.,"Ich bin nicht so gut darin, meine Gefühle auszudrücken.",I'm not very good at expressing my feelings.,rights: original; derived from live unused vocab 표현하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0293,B1,요즘 일에 집중이 잘 안 돼요.,Zurzeit kann ich mich bei der Arbeit schlecht konzentrieren.,I have trouble focusing on work these days.,rights: original; derived from live unused vocab 집중하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0294,B1,제 실수를 인정할게요.,Ich gebe meinen Fehler zu.,I'll admit my mistake.,rights: original; derived from live unused vocab 인정하다,approved,Jin explicit app-integration approval (2026-08-17).
satz_b1_0295,B1,무엇보다 건강이 제일 중요해요.,Gesundheit ist das Allerwichtigste.,"Above all, health is the most important thing.",rights: original; derived from live unused vocab 중요하다,approved,Jin explicit app-integration approval (2026-08-17).
