id,level,ko,de,en,field_notes,상태,jin_memo
satz_b1_0072,B1,팀장님이 부재중이셔서 메일로 보고드렸어요.,"Da die Teamleitung abwesend war, habe ich per E-Mail Bericht erstattet.","Since the team leader was unavailable, I sent a report by email.",vocabId=vocab_b1_0270; vocabKo=부재중; source=canonical vocab example verbatim; distractorTiles=회의록을|보냈어요; context=leave report for absent team leader; target uses complete B1 sentence,draft,
satz_b1_0073,B1,일정 변경에 협조해 주셔서 감사합니다.,"Vielen Dank, dass Sie bei der Terminänderung mitgewirkt haben.",Thank you for cooperating with the schedule change.,vocabId=vocab_b1_0271; vocabKo=협조하다; source=canonical vocab example verbatim; distractorTiles=확인해|주시면; context=thank counterpart for schedule cooperation; target uses complete B1 sentence,draft,
satz_b2_0054,B2,접수된 민원에 대해 담당 부서가 검토를 시작했습니다.,Die zuständige Abteilung hat mit der Prüfung der eingereichten Beschwerde begonnen.,The responsible department has begun reviewing the complaint that was filed.,vocabId=vocab_b2_0217; vocabKo=민원; source=canonical vocab example verbatim; distractorTiles=서면으로|답변드리겠습니다; context=formal complaint review begins; target uses complete B2 sentence,draft,
satz_b2_0055,B2,제품의 결함이 확인되면 즉시 교환 절차를 안내해 드리겠습니다.,"Wenn ein Produktmangel bestätigt wird, informieren wir Sie unverzüglich über das Umtauschverfahren.","If a product defect is confirmed, we will promptly explain the exchange procedure.",vocabId=vocab_b2_0218; vocabKo=결함; source=canonical vocab example verbatim; distractorTiles=보상을|검토하겠습니다; context=confirmed defect and exchange procedure; target uses complete B2 sentence,draft,
satz_b2_0056,B2,불편을 드린 점에 대해 적절한 보상 방안을 검토하겠습니다.,Wir werden angemessene Möglichkeiten der Entschädigung für die entstandenen Unannehmlichkeiten prüfen.,We will review appropriate compensation options for the inconvenience caused.,vocabId=vocab_b2_0219; vocabKo=보상; source=canonical vocab example verbatim; distractorTiles=결함을|처리하겠습니다; context=review compensation response; target uses complete B2 sentence,draft,
satz_b2_0057,B2,같은 문제가 반복되지 않도록 절차상의 문제를 시정하겠습니다.,"Wir werden die Probleme im Verfahren beheben, damit sich dasselbe Problem nicht wiederholt.",We will correct the procedural issues so that the same problem does not recur.,vocabId=vocab_b2_0220; vocabKo=시정하다; source=canonical vocab example verbatim; distractorTiles=서면|답변드리겠습니다; context=correct procedure to prevent recurrence; target uses complete B2 sentence,draft,
satz_b2_0058,B2,재발을 막기 위해 원인을 분석하고 개선안을 마련했습니다.,"Um ein erneutes Auftreten zu verhindern, haben wir die Ursache analysiert und Verbesserungsmaßnahmen ausgearbeitet.","To prevent recurrence, we analyzed the cause and prepared improvement measures.",vocabId=vocab_b2_0221; vocabKo=재발; source=canonical vocab example verbatim; distractorTiles=결함을|확인했습니다; context=cause analysis and improvement plan; target uses complete B2 sentence,draft,
satz_b2_0059,B2,제출하신 이의 제기는 어제 공식적으로 접수했습니다.,Wir haben Ihren eingereichten Einspruch gestern offiziell entgegengenommen.,We officially received your submitted objection yesterday.,vocabId=vocab_b2_0222; vocabKo=접수하다; source=canonical vocab example verbatim; distractorTiles=서면|답변을; context=official receipt of appeal; target uses complete B2 sentence,draft,
satz_b2_0060,B2,담당 부서에서 관련 서류를 검토한 뒤 민원을 처리할 예정입니다.,"Die zuständige Abteilung wird die Beschwerde bearbeiten, nachdem sie die relevanten Unterlagen geprüft hat.",The responsible department will process the complaint after reviewing the relevant documents.,vocabId=vocab_b2_0223; vocabKo=처리하다; source=canonical vocab example verbatim; distractorTiles=보상을|제공할; context=department processes complaint after review; target uses complete B2 sentence,draft,
satz_b2_0061,B2,담당 부서에서 확인한 뒤 서면으로 답변드리겠습니다.,Nach Prüfung durch die zuständige Abteilung werden wir Ihnen schriftlich antworten.,"After the responsible department has reviewed the matter, we will respond to you in writing.",vocabId=vocab_b2_0224; vocabKo=담당 부서; source=canonical vocab example verbatim; distractorTiles=민원을|처리하겠습니다; context=responsible department provides written response; target uses complete B2 sentence,draft,
satz_b2_0062,B2,결과에 대한 이의 제기는 안내된 기한 안에 제출해 주시기 바랍니다.,Bitte reichen Sie einen Einspruch gegen das Ergebnis innerhalb der angegebenen Frist ein.,Please submit any objection to the result within the stated deadline.,vocabId=vocab_b2_0225; vocabKo=이의 제기; source=canonical vocab example verbatim; distractorTiles=보상을|요청해; context=appeal is submitted within deadline; target uses complete B2 sentence,draft,
satz_b2_0063,B2,검토가 끝나는 대로 서면 답변을 보내드리겠습니다.,"Sobald die Prüfung abgeschlossen ist, senden wir Ihnen eine schriftliche Antwort.","As soon as the review is complete, we will send you a written response.",vocabId=vocab_b2_0226; vocabKo=서면 답변; source=canonical vocab example verbatim; distractorTiles=결함을|시정하겠습니다; context=written answer follows review; target uses complete B2 sentence,draft,
satz_b2_0064,B2,확인된 결함에 대해 필요한 조치를 이미 취했습니다.,Wir haben bereits die notwendigen Maßnahmen hinsichtlich des bestätigten Mangels ergriffen.,We have already taken the necessary action regarding the confirmed defect.,vocabId=vocab_b2_0227; vocabKo=조치; source=canonical vocab example verbatim; distractorTiles=서면|답변을; context=completed corrective action; target uses complete B2 sentence,draft,
satz_b2_0065,B2,누락된 내용을 보완한 뒤 다시 제출해 주시기 바랍니다.,Bitte ergänzen Sie die fehlenden Angaben und reichen Sie die Unterlagen anschließend erneut ein.,Please supplement the missing information and then submit the documents again.,vocabId=vocab_b2_0228; vocabKo=보완하다; source=canonical vocab example verbatim; distractorTiles=민원을|처리해; context=complete missing information before resubmission; target uses complete B2 sentence,draft,
