id,level,ko,de,en,field_notes,상태,jin_memo
c1_w10_fandom,C1,"팬과 아티스트 사이, 어디까지가 선일까",Wo verläuft die Grenze zwischen Fans und Künstlerin?,Where's the line between fans and an artist?,W10 Wave 2; shelf c1_fandom; backdrop home; 9 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_record,C2,"화재로 사라진 등기부, 소유권을 어떻게 증명할까",Wie man Eigentum aus einer Lücke im Grundbuch beweist,Proving ownership when the land register has a gap,W10 Wave 2; shelf c2_record; backdrop office; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_mandate,C2,"위임장에 적힌 범위, 어디까지 대신할 수 있나",Wie weit reicht eine Vollmacht wirklich,How far a power of attorney actually reaches,W10 Wave 2; shelf c2_mandate; backdrop office; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_impact,C2,평균은 누구의 경험을 가리는가,Wen verdeckt der Durchschnitt?,Whose experience does the average hide?,W10 Wave 2; shelf c2_impact; backdrop office; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_history,C2,사과 한마디로 끝날 수 있을까,Kann eine Entschuldigung das wirklich beenden?,Can one apology really settle it?,W10 Wave 2; shelf c2_history; backdrop home; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_aesthetic,C2,작품의 의미는 누가 정하는가,Wer bestimmt die Bedeutung eines Werks?,Who decides what a work means?,W10 Wave 2; shelf c2_aesthetic; backdrop office; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_limitation,C2,소멸시효가 지나면 정말 끝인가,Ist mit Ablauf der Verjährung wirklich alles vorbei?,"Once the limitation period passes, is it really over?",W10 Wave 2; shelf c2_limitation; backdrop office; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_jurisdiction,C2,책임을 서로 미루기 전에 관할부터 정하기,"Erst die Zuständigkeit klären, bevor man sich die Schuld zuschiebt",Settling jurisdiction before passing the blame around,W10 Wave 2; shelf c2_jurisdiction; backdrop office; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_friends,C2,"우정으로 시작한 사업, 이제는 정리할 때",Ein aus Freundschaft gestartetes Geschäft — Zeit für eine Klärung,A business that started from friendship — time to sort it out,W10 Wave 2; shelf c2_friends; backdrop cafe; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
c2_w10_fandom,C2,"2차 창작, 어디까지 내 것이라 할 수 있을까",Fanwerke — wie weit reicht das eigene Urheberrecht?,Fan works — how far does ownership really go?,W10 Wave 2; shelf c2_fandom; backdrop home; 8 dialog turns and 3 quests.,approved,"Fable (designer direct read, 2차 검수 반영) + Jin pending"
