id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0151,A1,자로 선을 반듯하게 그어요.,Mit dem Lineal ziehe ich eine gerade Linie.,I draw a straight line with a ruler.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0152,A1,지도를 색연필로 칠했어요.,Ich habe die Karte mit Buntstiften ausgemalt.,I colored the map with colored pencils.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0153,A1,한글을 연습장에 여러 번 썼어요.,Ich habe Hangul mehrmals ins Schreibheft geschrieben.,I wrote Hangul several times in the practice notebook.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0154,A1,내일 수업 준비물을 가방에 넣어요.,Ich packe die Mitbringsel für den Unterricht morgen in die Tasche.,I put tomorrow's class supplies in the bag.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0155,A1,숙제를 제출하다 전에 이름을 써요.,"Bevor ich die Hausaufgaben abgebe, schreibe ich meinen Namen.","Before I submit the homework, I write my name.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0156,A1,선생님이 화이트보드에 단어를 썼어요.,Die Lehrkraft hat das Wort auf das Whiteboard geschrieben.,The teacher wrote the word on the whiteboard.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0157,A1,첫날에는 자리표 이름을 확인해요.,Am ersten Tag prüfe ich den Namen auf der Platzkarte.,On the first day I check the name on the seat card.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0158,A1,중요한 문장은 빨리 필기하다 보면 손이 아파요.,"Wenn ich wichtige Sätze schnell mitschreibe, tun die Hände weh.","If I take notes on important sentences quickly, my hands hurt.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0159,A1,수업 시작 전에 준비됐나요?,Sind Sie vor Unterrichtsbeginn bereit?,Are you ready before class starts?,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0160,A1,다음 역에서 환승하세요.,Steigen Sie an der nächsten Station um.,Transfer at the next station.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0161,A1,사 번 출구로 나가면 은행이 있어요.,"Wenn Sie Ausgang vier nehmen, ist dort eine Bank.","If you take exit four, there is a bank.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0162,A1,승강장에서 노란 선 뒤에 서요.,Auf dem Bahnsteig stehe ich hinter der gelben Linie.,On the platform I stand behind the yellow line.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0163,A1,오늘 막차는 열두 시예요.,Der letzte Zug ist heute um zwölf Uhr.,The last train today is at twelve.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0164,A1,시청역에서 하차하면 됩니다.,Sie können am Rathaus aussteigen.,You can get off at City Hall station.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0165,A1,문이 열리면 천천히 승차하세요.,"Wenn die Tür aufgeht, steigen Sie bitte langsam ein.","When the door opens, please board slowly.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0166,A1,한 달 정기권을 충전했어요.,Ich habe eine Monatskarte aufgeladen.,I loaded a one-month pass.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0167,A1,개찰구에 카드를 찍고 들어가요.,Ich halte die Karte an die Sperre und gehe hinein.,I tap the card at the ticket gate and go in.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0168,A1,노선도에서 빨간 선을 찾아요.,Auf dem Linienplan suche ich die rote Linie.,I look for the red line on the map.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0169,A1,도착 안내가 나오면 일어나요.,"Wenn die Ansage kommt, stehe ich auf.","When the arrival announcement comes, I stand up.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0170,A1,카드 잔액이 부족해서 충전이 필요해요.,"Das Kartenguthaben reicht nicht, ich muss aufladen.","The card balance is low, so I need to top up.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0171,A1,내리는 문은 오른쪽이에요.,Die Ausstiegstür ist rechts.,The exit door is on the right.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0172,A1,바람이 불어서 겉옷을 입어요.,"Es ist windig, deshalb ziehe ich einen Überzieher an.","It is windy, so I put on an outer layer.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0173,A1,오늘 미세먼지가 많아서 마스크를 써요.,"Heute gibt es viel Feinstaub, deshalb trage ich eine Maske.","There is a lot of fine dust today, so I wear a mask.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0174,A1,일기예보를 보고 옷을 골라요.,Ich schaue den Wetterbericht und wähle die Kleidung.,I check the forecast and choose clothes.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0175,A1,소나기가 와서 우비를 챙겼어요.,"Ein Schauer kommt, deshalb habe ich die Regenjacke eingepackt.","A shower is coming, so I packed a rain jacket.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0176,A1,낮에는 얇은 옷이 편해요.,Tagsüber ist leichte Kleidung angenehm.,Light clothes are comfortable during the day.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0177,A1,밤에는 두꺼운 옷이 필요해요.,Nachts brauche ich dicke Kleidung.,At night I need thick clothes.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0178,A1,봄에는 일교차가 커서 겉옷이 필요해요.,"Im Frühling ist der Tag-Nacht-Unterschied groß, deshalb brauche ich einen Überzieher.","In spring the day-night gap is large, so I need an outer layer.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0179,A1,오늘 공기가 습하다 느껴져서 창문을 열어요.,"Die Luft fühlt sich heute schwül an, deshalb öffne ich das Fenster.","The air feels humid today, so I open the window.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0180,A1,아침이 쌀쌀하다 해서 목을 가렸어요.,"Weil der Morgen kühl ist, habe ich den Hals bedeckt.","Because the morning is chilly, I covered my neck.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0181,A1,오후 예보가 맑음이에요.,Die Nachmittagsvorhersage ist heiter.,The afternoon forecast is clear skies.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0182,A1,소나기가 금방 지나갈 거예요.,Der Schauer wird bald vorübergehen.,The shower will pass soon.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0183,A1,일교차가 클 때는 옷을 겹쳐 입다 해요.,Bei großem Temperaturunterschied trage ich Kleidung in Lagen.,"When the temperature gap is large, I layer clothes.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0184,A1,늦게 와서 죄송하다 말하고 앉았어요.,"Ich sagte, es tue mir leid, dass ich zu spät komme, und setzte mich.",I said I was sorry for being late and sat down.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0185,A1,도와주셔서 감사하다 인사를 했어요.,"Ich habe mich bedankt, weil Sie geholfen haben.",I said I was grateful that you helped.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0186,A1,잠깐 실례하다 하고 지나갔어요.,Ich sagte Entschuldigung und ging vorbei.,I said excuse me and passed by.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0187,A1,소음에 양해를 구했어요.,Ich habe um Verständnis für den Lärm gebeten.,I asked for understanding about the noise.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0188,A1,창문을 닫아 달라고 부탁하다 전에 먼저 인사해요.,"Bevor ich bitte, das Fenster zu schließen, grüße ich zuerst.","Before I ask them to close the window, I greet them first.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0189,A1,실수해도 문제없어요.,"Wenn Sie einen Fehler machen, ist das kein Problem.","If you make a mistake, no problem.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0190,A1,도와줘서 고맙다는 말에 제가 더요.,"Auf das Danke sage ich, ich habe zu danken.","When someone thanks me, I say I should thank you.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0191,A1,계산 전에 잠깐만요.,"Vor dem Bezahlen, einen Moment bitte.",Just a moment before paying.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0192,A1,못 들어서 다시 말하다 부탁했어요.,"Ich habe gebeten, es noch einmal zu sagen, weil ich es nicht gehört habe.",I asked them to say it again because I did not hear it.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0193,A1,한국어를 천천히 말하다 들으면 이해가 돼요.,"Wenn Sie Koreanisch langsam sprechen, verstehe ich es.","If you speak Korean slowly, I understand.",rights: original; derived from same-batch vocab example,draft,
cloze_a1_0194,A1,자리를 양보해 주셔서 정말 감사해요.,"Vielen Dank, dass Sie den Platz überlassen haben.",Thank you so much for giving up the seat.,rights: original; derived from same-batch vocab example,draft,
cloze_a1_0195,A1,발을 밟아서 정말 죄송해요.,"Es tut mir sehr leid, dass ich auf Ihren Fuß getreten bin.",I am very sorry I stepped on your foot.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0076,A2,이 요금제가 데이터량이 더 많아요.,Dieser Tarif hat mehr Datenvolumen.,This rate plan has more data.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0077,A2,이번 달 데이터량이 벌써 끝났어요.,Das Datenvolumen für diesen Monat ist schon aufgebraucht.,This month's data allowance is already gone.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0078,A2,주말에는 데이터가 무제한이에요.,Am Wochenende ist das Datenvolumen unbegrenzt.,On weekends the data is unlimited.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0079,A2,약정이 올해 십이월에 끝나요.,Die Vertragslaufzeit endet im Dezember dieses Jahres.,The contract term ends this December.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0080,A2,지금 바꾸면 위약금이 나와요.,"Wenn ich jetzt wechsle, fällt eine Vertragsstrafe an.","If I switch now, there is an early-termination fee.",rights: original; derived from same-batch vocab example,draft,
cloze_a2_0081,A2,독일 가기 전에 로밍을 신청해요.,Vor der Reise nach Deutschland beantrage ich Roaming.,I apply for roaming before going to Germany.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0082,A2,필요 없는 부가서비스를 껐어요.,Ich habe unnötige Zusatzdienste ausgeschaltet.,I turned off add-on services I do not need.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0083,A2,이번 달 청구서가 평소보다 높아요.,Die Rechnung diesen Monat ist höher als sonst.,This month's bill is higher than usual.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0084,A2,요금은 자동이체로 빠져요.,Die Gebühr wird per Lastschrift abgebucht.,The fee is taken by auto debit.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0085,A2,고객센터에 오전에 전화했어요.,Ich habe das Kundencenter am Vormittag angerufen.,I called the customer center in the morning.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0086,A2,새 번호를 개통하다 전에 신분증이 필요해요.,"Bevor ich eine neue Nummer freischalte, brauche ich den Ausweis.","Before I activate a new number, I need ID.",rights: original; derived from same-batch vocab example,draft,
cloze_a2_0087,A2,부족하면 데이터 충전을 추가로 사요.,"Wenn es nicht reicht, kaufe ich eine Datenaufladung dazu.","If it is not enough, I buy a data top-up.",rights: original; derived from same-batch vocab example,draft,
cloze_a2_0088,A2,월세를 오늘 이체하다 전에 잔고를 봐요.,"Bevor ich die Miete überweise, schaue ich auf den Kontostand.","Before I transfer the rent, I check the balance.",rights: original; derived from same-batch vocab example,draft,
cloze_a2_0089,A2,인터넷 뱅킹 인증서가 만료됐어요.,Das Onlinebanking-Zertifikat ist abgelaufen.,The online banking certificate expired.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0090,A2,보안카드 번호를 두 개 입력해요.,Ich gebe zwei Nummern der Sicherheitskarte ein.,I enter two numbers from the security card.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0091,A2,대기번호를 뽑고 앉아서 기다려요.,Ich ziehe eine Wartenummer und warte im Sitzen.,I take a queue number and wait seated.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0092,A2,하루 이체 한도를 올렸어요.,Ich habe das tägliche Überweisungslimit erhöht.,I raised the daily transfer limit.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0093,A2,창구직원이 서류를 천천히 설명해요.,Die Schalterkraft erklärt die Unterlagen langsam.,The counter staff explains the papers slowly.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0094,A2,창구에서 통장정리를 부탁했어요.,Am Schalter habe ich um einen Kontoauszug gebeten.,I asked for a passbook update at the counter.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0095,A2,계좌를 만들 때 인감이 필요해요.,Zum Kontoeröffnen brauche ich den Namensstempel.,I need a name seal to open an account.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0096,A2,비밀번호 재설정을 위해 신분증을 보여 줬어요.,Zum Passwort zurücksetzen habe ich den Ausweis gezeigt.,I showed my ID for a password reset.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0097,A2,창구 마감이 네 시라서 서둘렀어요.,"Der Schalterschluss ist um vier, deshalb habe ich mich beeilt.","Counter closing is at four, so I hurried.",rights: original; derived from same-batch vocab example,draft,
cloze_a2_0098,A2,입금 확인 문자가 아직 안 왔어요.,Die Eingangsbestätigung ist noch nicht gekommen.,The deposit confirmation text has not arrived yet.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0099,A2,출금 한도를 잠시 낮춰 두었어요.,Ich habe das Abhebungslimit vorübergehend gesenkt.,I temporarily lowered the withdrawal limit.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0100,A2,퇴근 후에 헬스장에 가요.,Nach der Arbeit gehe ich ins Fitnessstudio.,After work I go to the gym.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0101,A2,운동복을 락커에 넣어 두어요.,Ich lasse die Sportkleidung im Spind.,I leave the workout clothes in the locker.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0102,A2,러닝머신에서 십 분을 걸어요.,Auf dem Laufband gehe ich zehn Minuten.,I walk ten minutes on the treadmill.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0103,A2,시작 전에 스트레칭을 해요.,Vor dem Start mache ich Dehnungen.,I do stretching before starting.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0104,A2,이 동작은 횟수를 열 번으로 해요.,Diese Übung mache ich mit zehn Wiederholungen.,I do this move with ten reps.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0105,A2,세트 사이에 물을 마셔요.,Zwischen den Sätzen trinke ich Wasser.,I drink water between sets.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0106,A2,트레이너가 자세를 고쳐 줘요.,Der Trainer korrigiert meine Haltung.,The trainer corrects my posture.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0107,A2,락커 열쇠를 프론트에 맡겼어요.,Ich habe den Spindschlüssel an der Rezeption abgegeben.,I left the locker key at the front desk.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0108,A2,세 달 회원권을 끊었어요.,Ich habe eine dreimonatige Mitgliedschaft gekauft.,I bought a three-month membership.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0109,A2,준비운동을 빼면 다치기 쉬워요.,Ohne Aufwärmen verletzt man sich leicht.,Without a warm-up it is easy to get hurt.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0110,A2,근력 운동은 주 이 번만 해요.,Krafttraining mache ich nur zweimal pro Woche.,I do strength training only twice a week.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0111,A2,유산소 후에 숨이 고르게 돌아와요.,Nach dem Ausdauertraining wird die Atmung wieder ruhig.,After cardio my breathing steadies again.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0112,A2,토요일 오전에 미용실에 예약했어요.,Am Samstagvormittag habe ich im Friseursalon reserviert.,I booked the hair salon for Saturday morning.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0113,A2,이번엔 커트를 조금만 해 주세요.,Bitte machen Sie den Schnitt diesmal nur ein wenig kürzer.,Please make the haircut just a little shorter this time.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0114,A2,염색은 너무 어둡지 않게 해 주세요.,Bitte machen Sie die Färbung nicht zu dunkel.,Please do not make the dye too dark.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0115,A2,여름에는 펌을 하지 않을게요.,Im Sommer mache ich keine Dauerwelle.,I will not get a perm in summer.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0116,A2,앞머리를 눈에 안 들어오게 잘라 주세요.,"Bitte schneiden Sie den Pony so, dass er nicht ins Auge fällt.",Please cut the bangs so they do not fall into my eyes.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0117,A2,커트 후에 드라이만 해 주세요.,Nach dem Schnitt bitte nur föhnen.,"After the cut, please just blow-dry.",rights: original; derived from same-batch vocab example,draft,
cloze_a2_0118,A2,스타일리스트가 거울로 뒷모습을 보여 줘요.,Der Stylist zeigt mir den Hinterkopf im Spiegel.,The stylist shows me the back of my head in the mirror.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0119,A2,주말 예약은 예약금이 있어요.,Für eine Wochenendreservierung gibt es eine Anzahlung.,Weekend bookings have a deposit.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0120,A2,향이 약한 샴푸로 감겨 주세요.,Bitte waschen Sie mit einem schwachen Shampoo.,Please wash with a mild-scent shampoo.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0121,A2,끝이 갈라져서 트리트먼트를 추가했어요.,"Die Spitzen sind splissig, deshalb habe ich eine Kur dazugenommen.","The ends are split, so I added a treatment.",rights: original; derived from same-batch vocab example,draft,
cloze_a2_0122,A2,옆머리를 귀에 안 붙게 해 주세요.,Bitte lassen Sie das Seitenhaar nicht am Ohr kleben.,Please keep the side hair off my ears.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0123,A2,출근 전에 간단한 손질만 해요.,Vor der Arbeit mache ich nur eine kurze Pflege.,Before work I only do quick grooming.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0124,A2,관리사무소에 주차 스티커를 받으러 가요.,Ich hole den Parkaufkleber in der Hausverwaltung.,I go to the management office for a parking sticker.,rights: original; derived from same-batch vocab example,draft,
cloze_a2_0125,A2,입주민만 지하 주차장을 쓸 수 있어요.,Nur Bewohner dürfen die Tiefgarage nutzen.,Only residents can use the underground parking.,rights: original; derived from same-batch vocab example,draft,
