id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0533,A1,오월,Mai,May,rights: original_clean_room; pack=a1_months_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0534,A1,유월,Juni,June,rights: original_clean_room; pack=a1_months_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0535,A1,칠월,Juli,July,rights: original_clean_room; pack=a1_months_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0536,A1,팔월,August,August,rights: original_clean_room; pack=a1_months_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0537,A1,구월,September,September,rights: original_clean_room; pack=a1_months_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0538,A1,시월,Oktober,October,rights: original_clean_room; pack=a1_months_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0539,A1,십일월,November,November,rights: original_clean_room; pack=a1_months_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0540,A1,십이월,Dezember,December,rights: original_clean_room; pack=a1_months_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0541,A1,일본,Japan,Japan,rights: original_clean_room; pack=a1_countries_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0542,A1,중국,China,China,rights: original_clean_room; pack=a1_countries_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0543,A1,영국,"England, Großbritannien","the UK, England",rights: original_clean_room; pack=a1_countries_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0544,A1,프랑스,Frankreich,France,rights: original_clean_room; pack=a1_countries_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0545,A1,러시아,Russland,Russia,rights: original_clean_room; pack=a1_countries_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0546,A1,캐나다,Kanada,Canada,rights: original_clean_room; pack=a1_countries_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0547,A1,태국,Thailand,Thailand,rights: original_clean_room; pack=a1_countries_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0548,A1,베트남,Vietnam,Vietnam,rights: original_clean_room; pack=a1_countries_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0549,A1,몽골,die Mongolei,Mongolia,rights: original_clean_room; pack=a1_countries_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0550,A1,말레이시아,Malaysia,Malaysia,rights: original_clean_room; pack=a1_countries_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0551,A1,인도네시아,Indonesien,Indonesia,rights: original_clean_room; pack=a1_countries_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0552,A1,외국,Ausland,"foreign country, abroad",rights: original_clean_room; pack=a1_countries_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0553,A1,축구,Fußball,soccer,rights: original_clean_room; pack=a1_hobbies_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0554,A1,야구,Baseball,baseball,rights: original_clean_room; pack=a1_hobbies_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0555,A1,농구,Basketball,basketball,rights: original_clean_room; pack=a1_hobbies_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0556,A1,테니스,Tennis,tennis,rights: original_clean_room; pack=a1_hobbies_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0557,A1,수영,Schwimmen,swimming,rights: original_clean_room; pack=a1_hobbies_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0558,A1,스키,Skifahren,skiing,rights: original_clean_room; pack=a1_hobbies_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0559,A1,등산,Bergwandern,hiking,rights: original_clean_room; pack=a1_hobbies_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0560,A1,산책,Spaziergang,"walk, stroll",rights: original_clean_room; pack=a1_hobbies_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0561,A1,춤,Tanz,dance,rights: original_clean_room; pack=a1_hobbies_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0562,A1,노래,Lied,song,rights: original_clean_room; pack=a1_hobbies_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0563,A1,구경,Besichtigung,sightseeing,rights: original_clean_room; pack=a1_hobbies_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0564,A1,탁구,Tischtennis,table tennis,rights: original_clean_room; pack=a1_hobbies_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0565,A1,김밥,Gimbap (Reisrolle),gimbap,rights: original_clean_room; pack=a1_korean_food_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0566,A1,떡볶이,Tteokbokki (scharfer Reiskuchen),tteokbokki,rights: original_clean_room; pack=a1_korean_food_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0567,A1,김치찌개,Kimchi-Eintopf,kimchi stew,rights: original_clean_room; pack=a1_korean_food_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0568,A1,된장찌개,Doenjang-Eintopf,doenjang stew,rights: original_clean_room; pack=a1_korean_food_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0569,A1,삼계탕,Samgyetang (Ginseng-Hühnersuppe),ginseng chicken soup,rights: original_clean_room; pack=a1_korean_food_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0570,A1,갈비,Galbi (Rippenfleisch),"galbi, short ribs",rights: original_clean_room; pack=a1_korean_food_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0571,A1,갈비탕,Galbitang (Rippensuppe),galbitang soup,rights: original_clean_room; pack=a1_korean_food_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0572,A1,참외,Koreanische Melone (Chamoe),Korean melon,rights: original_clean_room; pack=a1_korean_food_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0573,A1,포도,Weintraube,grape,rights: original_clean_room; pack=a1_korean_food_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0574,A1,감,Kaki (Persimone),persimmon,rights: original_clean_room; pack=a1_korean_food_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0575,A1,사이다,Zitronenlimonade,lemon-lime soda,rights: original_clean_room; pack=a1_korean_food_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0576,A1,치킨,Brathähnchen,fried chicken,rights: original_clean_room; pack=a1_korean_food_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0577,A1,서울,Seoul,Seoul,rights: original_clean_room; pack=a1_korean_places_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0578,A1,부산,Busan,Busan,rights: original_clean_room; pack=a1_korean_places_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0579,A1,인천,Incheon,Incheon,rights: original_clean_room; pack=a1_korean_places_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0580,A1,제주도,Jeju-Insel,Jeju Island,rights: original_clean_room; pack=a1_korean_places_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0581,A1,남대문,Namdaemun,Namdaemun,rights: original_clean_room; pack=a1_korean_places_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0582,A1,남산,Namsan,Namsan,rights: original_clean_room; pack=a1_korean_places_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0583,A1,동대문,Dongdaemun,Dongdaemun,rights: original_clean_room; pack=a1_korean_places_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0584,A1,서점,Buchladen,bookstore,rights: original_clean_room; pack=a1_korean_places_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0585,A1,커피숍,Café,coffee shop,rights: original_clean_room; pack=a1_korean_places_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0586,A1,영화관,Kino,movie theater,rights: original_clean_room; pack=a1_korean_places_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0587,A1,극장,Theater,theater,rights: original_clean_room; pack=a1_korean_places_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
vocab_a1_0588,A1,목욕탕,öffentliches Bad,public bathhouse,rights: original_clean_room; pack=a1_korean_places_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 26 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/66 rows (Batch 26); Batch 27 approved together, 7/63 rows); C3-T3 승격"
