id,level,ko,de,en,field_notes,상태,jin_memo
a2_kpop_concert_queue,A2,굿즈 줄인가요,Ist das die Merch-Schlange,Is this the merch line,rights: original; category=kpop; unit=a2_01_haeyo_transition; grammar=A-(으)ㄴ가요?/V-나요?; gap answer=나요,draft,
b1_daily_cut_the_bills,B1,이번 달 카드값,Die Kartenabrechnung diesen Monat,This month's card bill,rights: original; category=daily; unit=b1_06_life_capstone; grammar=V-기로 하다; gap answer=기로,draft,
b1_friends_he_said_that,B1,그런 말 안 했어,Das habe ich nie gesagt,I never said that,rights: original; category=friends; unit=b1_02_indirect_speech; grammar=V-(ㄴ/는)다고 하다; gap answer=고,draft,
b1_dating_anniversary_gap,B1,기념일이 어긋났어,Unser Jubiläum lief schief,Our anniversary went sideways,rights: original; category=dating; unit=b1_04_relationships; grammar=V-았/었으면 좋겠다; gap answer=줬으면,draft,
b1_youtube_up_all_night,B1,영상 보다가 밤샜어,Wegen Videos die Nacht durchgemacht,Videos ate my night,"rights: original; category=youtube; unit=b1_01_experience_reasons; grammar=V-느라고, V-(으)ㄴ 적이 있다; gap answer=느라고",draft,
b1_gaming_team_voice,B1,팀 보이스에서,Im Team-Voice,On team voice,rights: original; category=gaming; unit=b1_03_work_softening; grammar=V-는데; gap answer=은데,draft,
b1_kpop_missing_goods,B1,포토카드가 없어요,Die Photocard fehlt,The photocard is missing,rights: original; category=kpop; unit=b1_05_complaint_resolution; grammar=V-아/어 주시면 좋겠다; gap answer=주시면,draft,
b2_daily_upstairs_noise,B2,층간 소음이 또,Wieder Lärm von oben,The noise upstairs again,"rights: original; category=daily; unit=b2_03_precise_requests; grammar=V-도록 하다, V-아/어 주시기를 요청하다; gap answer=주시기를",draft,
b2_friends_split_the_bill,B2,회비를 어떻게 나눌까,Wie teilen wir die Rechnung,How do we split this,rights: original; category=friends; unit=b2_02_professional_opinion; grammar=A/V-다고 해서 A/V-는 것은 아니다; gap answer=해서,draft,
b2_dating_moving_in_terms,B2,같이 살기 전에,Bevor wir zusammenziehen,Before we move in,"rights: original; category=dating; unit=b2_06_advanced_capstone; grammar=V-는 한, V-는 대신(에); gap answer=한",draft,
b2_youtube_collab_pitch,B2,협업을 제안합니다,Ich schlage eine Kooperation vor,Proposing a collaboration,rights: original; category=youtube; unit=b2_01_formal_opening; grammar=V-고자; gap answer=주셔야,draft,
b2_gaming_ban_appeal,B2,계정 정지에 이의가 있습니다,Einspruch gegen die Kontosperre,Contesting an account ban,"rights: original; category=gaming; unit=b2_04_complaint_resolution; grammar=V-(으)므로, V-아/어 주시기를 요청하다; gap answer=으므로",draft,
b2_kpop_staff_interview,B2,팬 커뮤니티 운영진 면접,Bewerbung als Community-Team,Interviewing for the fan community team,rights: original; category=kpop; unit=b2_05_interview; grammar=A/V-다는 점에서; gap answer=점에서,draft,
c1_daily_prices_vs_data,C1,체감 물가와 지표,Gefühlte Preise und Indikatoren,Felt prices and the indicator,rights: original; category=daily; unit=c1_01_evidence_public_reasoning; grammar=N을/를 감안하면; gap answer=감안하면,draft,
c1_friends_venue_access,C1,모임 장소의 계단,Die Treppe am Veranstaltungsort,The stairs at our venue,rights: original; category=friends; unit=c1_02_inclusive_sustainable_systems; grammar=A/V-(으)ㄴ/는 한편; gap answer=한편,draft,
c1_dating_app_safety,C1,신고 절차를 다시 짜기,Das Meldeverfahren neu bauen,Rebuilding the report flow,rights: original; category=dating; unit=c1_02_inclusive_sustainable_systems; grammar=V-는 한이 있어도; gap answer=한이,draft,
c1_youtube_health_claims,C1,조회수와 근거 사이,Zwischen Klickzahl und Beleg,Between the view count and the evidence,rights: original; category=youtube; unit=c1_01_evidence_public_reasoning; grammar=V-(으)ㄹ 여지가 있다; gap answer=여지가,draft,
c1_gaming_playtime_policy,C1,이용시간 규제안 검토,Prüfung der Spielzeitregel,Reviewing the playtime rule,rights: original; category=gaming; unit=c1_01_evidence_public_reasoning; grammar=V-지 않는 한; gap answer=않는,draft,
c1_kpop_fan_labor,C1,팬 번역은 자원봉사인가,Ist Fanübersetzung Freiwilligenarbeit,Is fan translation volunteering,rights: original; category=kpop; unit=c1_02_inclusive_sustainable_systems; grammar=V-는 마당에; gap answer=마당에,draft,
c2_daily_automation_redress,C2,자동 검침이 틀렸을 때,Wenn der Zähler falsch abliest,When the automated meter is wrong,rights: original; category=daily; unit=c2_02_technology_public_ethics; grammar=N에 불과하다; gap answer=불과합니다,draft,
c2_friends_quoted_privately,C2,대화방이 기사에 실렸다,Der Gruppenchat stand in der Zeitung,The group chat made the news,rights: original; category=friends; unit=c2_01_interpretation_institutions; grammar=N이라 함은; gap answer=함은,draft,
c2_dating_romance_frames,C2,연애 서사가 만드는 기준,Welche Maßstäbe Liebesgeschichten setzen,The standard romance stories set,rights: original; category=dating; unit=c2_01_interpretation_institutions; grammar=N와/과 무관하게; gap answer=무관하게,draft,
c2_youtube_algorithm_duty,C2,추천의 책임은 어디에,Wo liegt die Verantwortung der Empfehlung,Where the recommendation's duty sits,rights: original; category=youtube; unit=c2_02_technology_public_ethics; grammar=A/V-(으)ㄴ/는다고 치더라도; gap answer=치더라도,draft,
c2_gaming_auto_sanction,C2,자동 제재의 전제,Die Prämisse automatischer Sanktionen,The premise behind automated bans,rights: original; category=gaming; unit=c2_02_technology_public_ethics; grammar=N을/를 전제로; gap answer=전제로,draft,
c2_kpop_fandom_language,C2,팬덤 용어의 힘,Die Macht der Fandom-Begriffe,The power in fandom words,rights: original; category=kpop; unit=c2_01_interpretation_institutions; grammar=V-(으)ㄹ지언정; gap answer=할지언정,draft,
