id,level,ko,de,en,field_notes,상태,jin_memo
c1_conflict_interest_disclose_stake,C1,먼저 밝힐 것이 있습니다,Ich muss zuerst etwas offenlegen,There is something I should disclose first,rights: original; shelf=c1_conflict_interest; grammar=N을 감안하면; gap answer=감안하면,draft,
c1_mediation_partial_agreement,C1,합의된 부분만 먼저 적읍시다,Halten wir zuerst das Einige fest,Let us record what is already agreed,rights: original; shelf=c1_mediation; grammar=V-(으)ㄹ 여지가 있다; gap answer=여지가,draft,
c1_mediation_walk_away_line,C1,여기까지는 못 갑니다,Weiter gehe ich nicht,I cannot go past this,rights: original; shelf=c1_mediation; grammar=V-는 한이 있어도; gap answer=한이 있어도,draft,
c1_facework_decline_without_wound,C1,이번에는 어렵습니다,Diesmal geht es nicht,This time I cannot,rights: original; shelf=c1_facework; grammar=V-지 않는 한; gap answer=않는 한,draft,
c1_facework_correct_in_private,C1,그 자리에서 말하지 않았습니다,Ich habe es dort nicht gesagt,I did not say it in the room,rights: original; shelf=c1_facework; grammar=V-는 한이 있어도; gap answer=한이 있어도,draft,
c1_facework_accept_correction,C1,지적을 받는 쪽이 되었습니다,Diesmal wurde ich korrigiert,This time I am the one corrected,rights: original; shelf=c1_facework; grammar=A/V-는 한편; gap answer=한편,draft,
c1_facework_praise_before_others,C1,여러 사람 앞에서 칭찬해도 될까요,Darf ich vor allen loben,Is praising in front of everyone all right,rights: original; shelf=c1_facework; grammar=N을 감안하면; gap answer=감안하면,draft,
c1_attribution_author_order,C1,이름 순서를 어떻게 할까요,Wie ordnen wir die Namen,How do we order the names,rights: original; shelf=c1_attribution; grammar=N을 감안하면; gap answer=감안하면,draft,
c1_attribution_unpaid_translation,C1,번역자 이름은 어디에 들어갑니까,Wo steht der Name der Übersetzung,Where does the translator's name go,rights: original; shelf=c1_attribution; grammar=V-는 마당에; gap answer=마당에,draft,
c1_attribution_reuse_without_credit,C1,출처가 빠졌습니다,Die Quelle fehlt,The source line is missing,rights: original; shelf=c1_attribution; grammar=V-지 않는 한; gap answer=않는 한,draft,
c1_attribution_collective_byline,C1,단체 이름으로 낼까요,Unter dem Gruppennamen veröffentlichen,Publish under the group name,rights: original; shelf=c1_attribution; grammar=V-(으)ㄹ 여지가 있다; gap answer=여지가,draft,
