id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0789,A1,아주,sehr,very,rights: original_clean_room; pack=a1_adverbs_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0790,A1,아직,noch,"still, yet",rights: original_clean_room; pack=a1_adverbs_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0791,A1,안녕히,wohlbehalten,(in) peace (farewell),rights: original_clean_room; pack=a1_adverbs_2; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0792,A1,얼마나,wie sehr,"how much, how",rights: original_clean_room; pack=a1_adverbs_2; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0793,A1,열심히,fleißig,"hard, diligently",rights: original_clean_room; pack=a1_adverbs_2; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0794,A1,왜,warum,why,rights: original_clean_room; pack=a1_adverbs_2; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0795,A1,잘,gut,well,rights: original_clean_room; pack=a1_adverbs_2; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0796,A1,참,wirklich,really,rights: original_clean_room; pack=a1_adverbs_2; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0797,A1,하지만,aber,but,rights: original_clean_room; pack=a1_adverbs_2; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0798,A1,그,er (jene Person),he (that person),rights: original_clean_room; pack=a1_pronouns_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0799,A1,그것,das (da),that (thing),rights: original_clean_room; pack=a1_pronouns_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0800,A1,그쪽,die Richtung,that way,rights: original_clean_room; pack=a1_pronouns_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0801,A1,내,mein,my,rights: original_clean_room; pack=a1_pronouns_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0802,A1,무엇,was (formell),what (formal),rights: original_clean_room; pack=a1_pronouns_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0803,A1,뭐,was,what,rights: original_clean_room; pack=a1_pronouns_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0804,A1,어디,wo,where,rights: original_clean_room; pack=a1_pronouns_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0805,A1,언제,wann,when,rights: original_clean_room; pack=a1_pronouns_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0806,A1,이것,dies,this (thing),rights: original_clean_room; pack=a1_pronouns_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0807,A1,이쪽,diese Richtung,this way,rights: original_clean_room; pack=a1_pronouns_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0808,A1,저것,das (dort),"that (thing, far)",rights: original_clean_room; pack=a1_pronouns_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0809,A1,저쪽,jene Richtung,that way (far),rights: original_clean_room; pack=a1_pronouns_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0810,A1,가지,"Art, Sorte","kind, type",rights: original_clean_room; pack=a1_counters_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0811,A1,것,"Ding, Sache",thing,rights: original_clean_room; pack=a1_counters_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0812,A1,권,Zählwort für Bücher,counter for books,rights: original_clean_room; pack=a1_counters_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0813,A1,년,Jahr,year,rights: original_clean_room; pack=a1_counters_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0814,A1,때,Zeit(punkt),"time, moment",rights: original_clean_room; pack=a1_counters_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0815,A1,마리,Zählwort für Tiere,counter for animals,rights: original_clean_room; pack=a1_counters_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0816,A1,명,Zählwort für Personen,counter for people,rights: original_clean_room; pack=a1_counters_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0817,A1,번,Zählwort für Nummer,counter for number,rights: original_clean_room; pack=a1_counters_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0818,A1,살,Zählwort für Alter,counter for age,rights: original_clean_room; pack=a1_counters_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0819,A1,씨,Herr/Frau (Anrede),Mr./Ms. (address),rights: original_clean_room; pack=a1_counters_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0820,A1,쪽,"Seite, Stück","side, piece",rights: original_clean_room; pack=a1_counters_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0821,A1,호,Zählwort für Nummer (Zimmer),counter for number (room),rights: original_clean_room; pack=a1_counters_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0822,A1,무슨,was für ein,what kind of,rights: original_clean_room; pack=a1_determiners_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0823,A1,어떤,welcher,"which, what kind of",rights: original_clean_room; pack=a1_determiners_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0824,A1,여러,mehrere,several,rights: original_clean_room; pack=a1_determiners_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0825,A1,마흔,vierzig,forty,rights: original_clean_room; pack=a1_determiners_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0826,A1,백만,eine Million,one million,rights: original_clean_room; pack=a1_determiners_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0827,A1,서른,dreißig,thirty,rights: original_clean_room; pack=a1_determiners_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0828,A1,십만,hunderttausend,hundred thousand,rights: original_clean_room; pack=a1_determiners_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0829,A1,아흔,neunzig,ninety,rights: original_clean_room; pack=a1_determiners_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0830,A1,여든,achtzig,eighty,rights: original_clean_room; pack=a1_determiners_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0831,A1,일흔,siebzig,seventy,rights: original_clean_room; pack=a1_determiners_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0832,A1,제,mein (höflich),my (polite),rights: original_clean_room; pack=a1_misc_4; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0833,A1,중,während,"during, in the middle of",rights: original_clean_room; pack=a1_misc_4; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0834,A1,구십,neunzig,ninety,rights: original_clean_room; pack=a1_misc_4; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0835,A1,스물,zwanzig (rein-koreanisch),twenty (native),rights: original_clean_room; pack=a1_misc_4; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0836,A1,팔십,achtzig,eighty,rights: original_clean_room; pack=a1_misc_4; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0837,A1,그래,"ja, genau (informell)","yeah, okay (informal)",rights: original_clean_room; pack=a1_misc_4; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0838,A1,아,"ach, oh","oh, ah",rights: original_clean_room; pack=a1_misc_4; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0839,A1,천,tausend,thousand,rights: original_clean_room; pack=a1_misc_4; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a1_0840,A1,억,hundert Millionen,hundred million,rights: original_clean_room; pack=a1_numbers_2; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 30 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
