id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0577,a1,가족과 식사해요.,Ich esse mit der Familie.,I have a meal with my family.,rights: original_clean_room; vocabKo=식사; unit=a1_09_home_daily_life; source vocab_a1_0662,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0578,a1,에어컨을 켜요.,Ich schalte die Klimaanlage ein.,I turn on the air conditioner.,rights: original_clean_room; vocabKo=에어컨; unit=a1_09_home_daily_life; source vocab_a1_0663,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0579,a1,저는 운전을 잘해요.,Ich fahre gut Auto.,I'm good at driving.,rights: original_clean_room; vocabKo=운전; unit=a1_09_home_daily_life; source vocab_a1_0664,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0580,a1,컴퓨터를 사용해요.,Ich benutze den Computer.,I use the computer.,rights: original_clean_room; vocabKo=사용; unit=a1_09_home_daily_life; source vocab_a1_0665,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0581,a1,친구한테 부탁해요.,Ich bitte einen Freund um einen Gefallen.,I ask a friend for a favor.,rights: original_clean_room; vocabKo=부탁; unit=a1_09_home_daily_life; source vocab_a1_0666,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0582,a1,마야 씨가 인기가요를 불러요.,Maya singt einen beliebten Popsong.,Maya sings a popular song.,rights: original_clean_room; vocabKo=인기가요; unit=a1_11_titles_relationships; source vocab_a1_0667,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0583,a1,아이가 그림을 그려요.,Das Kind malt ein Bild.,The child draws a picture.,rights: original_clean_room; vocabKo=그림; unit=a1_11_titles_relationships; source vocab_a1_0668,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0584,a1,동생이 한국 드라마를 봐요.,Mein Geschwister schaut koreanische Dramen.,My younger sibling watches Korean dramas.,rights: original_clean_room; vocabKo=드라마; unit=a1_11_titles_relationships; source vocab_a1_0669,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0585,a1,"수진 씨, 연극 보러 갈까요?","Sujin, sollen wir ein Theaterstück ansehen gehen?","Sujin, shall we go watch a play?",rights: original_clean_room; vocabKo=연극; unit=a1_11_titles_relationships; source vocab_a1_0670,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0586,a1,저 영화배우가 영화에 나와요.,Dieser Filmschauspieler tritt in einem Film auf.,That movie actor appears in a movie.,rights: original_clean_room; vocabKo=영화배우; unit=a1_11_titles_relationships; source vocab_a1_0671,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0587,a1,"크리스티안 씨, 우리 같이 콘서트에 갈까요?","Christian, sollen wir zusammen zum Konzert gehen?","Christian, shall we go to the concert together?",rights: original_clean_room; vocabKo=콘서트; unit=a1_11_titles_relationships; source vocab_a1_0672,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0588,a1,"크리스티안 씨, 저는 태권도를 배워요.","Christian, ich lerne Taekwondo.","Christian, I learn taekwondo.",rights: original_clean_room; vocabKo=태권도; unit=a1_11_titles_relationships; source vocab_a1_0673,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0589,a1,생일 파티에 초대해요.,Ich lade zur Geburtstagsparty ein.,I invite you to a birthday party.,rights: original_clean_room; vocabKo=파티; unit=a1_11_titles_relationships; source vocab_a1_0674,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0590,a1,텔레비전 프로그램을 봐요.,Ich schaue eine Fernsehsendung.,I watch a TV program.,rights: original_clean_room; vocabKo=프로그램; unit=a1_11_titles_relationships; source vocab_a1_0675,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0591,a1,저는 매일 피아노를 쳐요.,Ich spiele jeden Tag Klavier.,I play the piano every day.,rights: original_clean_room; vocabKo=피아노; unit=a1_11_titles_relationships; source vocab_a1_0676,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0592,a1,"레나 씨, 여기서 사진을 찍어요!","Lena, lass uns hier Fotos machen!","Lena, let's take photos here!",rights: original_clean_room; vocabKo=사진; unit=a1_11_titles_relationships; source vocab_a1_0677,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0593,a1,친구를 파티에 초대해요.,Ich lade einen Freund zur Party ein.,I invite a friend to the party.,rights: original_clean_room; vocabKo=초대; unit=a1_11_titles_relationships; source vocab_a1_0678,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0594,a1,감기에 걸렸어요. 머리가 아파요.,Ich bin erkältet. Mein Kopf tut weh.,I have a cold. My head hurts.,rights: original_clean_room; vocabKo=감기; unit=a1_04_order_request_object; source vocab_a1_0679,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0595,a1,저는 병이 났어요.,Ich bin krank geworden.,I got sick.,rights: original_clean_room; vocabKo=병; unit=a1_04_order_request_object; source vocab_a1_0680,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0596,a1,저는 의사한테 가요.,Ich gehe zum Arzt.,I go to the doctor.,rights: original_clean_room; vocabKo=의사; unit=a1_04_order_request_object; source vocab_a1_0681,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0597,a1,아버지가 담배를 안 피워요.,Mein Vater raucht nicht.,My father doesn't smoke.,rights: original_clean_room; vocabKo=담배; unit=a1_04_order_request_object; source vocab_a1_0682,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0598,a1,아버지는 술을 안 마셔요.,Mein Vater trinkt keinen Alkohol.,My father doesn't drink alcohol.,rights: original_clean_room; vocabKo=술; unit=a1_04_order_request_object; source vocab_a1_0683,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0599,a1,저는 매일 운동해요.,Ich mache jeden Tag Sport.,I exercise every day.,rights: original_clean_room; vocabKo=운동; unit=a1_04_order_request_object; source vocab_a1_0684,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0600,a1,동생은 키가 커요.,Mein jüngeres Geschwister ist groß.,My younger sibling is tall.,rights: original_clean_room; vocabKo=키; unit=a1_04_order_request_object; source vocab_a1_0685,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0601,a1,저는 잡채를 만들어요.,Ich mache Japchae.,I make japchae.,rights: original_clean_room; vocabKo=잡채; unit=a1_04_order_request_object; source vocab_a1_0686,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0602,a1,이 음식이 맛있어요.,Dieses Essen ist lecker.,This food is delicious.,rights: original_clean_room; vocabKo=음식; unit=a1_04_order_request_object; source vocab_a1_0687,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0603,a1,더워요. 음료수 마실까요?,Es ist heiß. Sollen wir ein Getränk trinken?,It's hot. Shall we drink something?,rights: original_clean_room; vocabKo=음료수; unit=a1_04_order_request_object; source vocab_a1_0688,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0604,a1,종업원이 메뉴를 줘요.,Die Bedienung gibt die Speisekarte.,The waiter gives the menu.,rights: original_clean_room; vocabKo=메뉴; unit=a1_04_order_request_object; source vocab_a1_0689,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0605,a1,저는 오렌지를 먹어요.,Ich esse eine Orange.,I eat an orange.,rights: original_clean_room; vocabKo=오렌지; unit=a1_04_order_request_object; source vocab_a1_0690,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0606,a1,방학이 언제예요?,Wann sind die Ferien?,When is the vacation?,rights: original_clean_room; vocabKo=방학; unit=a1_15_first_class_work; source vocab_a1_0691,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0607,a1,저는 올해 졸업해요.,Ich mache dieses Jahr meinen Abschluss.,I graduate this year.,rights: original_clean_room; vocabKo=졸업; unit=a1_15_first_class_work; source vocab_a1_0692,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0608,a1,저는 외국어를 가르쳐요.,Ich unterrichte eine Fremdsprache.,I teach a foreign language.,rights: original_clean_room; vocabKo=외국어; unit=a1_15_first_class_work; source vocab_a1_0693,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0609,a1,저는 편의점에서 아르바이트를 해요.,Ich habe einen Nebenjob im Supermarkt.,I have a part-time job at a convenience store.,rights: original_clean_room; vocabKo=아르바이트; unit=a1_15_first_class_work; source vocab_a1_0694,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0610,a1,저는 회사 직원이에요.,Ich bin Angestellter einer Firma.,I'm an employee of a company.,rights: original_clean_room; vocabKo=직원; unit=a1_15_first_class_work; source vocab_a1_0695,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0611,a1,종업원이 친절해요.,Die Bedienung ist freundlich.,The staff is kind.,rights: original_clean_room; vocabKo=종업원; unit=a1_15_first_class_work; source vocab_a1_0696,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0612,a1,직원이 안내해요. 저기로 가세요.,Der Angestellte gibt Auskunft. Gehen Sie dorthin.,The employee gives information. Go over there.,rights: original_clean_room; vocabKo=안내; unit=a1_15_first_class_work; source vocab_a1_0697,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0613,a1,교통 카드가 없어요.,Ich habe keine Verkehrskarte.,I don't have a transit card.,rights: original_clean_room; vocabKo=교통; unit=a1_15_first_class_work; source vocab_a1_0698,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0614,a1,저는 지금 일을 시작해요.,Ich fange jetzt mit der Arbeit an.,I start work now.,rights: original_clean_room; vocabKo=시작; unit=a1_15_first_class_work; source vocab_a1_0699,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0615,a1,약속 장소가 어디예요?,Wo ist der Treffpunkt?,Where is the meeting place?,rights: original_clean_room; vocabKo=장소; unit=a1_15_first_class_work; source vocab_a1_0700,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0616,a1,저는 매일 글을 써요.,Ich schreibe jeden Tag.,I write every day.,rights: original_clean_room; vocabKo=글; unit=a1_15_first_class_work; source vocab_a1_0701,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0617,a1,친구랑 이야기해요.,Ich unterhalte mich mit einem Freund.,I talk with a friend.,rights: original_clean_room; vocabKo=이야기; unit=a1_15_first_class_work; source vocab_a1_0702,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0618,a1,이 곳에 사람이 많아요.,An diesem Ort sind viele Leute.,There are many people at this place.,rights: original_clean_room; vocabKo=곳; unit=a1_11_titles_relationships; source vocab_a1_0703,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0619,a1,이 달에 생일이 있어요.,Diesen Monat ist Geburtstag.,There's a birthday this month.,rights: original_clean_room; vocabKo=달; unit=a1_11_titles_relationships; source vocab_a1_0704,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0620,a1,제 동생은 아홉 살이에요.,Mein jüngeres Geschwister ist neun Jahre alt.,My younger sibling is nine years old.,rights: original_clean_room; vocabKo=동생; unit=a1_11_titles_relationships; source vocab_a1_0705,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0621,a1,책상 밑에 가방이 있어요.,Unter dem Schreibtisch ist eine Tasche.,There's a bag under the desk.,rights: original_clean_room; vocabKo=밑; unit=a1_11_titles_relationships; source vocab_a1_0706,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0622,a1,다음 주가 제 생일이에요.,Nächste Woche ist mein Geburtstag.,Next week is my birthday.,rights: original_clean_room; vocabKo=생일; unit=a1_11_titles_relationships; source vocab_a1_0707,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0623,a1,동생한테 선물을 줘요.,Ich gebe meinem Geschwister ein Geschenk.,I give my sibling a gift.,rights: original_clean_room; vocabKo=선물; unit=a1_11_titles_relationships; source vocab_a1_0708,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0624,a1,주말에 쇼핑해요.,Ich gehe am Wochenende einkaufen.,I go shopping on the weekend.,rights: original_clean_room; vocabKo=쇼핑; unit=a1_11_titles_relationships; source vocab_a1_0709,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0625,a1,올해 한국에 왔어요.,Ich bin dieses Jahr nach Korea gekommen.,I came to Korea this year.,rights: original_clean_room; vocabKo=올해; unit=a1_11_titles_relationships; source vocab_a1_0710,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0626,a1,요즘 바빠요.,Ich bin heutzutage beschäftigt.,I'm busy these days.,rights: original_clean_room; vocabKo=요즘; unit=a1_11_titles_relationships; source vocab_a1_0711,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0627,a1,지금 몇 월이에요?,Welcher Monat ist jetzt?,What month is it now?,rights: original_clean_room; vocabKo=월; unit=a1_11_titles_relationships; source vocab_a1_0712,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0628,a1,잠시 앉아요.,Setzen Sie sich für einen Moment.,Sit for a moment.,rights: original_clean_room; vocabKo=잠시; unit=a1_11_titles_relationships; source vocab_a1_0713,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
satz_a1_0629,a1,이번 주에 학교에 가요.,Ich gehe diese Woche zur Schule.,I go to school this week.,rights: original_clean_room; vocabKo=주; unit=a1_11_titles_relationships; source vocab_a1_0714,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 28 승인'; 7/63); C3-T3 승격
