id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a2_0644,A2,상처,"Wunde, Verletzung",wound,rights: original_clean_room; pack=a2_health_symptoms_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0645,A2,수술,Operation,surgery,rights: original_clean_room; pack=a2_health_symptoms_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0646,A2,입원,Krankenhausaufenthalt,hospitalization,rights: original_clean_room; pack=a2_health_symptoms_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0647,A2,퇴원,Entlassung aus dem Krankenhaus,discharge from hospital,rights: original_clean_room; pack=a2_health_symptoms_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0648,A2,치료,Behandlung,treatment,rights: original_clean_room; pack=a2_health_symptoms_1; order=9; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0649,A2,내과,Innere Medizin (Praxis),internal medicine clinic,rights: original_clean_room; pack=a2_health_symptoms_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0650,A2,치과,Zahnarztpraxis,dental clinic,rights: original_clean_room; pack=a2_health_symptoms_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0651,A2,낫다,"gesund werden, heilen","to get better, to recover",rights: original_clean_room; pack=a2_health_symptoms_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0652,A2,긴장,"Nervosität, Anspannung","nervousness, tension",rights: original_clean_room; pack=a2_feelings_3; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0653,A2,자신,sich selbst,oneself,rights: original_clean_room; pack=a2_feelings_3; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0654,A2,불안,"Unruhe, Angst","anxiety, unease",rights: original_clean_room; pack=a2_feelings_3; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0655,A2,편안,"Behaglichkeit, Bequemlichkeit",comfort,rights: original_clean_room; pack=a2_feelings_3; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0656,A2,행복,Glück,happiness,rights: original_clean_room; pack=a2_feelings_3; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0657,A2,화,"Ärger, Wut",anger,rights: original_clean_room; pack=a2_feelings_3; order=6; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0658,A2,눈물,Tränen,tears,rights: original_clean_room; pack=a2_feelings_3; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0659,A2,웃음,Lachen,laughter,rights: original_clean_room; pack=a2_feelings_3; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0660,A2,농담,"Scherz, Witz",joke,rights: original_clean_room; pack=a2_feelings_3; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0661,A2,비밀,Geheimnis,secret,rights: original_clean_room; pack=a2_feelings_3; order=10; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0662,A2,칭찬,Lob,praise,rights: original_clean_room; pack=a2_feelings_3; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0663,A2,거짓말,Lüge,lie,rights: original_clean_room; pack=a2_feelings_3; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0664,A2,사거리,Kreuzung,"intersection, crossroads",rights: original_clean_room; pack=a2_directions_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0665,A2,육교,Fußgängerbrücke,pedestrian overpass,rights: original_clean_room; pack=a2_directions_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0666,A2,지하도,Unterführung,underpass,rights: original_clean_room; pack=a2_directions_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0667,A2,신호,Ampelsignal,traffic signal,rights: original_clean_room; pack=a2_directions_1; order=4; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0668,A2,정거장,Haltestelle,stop (bus/tram),rights: original_clean_room; pack=a2_directions_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0669,A2,주차장,Parkplatz,parking lot,rights: original_clean_room; pack=a2_directions_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0670,A2,건너다,überqueren,to cross,rights: original_clean_room; pack=a2_directions_1; order=7; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0671,A2,방향,Richtung,direction,rights: original_clean_room; pack=a2_directions_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0672,A2,반대,"Gegenteil, entgegengesetzt",opposite,rights: original_clean_room; pack=a2_directions_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0673,A2,동쪽,Osten,east,rights: original_clean_room; pack=a2_directions_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0674,A2,서쪽,Westen,west,rights: original_clean_room; pack=a2_directions_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0675,A2,위치,"Lage, Standort",location,rights: original_clean_room; pack=a2_directions_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0676,A2,부장,Abteilungsleiter/in,department head,rights: original_clean_room; pack=a2_workplace_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0677,A2,선배,"ältere/r Kollege/in, Senior",senior (colleague),rights: original_clean_room; pack=a2_workplace_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0678,A2,후배,"jüngere/r Kollege/in, Junior",junior (colleague),rights: original_clean_room; pack=a2_workplace_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0679,A2,팀,Team,team,rights: original_clean_room; pack=a2_workplace_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0680,A2,취직,"Anstellung, Jobeinstieg",getting a job,rights: original_clean_room; pack=a2_workplace_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0681,A2,출퇴근,"Pendeln, Arbeitsweg",commute,rights: original_clean_room; pack=a2_workplace_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0682,A2,휴게실,Pausenraum,break room,rights: original_clean_room; pack=a2_workplace_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0683,A2,실수,Fehler,mistake,rights: original_clean_room; pack=a2_workplace_1; order=8; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0684,A2,지각,"Verspätung, Zuspätkommen","tardiness, being late",rights: original_clean_room; pack=a2_workplace_1; order=9; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0685,A2,규칙,Regel,rule,rights: original_clean_room; pack=a2_workplace_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0686,A2,노력,"Mühe, Anstrengung",effort,rights: original_clean_room; pack=a2_workplace_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0687,A2,정확,Genauigkeit,accuracy,rights: original_clean_room; pack=a2_workplace_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0688,A2,박수,Applaus,applause,rights: original_clean_room; pack=a2_events_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0689,A2,자리,"Platz, Sitzplatz","seat, place",rights: original_clean_room; pack=a2_events_1; order=2; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0690,A2,줄,"Schlange (Warteschlange), Reihe","line, queue",rights: original_clean_room; pack=a2_events_1; order=3; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0691,A2,새벽,"Morgengrauen, früher Morgen","dawn, early morning",rights: original_clean_room; pack=a2_events_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0692,A2,매표소,"Kasse, Ticketschalter",ticket office,rights: original_clean_room; pack=a2_events_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0693,A2,대회,"Wettbewerb, Turnier","competition, contest",rights: original_clean_room; pack=a2_events_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0694,A2,행사,Veranstaltung,event,rights: original_clean_room; pack=a2_events_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0695,A2,초대장,Einladungskarte,invitation card,rights: original_clean_room; pack=a2_events_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
