category,headword,allowed_level,note
meta,문장,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,뜻,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
meta,표현,A1,학습 메타어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,창구,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,계산대,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,출구,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,입구,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,영수증,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,현금,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,결제,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,결제하다,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,우편함,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a1,계산서,A1,표지판·거래 기초어 · Fable 룰링 2026-09-07 · A1 유지
signage_a2,환승,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,승강장,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,개찰구,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,잔액,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,입금,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,입금하다,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,출금,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,출금하다,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,송금,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,송금하다,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,보관함,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,안내데스크,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,운영시간,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,정기권,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,미세먼지,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,일교차,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,교통카드,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
signage_a2,휴게소,A2,안내문·기기 화면 어휘 · Fable 룰링 2026-09-07 · A2 상한
loanword,스트레칭,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,트레이너,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,헬스장,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,스탬프,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,라벨,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,커트,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,스타일리스트,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,이모티콘,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,밴드,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,파일,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,메일,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,이메일,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,코드,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,앱,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,카드,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,샴푸,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,린스,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
loanword,인터넷,A2,독일어·영어 화자에게 투명한 외래어 · Fable 룰링 2026-09-07 · A2 상한
culture_basic,송편,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,한가위,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,세배,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,세뱃돈,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,덕담,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,설빔,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,복주머니,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,한복,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,윷놀이,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,떡국,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,명절,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,추석,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,설날,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,밑반찬,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,반찬,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,국물,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,김치,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,떡볶이,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,김밥,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,삼겹살,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_basic,치킨,A1,명절·음식 문화어 · Fable 룰링 2026-09-07 · A1 유지
culture_advanced,성묘,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,벌초,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,귀성,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,귀성길,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,차례,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,제사,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,햇과일,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,솔잎,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
culture_advanced,보자기,A2,명절·제례 문화어 · Fable 룰링 2026-09-07 · A2 상한
fixed_expression,배고프다,A1,기초 감각형용사·관용 표현 · Fable 룰링 2026-09-07 · A1 유지
fixed_expression,배부르다,A1,기초 감각형용사·관용 표현 · Fable 룰링 2026-09-07 · A1 유지
fixed_expression,졸리다,A1,기초 감각형용사·관용 표현 · Fable 룰링 2026-09-07 · A1 유지
fixed_expression,새해 복 많이 받으세요,A1,기초 감각형용사·관용 표현 · Fable 룰링 2026-09-07 · A1 유지
fixed_expression,잘 먹었습니다,A1,기초 감각형용사·관용 표현 · Fable 룰링 2026-09-07 · A1 유지
fixed_expression,문제없어요,A1,기초 감각형용사·관용 표현 · Fable 룰링 2026-09-07 · A1 유지
culture_advanced,송편 빚다,A2,송편 만들기 행위 관용구(추석 파트너 팩) — Fable 룰링 2026-09-07
culture_advanced,빚다,A2,"송편·만두를 빚다 — 명절 조리 동사, Fable 룰링 2026-09-07"
signage_a2,확인,A2,확인/확인하다: 영수증·예약·문자 확인 등 생존 거래어 — Fable 룰링 2026-09-07
signage_a2,확인하다,A2,확인/확인하다: 영수증·예약·문자 확인 등 생존 거래어 — Fable 룰링 2026-09-07
